Unnamed: 0,acetate_heinmann,fumarate_heinmann,galactose_heinmann,glucose_heinmann,glucosamine_heinmann,glycerol_heinmann,pyruvate_heinmann,succinate_heinmann,anaerobic_heinmann,Chemostat_heinmann_035,Chemostat_heinmann_05,Chemostat_heinmann_02,Chemostat_heinmann_012,42Cdeg_henimann,pH6_heinmann,NaCl_50mM_heinmann,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
"('DM_OXAM', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('DM_OXAM', 'maximum')",0.002585649545824298,0.004033311938279827,0.0016119399987071237,0.005000958200612748,0.003133202354063974,0.004020357365283056,0.0035187465817745622,0.0034404195426569473,0.004579026839811817,0.003017852174111102,0.0042117652410463835,0.0018239391072391031,0.0011871854715738706,0.005398366799123089,0.0042117652410463835,0.005398366799123089,0.0011075912670970856,0.001903533311683539,0.0026994753562763485,0.0034158231964169783,0.004132171036523524
"('Ec_biomass_iJO1366_WT_53p95M', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Ec_biomass_iJO1366_WT_53p95M', 'maximum')",0.0003234013919078927,0.000507397594091602,0.00020167987501809592,0.0006376732783926627,0.0004264615708700271,0.0005063152698907368,0.0004353720313617936,0.00043616667494780293,0.0005875187913138079,0.00038488845348065917,0.0005363061758028045,0.00023238503603809253,0.00015134991395402523,0.0006883319367972187,0.0005363061758028045,0.0006883319367972187,0.0001412184259723939,0.0002425351182201458,0.0003443076114563485,0.00043561903630988375,0.0005269360474599513
"('Ec_biomass_iJO1366_core_53p95M', 'minimum')",0.29,0.47,0.17,0.6,0.39,0.47,0.4,0.4,0.55,0.35,0.5,0.2,0.12,0.65,0.5,0.65,0.11,0.21,0.31,0.4,0.49
"('Ec_biomass_iJO1366_core_53p95M', 'maximum')",0.29,0.47,0.17,0.6,0.39,0.47,0.4,0.4,0.55,0.35,0.5,0.2,0.12,0.65,0.5,0.65,0.11,0.21,0.31,0.4,0.49
"('EX_12ppd_R_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_12ppd_R_e', 'maximum')",0.01075294114201042,0.01596833401789688,0.006704295432874208,0.022093018721411006,0.01802809091294133,0.018553236873093404,0.0140089797906768,0.013883739604171552,0.02126873480632785,0.013333271077956343,0.018582115280251443,0.00804940495579154,0.005240682202659386,0.023848470442103586,0.018582115280251443,0.023848470442103586,0.004889591858480036,0.008400495299938804,0.01192690844879496,0.015091224364495837,0.018255540280127214
"('EX_12ppd_S_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_12ppd_S_e', 'maximum')",0.010536107201856056,0.01564633125282605,0.006569102765559731,0.021638797574781668,0.01624246566297246,0.017533516983752898,0.01366577934649214,0.01360377285626719,0.020697241185689386,0.013059145855262187,0.018200076509671616,0.007883913313624173,0.005132936461374282,0.02335815810733056,0.018200076509671616,0.02335815810733056,0.004789064354849177,0.008227785420182997,0.011681697321187005,0.01478095652272856,0.017880215724255567
"('EX_14glucan_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_14glucan_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_15dap_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_15dap_e', 'maximum')",0.0032378453653968964,0.005263070338798914,0.002019184974199978,0.0064325954751084935,0.00416239057398643,0.0049934294492761655,0.0042270969797642555,0.0045763831907795205,0.006146640692183736,0.0038825904065300926,0.005410546510889458,0.0023443996180190774,0.001526760446592751,0.006943619957230557,0.005410546510889458,0.006943619957230557,0.0014245555501540969,0.002446604514449821,0.00347318598170937,0.004394345937524524,0.005315505893360273
"('EX_23camp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23camp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23ccmp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23ccmp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cgmp_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cgmp_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cump_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23cump_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23dappa_e', 'minimum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('EX_23dappa_e', 'maximum')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
