reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
KDOCT2,b0918,kdsB,716019216844800,781111872921600,1106575153305600,1301853121536000,1366945777612800,1887687026227200,2017872338380800,2278242962688000,2538613586995200,2603706243072000,2603706243072000,2603706243072000,3059354835609600,3059354835609600,3189540147763200,3254632803840000,3254632803840000,3580096084224000,3905559364608000,4231022644992000,4231022644992000
KDOPP,b3198,kdsC,716019216844800,781111872921600,1106575153305600,1301853121536000,1366945777612800,1887687026227200,2017872338380800,2278242962688000,2538613586995200,2603706243072000,2603706243072000,2603706243072000,3059354835609600,3059354835609600,3189540147763200,3254632803840000,3254632803840000,3580096084224000,3905559364608000,4231022644992000,4231022644992000
KDOPS,b1215,kdsA,716019216844800,781111872921600,1106575153305600,1301853121536000,1366945777612800,1887687026227200,2017872338380800,2278242962688000,2538613586995200,2603706243072000,2603706243072000,2603706243072000,3059354835609600,3059354835609600,3189540147763200,3254632803840000,3254632803840000,3580096084224000,3905559364608000,4231022644992000,4231022644992000
LA4NTpp,b2257,arnT,,,,,,,,,,,,,,,,,,,,,
LACZ,b0344,lacZ,,,,,,,,,,,,,,,,,,,,,
LACZpp,b2132,bglX,,,,,,,,,,,,,,,,,,,,,
LADGMDH,b1326,mpaA,,,,,,,,,,,,,,,,,,,,,
LALDO2x,b3945,gldA,,,,,,,,,,,,,,,,,,,,,
LALGP,b0237,pepD,,,,,,,,,,,,,,,,,,,,,
LCADi,b1415,aldA,,,,,,,,,,,,,,,,,,,,,
LCARS,b2799,fucO,,,,,,,,,,,,,,,,,,,,,
LCTStpp,b0343,lacY,,,,,,,,,,,,,,,,,,,,,
LDH_D2,b2133,dld,,,,,,,,,,,,,,,,,,,,,
