reactions,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,pyruvate_heinmann,succinate_heinmann,Chemostat_vilu_04,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,NaCl_50mM_heinmann,42Cdeg_henimann
EX_acser_e,nan,nan,822421738330.1128,897187361583.633,1226668324806.5483,1495312279266.838,0.0,2092551843638.8875,0.0,2616796468964.4834,3153198111929.588,3052035694257.5293,0.0,2990624542868.194,3586512905406.1055,21557.44873465204,3663515055149.484,35806.81555925835,35806.81555925835,-27969.431655727738,0.0,24329.319700533422,24329.319700533422
EX_ade_e,nan,nan,133583219199.31139,145727150334.83643,211281646700.293,242878582591.78937,0.0,360421630349.7903,0.0,425037517345.36865,454773392101.6523,524022606911.4888,0.0,485757167764.50635,609467987627.574,0.0,595052531571.5172,0.0,0.0,0.0,0.0,0.0,0.0
EX_adn_e,nan,nan,122410282184.73367,133538491222.96915,191404893408.49747,222564151190.2052,0.0,326514229164.58826,0.0,389487262819.7524,433141360444.5583,470131505917.38965,0.0,445128304819.4363,547847888368.0932,0.0,545282172338.42236,0.0,0.0,0.0,0.0,0.0,0.0
EX_adocbl_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ag_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_agm_e,nan,nan,189176772547.26358,206374663941.35162,293984464240.9602,343957771130.3725,0.0,501502909713.018,0.0,601926098944.2069,659638326148.0917,721740632642.4337,0.0,687915545975.145,895374822307.2195,0.0,842696543146.7819,0.0,0.0,0.0,0.0,0.0,0.0
EX_akg_e,nan,nan,1032151983006.8733,1125983987698.8586,1528817019267.4453,1876639976316.0955,0.0,2607981967452.4976,0.0,3284119962936.1587,4688044031459.063,4412447838817.871,0.0,3753279953820.799,8886757644055.154,24366.463700076223,4597767938438.325,54973.1193233427,54973.1193233427,-44275.64745501655,0.0,0.0,0.0
EX_ala_B_e,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ala_D_e,nan,nan,1198091322690.6763,1307008727866.0383,1799765572034.9407,2178347873401.2507,0.0,3070188319675.3936,-17371.349004928223,3812108768995.1416,4454467588669.864,4783018568575.046,-19546.304290656968,4356695763738.4243,5514094050400.264,17281.826162280147,5336952314025.615,45216.72550593294,45216.72550593294,-43239.82318651638,0.0,0.0,0.0
EX_ala_L_e,nan,nan,1117984923830.5603,1219619927763.7212,1686528259363.3281,2032699873496.014,0.0,2877018785435.8193,-18075.198777514623,3557224775230.3755,4122509130605.0483,4440341471874.482,0.0,4065399765192.588,5118729922883.8125,0.0,4980114717223.65,42984.89347090428,42984.89347090428,-32891.01159514862,0.0,0.0,0.0
