reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
TDPADGAT,,11092554515238.1,3672885992982.46,4967298576666.67,,14371804027222.2,,13331104339722.2,29693347593793.1,,12872541076825.4,16202097237222.2,29265099862318.8,53309572401111.1,,8805903974193.55,24094664342051.3,6033689857471.26,60378511916250,11241001521190.5,4564815247380.95
TDPAGTA,253333333333333,,21947164656842.1,,220000000000000,18681681817777.8,223333333333333,5959013108055.55,65823058898850.6,236666666666667,21607220227936.5,40436088013611.1,64767731618550.7,56276788213888.9,263333333333333,52749019469892.5,15898389419230.8,21042389608505.8,65715622009375,71792492156428.6,58827034411904.8
ACMAMUT,,15513736180634.9,28752910191578.9,21239615571515.2,,36971008498333.3,,15136589083055.6,49982080051264.4,,23997167263492.1,44828274858333.3,53834598869565.2,39547228173611.1,,66496713225376.3,44315189811282.1,19968957610804.6,61507912745833.3,64479285249523.8,59928889035714.3
UPP3S,143333333333333,,,,130000000000000,,90000000000000,,,60000000000000,,,,41774814138888.9,50000000000000,2492007151612.9,,3257205239310.34,,,
HMBS,,902333768860000,677455765324561,805209437227273,,612750066359444,,798149116774445,597449385447816,,635739336173333,613747323992222,619396421758551,635082183323333,,602261290212473,746112530935641,677875847891494,655474232011458,670772971606667,591569416279286
DAPE_reverse,850000000000000,401924322209841,562826070730175,463446955128788,900000000000000,600438704115000,860000000000000,281989846044722,679835608335862,763333333333333,580620924943175,638608635513056,681872061834783,714025168436111,720000000000000,676850797813979,644859139467436,465489378991954,753917784295833,747045769391190,535701545383571
DAPE,850000000000000,401924322209841,562826070730175,463446955128788,900000000000000,600438704115000,860000000000000,281989846044722,679835608335862,763333333333333,580620924943175,638608635513056,681872061834783,714025168436111,720000000000000,676850797813979,644859139467436,465489378991954,753917784295833,747045769391190,535701545383571
NI2tpp,1413333333333330,,,,1060000000000000,,623333333333333,,,433333333333333,,,,,456666666666667,,,,,,
MG2tpp,1413333333333330,,,,1060000000000000,,623333333333333,,,433333333333333,,,,,456666666666667,,,,,,
METS,20953333333333300,2400219439528570,6442364805243160,3133092160856970,36183333333333300,5834863822615830,62513333333333300,4945845735121670,18262225650074500,95916666666666700,6699559256861270,15399634179411700,14289883835660900,15074424634440300,78560000000000000,14637281938734000,9590906525776150,13131031290918200,31238330069107700,23268587027429300,31364266057025500
PYNP2r_reverse,23530000000000000,3025438342737780,5757936107522810,2487422025484240,21330000000000000,5389594798387780,12610000000000000,2197303736631670,4288532365148740,11196666666666700,3479374756794290,3464335640986940,3236000850396230,2931635840220560,8666666666666670,2695399762864730,3109138901557950,1776759854451030,3349825863770000,3914599497477620,3235814028305240
PYNP2r,23530000000000000,3025438342737780,5757936107522810,2487422025484240,21330000000000000,5389594798387780,12610000000000000,2197303736631670,4288532365148740,11196666666666700,3479374756794290,3464335640986940,3236000850396230,2931635840220560,8666666666666670,2695399762864730,3109138901557950,1776759854451030,3349825863770000,3914599497477620,3235814028305240
AMMQLT8,2226666666666670,2041412715510790,2075780766432980,1820480960927580,2463333333333330,2077165968950280,2253333333333330,1682898983401110,1917634175547590,2196666666666670,1542879105043810,2424200604863610,2650783880647250,2396879201207500,2223333333333330,2753593130620000,2246126192018970,1865290833925060,2057363869255830,2460216162700240,2254680944723330
OMBZLM,2226666666666670,2041412715510790,2075780766432980,1820480960927580,2463333333333330,2077165968950280,2253333333333330,1682898983401110,1917634175547590,2196666666666670,1542879105043810,2424200604863610,2650783880647250,2396879201207500,2223333333333330,2753593130620000,2246126192018970,1865290833925060,2057363869255830,2460216162700240,2254680944723330
OPHHX,353333333333333,,,,353333333333333,,373333333333333,,,326666666666667,,,,,316666666666667,,,,,,
FE3Ri,723333333333333,507618150374286,672987831229474,583289094749091,850000000000000,774060096054167,853333333333333,650881924752222,940673882253104,750000000000000,704459268927302,844268512444445,980180014294493,1034973739135560,746666666666667,879306429781936,732146215804359,609976064387816,1010251813014170,983284840218571,915543943091190
FADRx,723333333333333,507618150374286,672987831229474,583289094749091,850000000000000,774060096054167,853333333333333,650881924752222,940673882253104,750000000000000,704459268927302,844268512444445,980180014294493,1034973739135560,746666666666667,879306429781936,732146215804359,609976064387816,1010251813014170,983284840218571,915543943091190
FLVRx,723333333333333,507618150374286,672987831229474,583289094749091,850000000000000,774060096054167,853333333333333,650881924752222,940673882253104,750000000000000,704459268927302,844268512444445,980180014294493,1034973739135560,746666666666667,879306429781936,732146215804359,609976064387816,1010251813014170,983284840218571,915543943091190
CTECOAI8_reverse,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
CTECOAI6,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
CTECOAI7,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
CTECOAI8,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
CTECOAI6_reverse,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
CTECOAI7_reverse,6333333333333330,48752180191428.6,50495711611228.1,80591524418787.9,6193333333333330,50316970417777.8,3510000000000000,70160747568333.3,44393854424367.8,1296666666666670,73640730672063.5,74465268828611.1,23974818424637.7,78663714493333.3,496666666666667,14109555909892.5,44321256770512.8,22442939787816.1,11136200897916.7,20745604466428.6,11192758598571.4
PPPGO3,196666666666667,138949855031111,327492449665263,44199806069393.9,206666666666667,195027341809167,193333333333333,345069751163611,317818076048276,183333333333333,434443146546349,320365257046111,503586246462319,1218732146374720,206666666666667,271611900963011,235058964047179,266683002077701,533419469905000,264424330065476,349085913519286
PPPGO,196666666666667,138949855031111,327492449665263,44199806069393.9,206666666666667,195027341809167,193333333333333,345069751163611,317818076048276,183333333333333,434443146546349,320365257046111,503586246462319,1218732146374720,206666666666667,271611900963011,235058964047179,266683002077701,533419469905000,264424330065476,349085913519286
CPPPGO2,,,,10353782600000,,,,23256157260833.3,9854719785057.47,,10218163702857.1,9468270629166.67,11095468631594.2,26197112460833.3,,12121478272258.1,2799538927692.31,9757534594252.87,6756330539166.67,12272466556904.8,17392548985476.2
