reactions,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,pyruvate_heinmann,succinate_heinmann,glycerol_heinmann,fumarate_heinmann,Chemostat_vilu_049,pH6_heinmann,Chemostat_heinmann_05,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
PDXPP,,45748640782857.2,189223617148772,122090605390606,,288773734085833,,200048193814722,542566934562069,,465872461220000,617238474231944,575279298559131,628391187135833,,573495846683656,376058752242051,407012482492874,653533973002292,646584940454048,541814496806191
PGL,9130000000000000,12082196590124800,13735313214189800,10846499225993900,6246666666666670,12425829198270000,5656666666666670,6424872665266940,7333673905668040,5233333333333330,8479306601619370,8287723371300550,9625035534563480,8058228526371110,4570000000000000,10097488408732000,7907603615602560,8300103329897470,7020264185925420,7837251650219050,8013181767757620
AMAOTr,,39534683513015.9,97663919670877.2,14364349960909.1,,98440063213333.3,,31739677336666.7,190228833496782,,122619004823492,195990849287500,183145480797681,199388768057222,,158177262811828,76964954440769.2,41088540602298.8,223434218016250,213942819084048,205015053866190
AMAOTr_reverse,,39534683513015.9,97663919670877.2,14364349960909.1,,98440063213333.3,,31739677336666.7,190228833496782,,122619004823492,195990849287500,183145480797681,199388768057222,,158177262811828,76964954440769.2,41088540602298.8,223434218016250,213942819084048,205015053866190
BTS5,,35007302209523.8,111947656708070,54877611609393.9,,134711406049444,,71753261026388.9,453330080636782,,337515741484127,374281356858333,237766826269565,335528937250000,,306763822175484,161036559693846,127898078286897,386494169577083,423208269841190,439902804943810
AOXSr2,,569056776028889,244935693881404,49593862506969.7,,150975583666944,,785310516764167,524852938891494,,467902387741270,524921477652222,303707429350725,118134108116111,,228105786545161,231231504623333,117366185910575,438841485149583,228234631483333,247538474675000
MALCOAMT,,,11384350523859.6,,,10118866138055.6,,13289509100555.6,30804881590574.7,,32593276746031.7,28751080329166.7,42608060336231.9,,,39350471705806.5,,,12853095726875,3179889836904.76,
DBTS,263333333333333,413888491399683,1213343969774040,347929151545455,,1578210578747780,370000000000000,424621477034167,1758404146150340,323333333333333,1093111036847620,1407366345336110,1310719117751300,1227839559843330,416666666666667,1937857625403230,820028705426923,650589504702988,1434135123407920,1472408279316670,1715144688291190
R5PP,,87339810000317.5,155295052137895,94589695976969.7,,151824893382778,,92769925235833.3,185760756946437,,179242238386349,175235977250000,202329987085507,140832855689444,,329004522037419,247117463335641,301381178035862,308736797901458,277389686965714,287021445152143
G3PT,,87339810000317.5,155295052137895,94589695976969.7,,151824893382778,,92769925235833.3,185760756946437,,179242238386349,175235977250000,202329987085507,140832855689444,,329004522037419,247117463335641,301381178035862,308736797901458,277389686965714,287021445152143
MN6PP,,87339810000317.5,155295052137895,94589695976969.7,,151824893382778,,92769925235833.3,185760756946437,,179242238386349,175235977250000,202329987085507,140832855689444,,329004522037419,247117463335641,301381178035862,308736797901458,277389686965714,287021445152143
G6PP,,87339810000317.5,155295052137895,94589695976969.7,,151824893382778,,92769925235833.3,185760756946437,,179242238386349,175235977250000,202329987085507,140832855689444,,329004522037419,247117463335641,301381178035862,308736797901458,277389686965714,287021445152143
F6PP,,87339810000317.5,155295052137895,94589695976969.7,,151824893382778,,92769925235833.3,185760756946437,,179242238386349,175235977250000,202329987085507,140832855689444,,329004522037419,247117463335641,301381178035862,308736797901458,277389686965714,287021445152143
MPTSS,,104633846787937,109148964321404,20950722422121.2,,180503889906944,,180583221286111,132652359404138,,136910479668571,153608636742222,102456236263768,67554788513888.9,,32235908990107.5,131688846606410,82890983681839.1,195422203107500,87269839794523.8,25891467777857.1
WCOS,883333333333333,304394586280317,592022466232281,343915801894242,786666666666667,510633280343889,840000000000000,551090356238333,1000918387876780,766666666666667,852750110145080,810236144906667,965834227247826,824821218585556,760000000000000,987324493921075,643978876622564,504009021373333,1074575937080000,1154474969827860,965440746129286
MOCOS,883333333333333,304394586280317,592022466232281,343915801894242,786666666666667,510633280343889,840000000000000,551090356238333,1000918387876780,766666666666667,852750110145080,810236144906667,965834227247826,824821218585556,760000000000000,987324493921075,643978876622564,504009021373333,1074575937080000,1154474969827860,965440746129286
BMOCOS,883333333333333,304394586280317,592022466232281,343915801894242,786666666666667,510633280343889,840000000000000,551090356238333,1000918387876780,766666666666667,852750110145080,810236144906667,965834227247826,824821218585556,760000000000000,987324493921075,643978876622564,504009021373333,1074575937080000,1154474969827860,965440746129286
BWCOS,883333333333333,304394586280317,592022466232281,343915801894242,786666666666667,510633280343889,840000000000000,551090356238333,1000918387876780,766666666666667,852750110145080,810236144906667,965834227247826,824821218585556,760000000000000,987324493921075,643978876622564,504009021373333,1074575937080000,1154474969827860,965440746129286
POX,8150000000000000,41531018089206.3,113609860178947,30954786269697,5713333333333330,124350679578333,4506666666666670,58868193675277.8,189725773455632,3570000000000000,75523055317460.3,121684672223333,195716468831884,151398841865000,2690000000000000,253644850660860,62058925796410.3,49425607432643.7,207021247303125,189113326839048,305538442860476
SERTRS2,6246666666666670,1890362493440000,2758191413237190,2008290282140610,6840000000000000,3316659305572220,7260000000000000,1815338346556670,3991513325417700,6746666666666670,3752747988438410,4369542772502780,3888663907131590,4146082760611940,7146666666666670,4615669244173550,3794458003215640,3412010850721610,4707848104950210,4774426851616430,4418021878507140
SERTRS,6246666666666670,1890362493440000,2758191413237190,2008290282140610,6840000000000000,3316659305572220,7260000000000000,1815338346556670,3991513325417700,6746666666666670,3752747988438410,4369542772502780,3888663907131590,4146082760611940,7146666666666670,4615669244173550,3794458003215640,3412010850721610,4707848104950210,4774426851616430,4418021878507140
OHPBAT,14086666666666700,5836002227650800,11136546390931600,7124212470752420,18850000000000000,10420417822483600,20033333333333300,7237520192029720,14767489178867400,19893333333333300,12273428180119700,11853480033944700,12634139043839400,11888807462835600,26673333333333300,18921704557641700,11856450217241500,17071960834897500,18390176256115800,19591390048418600,18435286492279500
OHPBAT_reverse,14086666666666700,5836002227650800,11136546390931600,7124212470752420,18850000000000000,10420417822483600,20033333333333300,7237520192029720,14767489178867400,19893333333333300,12273428180119700,11853480033944700,12634139043839400,11888807462835600,26673333333333300,18921704557641700,11856450217241500,17071960834897500,18390176256115800,19591390048418600,18435286492279500
PSERT,14086666666666700,5836002227650800,11136546390931600,7124212470752420,18850000000000000,10420417822483600,20033333333333300,7237520192029720,14767489178867400,19893333333333300,12273428180119700,11853480033944700,12634139043839400,11888807462835600,26673333333333300,18921704557641700,11856450217241500,17071960834897500,18390176256115800,19591390048418600,18435286492279500
PSCVT,1333333333333330,893622401658730,1418366420652630,1031194260059090,1323333333333330,1454267455775560,1490000000000000,1234329636075830,2640170248923220,1756666666666670,1676916595558100,1704381074300280,1919163759773620,1755240347267780,2336666666666670,2872412667481290,1896525492155640,2506456548299080,3008577900162290,3250755606720710,2974425601470950
PSCVT_reverse,1333333333333330,893622401658730,1418366420652630,1031194260059090,1323333333333330,1454267455775560,1490000000000000,1234329636075830,2640170248923220,1756666666666670,1676916595558100,1704381074300280,1919163759773620,1755240347267780,2336666666666670,2872412667481290,1896525492155640,2506456548299080,3008577900162290,3250755606720710,2974425601470950
CYTK2_reverse,1353333333333330,2284943960030480,2769349099819650,1937177850080000,1236666666666670,2462285487543890,1026666666666670,2307541294995830,2477912364977240,990000000000000,2089261624669520,2426264155394720,2654944990010430,2404458238506670,1130000000000000,2566061700790320,2389635769281540,2429505479800000,2524924235880830,2633945708421900,2404352603510710
CYTK1,1353333333333330,2284943960030480,2769349099819650,1937177850080000,1236666666666670,2462285487543890,1026666666666670,2307541294995830,2477912364977240,990000000000000,2089261624669520,2426264155394720,2654944990010430,2404458238506670,1130000000000000,2566061700790320,2389635769281540,2429505479800000,2524924235880830,2633945708421900,2404352603510710
CYTK2,1353333333333330,2284943960030480,2769349099819650,1937177850080000,1236666666666670,2462285487543890,1026666666666670,2307541294995830,2477912364977240,990000000000000,2089261624669520,2426264155394720,2654944990010430,2404458238506670,1130000000000000,2566061700790320,2389635769281540,2429505479800000,2524924235880830,2633945708421900,2404352603510710
CYTK1_reverse,1353333333333330,2284943960030480,2769349099819650,1937177850080000,1236666666666670,2462285487543890,1026666666666670,2307541294995830,2477912364977240,990000000000000,2089261624669520,2426264155394720,2654944990010430,2404458238506670,1130000000000000,2566061700790320,2389635769281540,2429505479800000,2524924235880830,2633945708421900,2404352603510710
PA141abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA120abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE160abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA181abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE120abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG160abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG180abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE180abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA160abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE161abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP140abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA161abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE181abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA180abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG141abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG120abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
K2L4Aabcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PA140abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG161abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
LIPACabcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
COLIPAabcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG140abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE140abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP141abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP160abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PG181abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
LIPAabcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP120abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP180abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP161abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PGP181abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
PE141abcpp,230000000000000,,,9909734123333.33,230000000000000,3540929367222.22,206666666666667,23557238505277.8,5714124919540.23,203333333333333,4860027948888.89,3109525364722.22,6396621675652.18,3307651764444.44,166666666666667,,3537555557692.31,10148460758620.7,11096986392291.7,9828852822619.05,
KDOCT2,1200000000000000,1333779925480950,1140225524716840,1239504501245150,1303333333333330,1291429807894440,1366666666666670,1385209184393330,1654478661946900,1353333333333330,1714886857010480,1628836767866390,1641417090752170,1577971042588890,1513333333333330,1815414600171400,1546876957547950,2031192261764370,1957265964937290,1897931183610000,1956703281684290
ASPTA,15966666666666700,2029931541754920,5731761552185260,2663770058626360,23553333333333300,7353419573098890,25716666666666700,3678802861050000,8388528411895170,20230000000000000,6645180647146350,9547345642432780,11188328116591900,9522893818025560,18586666666666700,8318776883551400,6227705857770260,4199480547134480,8725792600607500,8941056323010240,8533548556431910
ASPTA_reverse,15966666666666700,2029931541754920,5731761552185260,2663770058626360,23553333333333300,7353419573098890,25716666666666700,3678802861050000,8388528411895170,20230000000000000,6645180647146350,9547345642432780,11188328116591900,9522893818025560,18586666666666700,8318776883551400,6227705857770260,4199480547134480,8725792600607500,8941056323010240,8533548556431910
ASNTRS,7853333333333330,1491878830717140,2551123294859300,1471594696504240,9603333333333330,2745527024105280,9996666666666670,1491591359202220,4756618275943910,9233333333333330,2352573333899050,4012501316006390,4743282587519130,4389982573051390,9923333333333330,5312723704522150,2634503661731030,2287404254192180,5603992430857500,5871690295755240,5656193766572380
NAMNPP,1340000000000000,25163064053968.3,50791135754736.8,48238015586969.7,1590000000000000,63440081813888.9,1503333333333330,48272628799722.2,255854381728736,1316666666666670,73627392266984.1,122446288178333,331077757337681,227659148880833,1480000000000000,237101981891183,51933826310512.8,75057674257471.3,380062825973333,362410586466190,394827914854286
DHORD2,393333333333333,637971735812381,1247532720449820,731456389613939,663333333333333,1181125118935280,1033333333333330,1177527554527780,2789799403443450,1193333333333330,2309970794966980,2410635780067220,2334100030100290,2251895147631390,1806666666666670,2624932313194190,1978719079335380,2942864078194480,2664674931911040,2698908739036430,2621693434401670
DHORD5,393333333333333,637971735812381,1247532720449820,731456389613939,663333333333333,1181125118935280,1033333333333330,1177527554527780,2789799403443450,1193333333333330,2309970794966980,2410635780067220,2334100030100290,2251895147631390,1806666666666670,2624932313194190,1978719079335380,2942864078194480,2664674931911040,2698908739036430,2621693434401670
T2DECAI_reverse,19176666666666700,19039725297954300,13741248083026700,18371293315250600,16790000000000000,13442936769988600,16453333333333300,18256515902010000,13217584195632600,17220000000000000,12364962192713300,15755360448338600,13929637165730400,15890301742263900,14106666666666700,11803355445842400,18019481551028700,14407245073993600,11513207555211000,11631863771640500,12977437864428100
T2DECAI,19176666666666700,19039725297954300,13741248083026700,18371293315250600,16790000000000000,13442936769988600,16453333333333300,18256515902010000,13217584195632600,17220000000000000,12364962192713300,15755360448338600,13929637165730400,15890301742263900,14106666666666700,11803355445842400,18019481551028700,14407245073993600,11513207555211000,11631863771640500,12977437864428100
MGSA,3470000000000000,2853036009166350,3660770538773330,2859369170799090,2923333333333330,3270301236738330,3500000000000000,3138048455031940,2465226429220690,2543333333333330,2780889559911430,4039307903809450,3945471273712170,4754545634831940,2096666666666670,2627414812748390,3831089508983850,1937169158714480,2427088844679790,2427278343523100,1919364882258810
APH180,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH181,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH160,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH161,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH140,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH141,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
APH120,770000000000000,2393829464902860,1352115373717190,1322578225443030,490000000000000,1234577797765830,363333333333333,1189668483024720,1001326329757010,286666666666667,663198503751111,685498493419722,880169054463768,780854031841944,250000000000000,912885386378280,876953297004103,814979951416552,634262248171042,709094653240000,786079909662619
PHYTSpp,,250115137361587,124658067724912,164005668241212,,91755559131111.1,,126526061716389,90446813155402.3,,90057004453015.9,56978537502222.2,86268359754492.8,45896193613611.1,,137861738698280,94575949752051.3,124738120030345,75203672935833.3,105424492292381,92334335273333.3
NTP3pp,,250115137361587,124658067724912,164005668241212,,91755559131111.1,,126526061716389,90446813155402.3,,90057004453015.9,56978537502222.2,86268359754492.8,45896193613611.1,,137861738698280,94575949752051.3,124738120030345,75203672935833.3,105424492292381,92334335273333.3
G1PPpp,11003333333333300,20552374914819400,7602330344214390,12862382747319400,8460000000000000,7154324662844720,4733333333333330,7010260761470560,2673795551029190,2533333333333330,4521426761734600,4071392965935560,3747059257696230,5032371787365280,1376666666666670,1766701308853980,5647417096789740,1891502774254250,1773232405066250,1698065588986430,1609920980221430
GAL1PPpp,11003333333333300,20552374914819400,7602330344214390,12862382747319400,8460000000000000,7154324662844720,4733333333333330,7010260761470560,2673795551029190,2533333333333330,4521426761734600,4071392965935560,3747059257696230,5032371787365280,1376666666666670,1766701308853980,5647417096789740,1891502774254250,1773232405066250,1698065588986430,1609920980221430
P5CD,,,19145633410175.4,37526254798484.8,,22828026459444.4,,9615242815000,8592467163908.05,,10152735166031.7,13954797108055.6,21561788856811.6,37564898860000,,13167611946451.6,4243132559230.77,11868748514252.9,147379961408750,38341409782619,23366720796190.5
PROD2,,,19145633410175.4,37526254798484.8,,22828026459444.4,,9615242815000,8592467163908.05,,10152735166031.7,13954797108055.6,21561788856811.6,37564898860000,,13167611946451.6,4243132559230.77,11868748514252.9,147379961408750,38341409782619,23366720796190.5
EDTXS1,,,,,,,,,,,,,3260381004927.54,3252699255000,,,,,,,
MTRPOX,916666666666667,1259947729581270,1685378898478950,1489308021803640,1093333333333330,1477076001390830,953333333333333,1501691616600000,2204768013119080,910000000000000,1974471730490480,2085150404283330,2023179383079130,2116851333638330,990000000000000,2415170993150750,1832065321360000,1901927465080230,2464745871973750,2786937139953100,2499574138826430
SARCOX,916666666666667,1259947729581270,1685378898478950,1489308021803640,1093333333333330,1477076001390830,953333333333333,1501691616600000,2204768013119080,910000000000000,1974471730490480,2085150404283330,2023179383079130,2116851333638330,990000000000000,2415170993150750,1832065321360000,1901927465080230,2464745871973750,2786937139953100,2499574138826430
DHORTS_reverse,3773333333333330,5340741675587620,7056513448320350,6645609667090300,4233333333333330,6715951992451670,4170000000000000,7357008813144720,7620248416560690,4803333333333330,9476988303690790,8401524272365830,7726608611061450,6853619149134170,4416666666666670,8719545911618710,7550390222345380,6397265739605740,8516247296732710,7048438213672860,7720433990285000
DHORTS,3773333333333330,5340741675587620,7056513448320350,6645609667090300,4233333333333330,6715951992451670,4170000000000000,7357008813144720,7620248416560690,4803333333333330,9476988303690790,8401524272365830,7726608611061450,6853619149134170,4416666666666670,8719545911618710,7550390222345380,6397265739605740,8516247296732710,7048438213672860,7720433990285000
KAS15,5833333333333330,2786858358602220,3474708360844210,2242277697817880,5603333333333330,4625817884838330,5206666666666670,2812627096815560,3667490955710800,4710000000000000,2523373100300320,3569288692317220,3664163675498550,3547074130933890,5200000000000000,3881588212818490,2995117840812820,2733442380449880,4106402985783540,4001433651075480,3988823041402860
OGMEACPS,5833333333333330,2786858358602220,3474708360844210,2242277697817880,5603333333333330,4625817884838330,5206666666666670,2812627096815560,3667490955710800,4710000000000000,2523373100300320,3569288692317220,3664163675498550,3547074130933890,5200000000000000,3881588212818490,2995117840812820,2733442380449880,4106402985783540,4001433651075480,3988823041402860
3OAR120_reverse,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
3OAR60,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
OPMEACPR,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
3OAR80,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
3OAR160_reverse,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
3OAR180_reverse,12120000000000000,6360371401328570,6979482038398950,6895082571964850,11563333333333300,7879638552103330,11613333333333300,5698079316356950,7864437057905060,11780000000000000,6789929834651430,8456468236930280,7443987499260870,8078465648888610,12633333333333300,8639574734741510,8257506847088460,9492074593361380,7759216435990630,7592219370496670,7737443208952140
