,glc,glyc,ac,std
ASNS2,-99.83519705034794,-101.48406056924541,-101.51092854796093,
EX_lyx_L_e,0.0,0.0,0.0,
ASNS1,-57.97926098464367,-52.98074217566091,-54.1794378194145,
EX_glcur_e,0.0,0.0,0.0,
EAR40x,0.0,0.0,0.0,
EAR40y,0.0,0.0,0.0,
TMDK1,-24.9603365258792,-28.04532458121069,-25.537706899056165,
LDH_D,12.499229367894246,12.421336327022736,13.817895361523302,
EX_ttdca_e,0.0,0.0,0.0,
EX_udpglcur_e,0.0,0.0,0.0,
PRATPP,-98.7963962937396,-98.7963962937396,-98.7963962937396,
PLIPA1E160pp,0.0,0.0,0.0,
GMPR,70.55239809406189,68.57938627302761,68.46545233785417,
PSSA120,0.0,0.0,0.0,
EX_frulys_e,0.0,0.0,0.0,
PAPA160pp,0.0,0.0,0.0,
EDTXS2,0.0,0.0,0.0,
PRAIi,-5.785318542470083,-5.785318542470083,-5.785318542470083,
UGLT,-22.260246993916553,-20.270806948847543,-18.522281601758493,
EX_no2_e,0.0,0.0,0.0,
UDPGDC,-44.29657353247644,-43.35450689793265,-40.247186250767605,
EX_ca2_e,0.0,0.0,0.0,
NADPPPS,-12.980431430790116,-11.815937983874706,-13.099858235609787,
EX_cytd_e,0.0,0.0,0.0,
EX_cgly_e,0.0,0.0,0.0,
THRD_L,-31.45226358807799,-31.45226358807799,-31.45226358807799,
GLYOX,-26.193715174498298,-26.048783422674468,-28.01159483669425,
KAS15,0.0,0.0,0.0,
LPLIPAL1A181pp,0.0,0.0,0.0,
NTD6pp,-36.338919582836695,-36.338919582836695,-36.338919582836695,
PPPGO3,11.473832161925015,10.193393592927801,8.370202550623539,
AACTOOR,-16.288454915062943,-16.288454915062943,-16.288454915062943,
EX_phe_L_e,0.0,0.0,0.0,
ACGS,-57.547688073010704,-56.14314857865342,-53.286165658026256,
XYLI2,-0.09930580004652256,-0.09930580004652256,-0.09930580004652256,
NHFRBO,-261.5350371723244,-261.4571441314529,-262.85370316595345,
RNDR4b,0.0,0.0,0.0,
URIK2,-40.95322753264084,-47.83728316489201,-46.608851161981114,
ACGAM1PPpp,-47.245020675075004,-47.245020675075004,-47.245020675075004,
THRS,-32.447689453234474,-32.447689453234474,-32.447689453234474,
DM_AMOB,0.0,0.0,0.0,
THRTRS,0.0,0.0,0.0,
SHK3Dr,-79.46438415208735,-81.43739597312162,-81.55132990829507,
LPLIPAL2A140,0.0,0.0,0.0,
PNTK,-17.53256811616876,-20.61755617150025,-18.109938489345726,
DDPGALA,-3.404641892315368,-3.404641892315368,-3.404641892315368,
OAADC,-30.999470783746204,-30.999470783746204,-30.999470783746204,
EX_rib_D_e,0.0,0.0,0.0,
LPLIPAL2A141,0.0,0.0,0.0,
EX_tma_e,0.0,0.0,0.0,
EX_dca_e,0.0,0.0,0.0,
TDP,-43.47586161992163,-43.47586161992163,-43.47586161992163,
ASNTRS,0.0,0.0,0.0,
EX_man6p_e,0.0,0.0,0.0,
TGBPA,16.847432096784914,17.77578251649736,14.533766963798584,
UDPKAAT,12.998927933529991,12.726584946782646,14.903948275307163,
ARAI,4.893341606358433,4.893341606358433,4.893341606358433,
GALKr,-20.23564256587167,-23.32063062120316,-20.813012939048637,
EX_lcts_e,0.0,0.0,0.0,
EX_idon_L_e,0.0,0.0,0.0,
EX_hom_L_e,0.0,0.0,0.0,
ACACT6r,34.39369127999266,36.88739071212973,36.76691530531433,
MALS,-15.811074612955352,-11.534523619669294,-11.742711779097114,
CYNTAH,114.23319183665308,114.23319183665308,114.23319183665308,
CYTDH,-11.848304567331358,-11.848304567331358,-11.848304567331358,
NTD11pp,-36.18102763687264,-36.18102763687264,-36.18102763687264,
PSSA161,0.0,0.0,0.0,
EX_mmet_e,0.0,0.0,0.0,
FMNRx2,-38.43075737794398,-33.03170284044848,-40.48986434126962,
ADNUC,-15.94542819145358,-15.94542819145358,-15.94542819145358,
SERD_D,-18.576039362257262,-18.576039362257262,-18.576039362257262,
GUAPRT,-48.42976804905108,-37.12679770900473,-35.93035968103639,
FACOAE161,-27.487200263444386,-24.518715637327688,-25.025623630171655,
FACOAE160,-24.742822761355747,-21.77433813523905,-22.281246128083016,
SPODM,88.6664586091146,88.6664586091146,88.6664586091146,
HETZK,-26.29783403333237,-29.38282208866386,-26.875204406509337,
GALS3,-27.839575718751036,-27.839575718751036,-27.839575718751036,
ORNDC,-36.85338400898823,-36.85338400898823,-36.85338400898823,
EX_pi_e,0.0,0.0,0.0,
ALDD2y,-43.23947351673198,-41.26646169569771,-41.152527760524265,
ALDD2x,-62.035038947669804,-62.11293198854131,-60.71637295404075,
NTD8pp,-42.41555800540698,-42.41555800540698,-42.41555800540698,
UPP3S,-338.4870065854424,-338.4870065854424,-338.4870065854424,
PGPP140pp,0.0,0.0,0.0,
FA120ACPHi,0.0,0.0,0.0,
PAPA140,0.0,0.0,0.0,
PAPA141,0.0,0.0,0.0,
GLNTRS,0.0,0.0,0.0,
CBIAT,0.0,0.0,0.0,
PLIPA1A181pp,0.0,0.0,0.0,
G1PPpp,-33.2614005008476,-33.2614005008476,-33.2614005008476,
EX_g6p_e,0.0,0.0,0.0,
ICHORSi,0.9809036674538447,0.9809036674538447,0.9809036674538447,
HMPK1,-21.317606448155914,-24.402594503487403,-21.89497682133288,
ECOAH8,0.7080526193373373,0.7080526193373373,0.7080526193373373,
ECOAH6,0.7080526193377921,0.7080526193377921,0.7080526193377921,
ECOAH7,0.7080526193373373,0.7080526193373373,0.7080526193373373,
ECOAH4,0.7080526193377921,0.7080526193377921,0.7080526193377921,
ECOAH5,0.7080526193377921,0.7080526193377921,0.7080526193377921,
ECOAH2,1.0292336777099536,1.0292336777099536,1.0292336777099536,
DMPPS,-54.4809074623161,-54.40301442144459,-55.79957345594516,
ECOAH1,3.7938150967102047,3.7938150967102047,3.7938150967102047,
OP4ENH,-0.7166553884534039,-0.7166553884534039,-0.7166553884534039,
FA80ACPHi,0.0,0.0,0.0,
EX_cmp_e,0.0,0.0,0.0,
GRTT,-76.09910361141539,-76.09910361141539,-76.09910361141539,
ANPRT,-72.87754353276664,-70.91717648241743,-70.35784858447163,
EX_glyald_e,0.0,0.0,0.0,
EX_din_e,0.0,0.0,0.0,
