14GLUCANtexi,b4036
XTSNt2rpp,b2406
XYLI1,b3565
XYLI2,b3565
XYLt2pp,b4031
ZN2abcpp,b3469
ZN2tpp,b3040
3OAR100_reverse,b1093
3OAR120_reverse,b1093
3OAR140_reverse,b1093
3OAR160_reverse,b1093
3OAR180_reverse,b1093
3OAR40_reverse,b1093
3OAR60_reverse,b1093
3OAR80_reverse,b1093
5DGLCNR_reverse,b4266
5DGLCNt2rpp_reverse,b4265
ACACt2pp_reverse,b2223
ACALDtpp_reverse,s0001
ACOAD1f_reverse,b0221
ACOAD2f_reverse,b0221
ACOAD3f_reverse,b0221
ACOAD4f_reverse,b0221
ACOAD5f_reverse,b0221
ACOAD6f_reverse,b0221
ACOAD7f_reverse,b0221
ACOAD8f_reverse,b0221
ACONIs_reverse,s0001
ADK1_reverse,b0474
ADK3_reverse,b0474
ADK4_reverse,b0474
ADNt2rpp_reverse,b2406
ADNtex_reverse,b0411
ADSL1r_reverse,b1131
ADSL2r_reverse,b1131
AGPR_reverse,b3958
AICART_reverse,b4006
AIRC3_reverse,b0523
AKGt2rpp_reverse,b2587
ALAGLUE_reverse,b1325
ALCD19_reverse,b0356
ALDD19xr_reverse,b1385
ALLPI_reverse,b4090
ALLTNt2rpp_reverse,b0511
ALLULPE_reverse,b4085
AMANAPEr_reverse,b3223
AMAOTr_reverse,b0774
APPLDHr_reverse,b3945
ARAI_reverse,b0062
ARBt2rpp_reverse,b2841
ARGAGMt7pp_reverse,b4115
ARGORNt7pp_reverse,b1605
ARGSL_reverse,b3960
ASAD_reverse,b3433
ASNt2rpp_reverse,b1453
ASPTA_reverse,b0928
ATHRDHr_reverse,b1539
BUTt2rpp_reverse,b2223
CAt6pp_reverse,b3196
CBIAT_reverse,b1270
CBLAT_reverse,b1270
CO2tpp_reverse,s0001
CRNBTCT_reverse,b0038
CRNCAR_reverse,b0036
CRNCBCT_reverse,b0038
CRNCDH_reverse,b0036
CRNDt2rpp_reverse,b4111
CRNt2rpp_reverse,b4111
CTBTt2rpp_reverse,b4111
CTECOAI6_reverse,b3846
CTECOAI7_reverse,b3846
CTECOAI8_reverse,b3846
CYTDt2rpp_reverse,b2406
CYTK1_reverse,b0910
CYTK2_reverse,b0910
DADK_reverse,b0474
DADNtex_reverse,b0411
DAPE_reverse,b3809
DCYTtex_reverse,b0411
DDGLCNt2rpp_reverse,b3909
DDPGALA_reverse,b4477
DGK1_reverse,b3648
DHACOAH_reverse,b1393
DHBD_reverse,b0596
DHNPA2r_reverse,b3058
DHNPTE_reverse,b3058
DHORTS_reverse,b1062
DHPTPE_reverse,b2303
DMSOtpp_reverse,s0001
DSERDHr_reverse,b1539
DTMPK_reverse,b1098
DURItex_reverse,b0411
ENO_reverse,b2779
ETOHtrpp_reverse,s0001
FALDH2_reverse,b0356
FALDtpp_reverse,s0001
FALGTHLs_reverse,s0001
FBA3_reverse,b2925
FCI_reverse,b2802
FORCT_reverse,b2374
FRULYSDG_reverse,b3371
FRULYSE_reverse,b4474
FRUURt2rpp_reverse,b4321
FUCtpp_reverse,b2801
G1SAT_reverse,b0154
G3PD2_reverse,b3608
G6PDH2r_reverse,b1852
GALURt2rpp_reverse,b3093
GAPD_reverse,b1779
GARFT_reverse,b2500
GGGABADr_reverse,b1300
GHBDHx_reverse,b3882
GHMT2r_reverse,b2551
GK1_reverse,b3648
GLCATr_reverse,b0459
GLTPD_reverse,b2091
GLUABUTt7pp_reverse,b1492
GLUDy_reverse,b1761
GLUR_reverse,b3967
GLUt2rpp_reverse,b4077
GLYALDtpp_reverse,b3927
GLYAT_reverse,b3617
GTHOr_reverse,b3500
GUAtex_reverse,b0411
GUI1_reverse,b3092
GUI2_reverse,b3092
H2tpp_reverse,s0001
HADPCOADH3_reverse,b1395
HCINNMt2rpp_reverse,b0353
HEXt2rpp_reverse,b2223
HISt2rpp_reverse,b0112
HPPPNt2rpp_reverse,b0353
HPYRI_reverse,b0508
ICDHyr_reverse,b1136
ICHORS_reverse,b2265
IDOND_reverse,b4267
IDONt2rpp_reverse,b4265
ILETA_reverse,b3770
ILEt2rpp_reverse,b0401
IMPC_reverse,b4006
INDOLEt2rpp_reverse,b3161
INSt2rpp_reverse,b2406
INStex_reverse,b0411
IPDDI_reverse,b2889
KARA1_reverse,b3774
KARA2_reverse,b3774
LCARS_reverse,b2799
LCTStpp_reverse,b0343
LEUt2rpp_reverse,b0401
LSERDHr_reverse,b1539
M1PD_reverse,b3600
MALTATr_reverse,b0459
MAN6PI_reverse,b1613
MANAO_reverse,b4323
MCITL2_reverse,b0331
MDH_reverse,b3236
MEOHtrpp_reverse,s0001
MICITDr_reverse,b0118
MLTP1_reverse,b3417
MLTP2_reverse,b3417
MLTP3_reverse,b3417
MTHFC_reverse,b0529
MTHFD_reverse,b0529
N2Otpp_reverse,s0001
NNATr_reverse,b0639
NOVBCNtex_reverse,s0001
NOtpp_reverse,s0001
O2tpp_reverse,s0001
OHPBAT_reverse,b0907
ORPT_reverse,b3642
PERD_reverse,b2320
PGAMT_reverse,b3176
PGI_reverse,b4025
PGK_reverse,b2926
PMANM_reverse,b2048
PPAKr_reverse,b3115
PPK2r_reverse,b2501
PPKr_reverse,b2501
PPM2_reverse,b4383
PPPNt2rpp_reverse,b2536
PRAGSr_reverse,b4005
PRMICI_reverse,b2024
PROt2rpp_reverse,b4111
PRPPS_reverse,b1207
PSCVT_reverse,b0908
PTRCORNt7pp_reverse,b0692
PUNP1_reverse,b4384
PUNP2_reverse,b4384
PUNP7_reverse,b2407
PYNP2r_reverse,b3831
QUINDH_reverse,b1692
REPHACCOAI_reverse,b1394
RFAMPtex_reverse,s0001
RMI_reverse,b3903
RMPA_reverse,b3902
SBTPD_reverse,b2705
SDPTA_reverse,b3359
SERASr_reverse,b0586
SERAT_reverse,b3607
SO2tpp_reverse,s0001
T2DECAI_reverse,b0954
TAGURr_reverse,b1521
TARTRt7pp_reverse,b3063
THMDt2rpp_reverse,b2406
THRt2rpp_reverse,b3116
TMDPP_reverse,b4382
TPI_reverse,b3919
TRPAS2_reverse,b3708
UAG2E_reverse,b3786
UDPG4E_reverse,b0759
UDPKAAT_reverse,b2253
UGLT_reverse,b0758
URAt2rpp_reverse,b1006
UREAtpp_reverse,b3927
URIt2rpp_reverse,b2406
URItex_reverse,b0411
VALTA_reverse,b3770
VPAMTr_reverse,b3572
XTSNt2rpp_reverse,b2406
XYLI1_reverse,b3565
XYLI2_reverse,b3565
METS,b3829
HCO3E,b0126
PFK,b3916
RPI,b2914
