14GLUCANtexi,b4036
AGMt2pp,b0433
AGPAT120,b3018
AGPAT140,b3018
AGPAT141,b3018
AGPAT160,b3018
AGPAT161,b3018
AGPAT180,b3018
AGPAT181,b3018
AGPR,b3958
AHCYSNS,b0159
AICART,b4006
AIRC2,b0522
AIRC3,b0523
AKGt2rpp,b2587
ALAALAD,b1488
ALAGLUE,b1325
ALATRS,b2697
ALAt2pp,b4208
ALAt4pp,b0007
ALCD19,b0356
ALDD19xr,b1385
ALDD2x,b1300
ALDD2y,b3588
ALDD3y,b3588
ALLK,b4084
ALLPI,b4090
ALLTAMH,b0516
ALLTN,b0512
ALLTNt2rpp,b0511
ALLULPE,b4085
ALR4x,b3945
ALTRH,b3091
AM3PA,b0110
AM4PA,b0110
AM4PCP,b1192
AMALT1,b3416
AMALT2,b3416
AMALT3,b3416
AMALT4,b3416
AMANAPEr,b3223
AMANK,b3222
AMAOTr,b0774
AMMQLT8,b3833
AMPMS2,b3994
AMPN,b1982
ANHMK,b1640
ANPRT,b1263
AOBUTDs,s0001
AOXSr2,b0776
AP4AH,b0049
AP4AS,b4129
AP5AH,b0049
APCS,b0121
APG3PAT120,b3059
APG3PAT140,b3059
APG3PAT141,b3059
APG3PAT160,b3059
APG3PAT161,b3059
APG3PAT180,b3059
APG3PAT181,b3059
APH120,b0968
APH140,b0968
APH141,b0968
APH160,b0968
APH161,b0968
APH180,b0968
APH181,b0968
APPLDHr,b3945
APRAUR,b0414
ARAI,b0062
ARBTNexs,s0001
ARBt2rpp,b2841
ARBt3ipp,b1528
ARGAGMt7pp,b4115
ARGDC,b4117
ARGDCpp,b2938
ARGORNt7pp,b1605
ARGSL,b3960
ARGSS,b3172
ARGTRS,b1876
ARGt3pp,b2923
ASAD,b3433
ASCBPL,b4192
ASNNpp,b2957
ASNS1,b0674
ASNS2,b3744
ASNTRS,b0930
ASNt2rpp,b1453
ASO3t8pp,b3502
ASP1DC,b0131
ASPO3,b2574
ASPO4,b2574
ASPO5,b2574
ASPO6,b2574
ASPT,b4139
ASPTA,b0928
ASPTRS,b1866
ASPt2_2pp,b3528
ASPt2pp,b4077
AST,b1747
ATHRDHr,b1539
ATPHs,s0001
ATPPRT,b2019
BALAt2pp,b4208
BETALDHx,b0312
BETALDHy,b0312
BMOCOS,b0827
BPNT,b4214
BSORx,b3551
BSORy,b3551
BTS5,b0775
BUTt2rpp,b2223
BWCOS,b0827
CA2t3pp,b1216
CADVtpp,b4132
CAt6pp,b3196
CBIAT,b1270
CBLAT,b1270
CBMD,s0001
CCGS,b0444
CD2abcpp,b3469
CD2tpp,b3040
CDAPPA120,b3918
CDAPPA140,b3918
CDAPPA141,b3918
CDAPPA160,b3918
CDAPPA161,b3918
CDAPPA180,b3918
CDAPPA181,b3918
CDGR,b2794
CDPMEK,b1208
CFAS160E,b1661
CFAS160G,b1661
CFAS180E,b1661
CFAS180G,b1661
CHOLD,b0311
CHORS,b2329
CHRPL,b4039
CHTBSptspp,b2416
CITt7pp,b0612
CO2tpp,s0001
COBALT2abcpp,b3469
COLIPAKpp,b2174
COLIPAabcpp,b0914
CPGNexs,s0001
CPH4S,b2765
CPPPGO,b2436
CPPPGO2,b3867
CRNBTCT,b0038
CRNCAL2,b0037
CRNCAR,b0036
CRNCBCT,b0038
CRNCDH,b0036
CRNDCAL2,b0037
CRNDt2rpp,b4111
CRNt2rpp,b4111
CRNt7pp,b0040
CRNt8pp,b0040
CS,b0720
CSND,b0337
CSNt2pp,b0336
CTBTCAL2,b0037
CTBTt2rpp,b4111
CTECOAI6,b3846
CTECOAI7,b3846
CTECOAI8,b3846
CTPS2,b2780
CU1Opp,b0123
CU1abcpp,b0484
CU2abcpp,b3469
CU2tpp,b3040
CYANST,b3425
