bnumber,reaction,gene_name,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b3960,ARGSL_reverse,argH,1.47837882585568e+16,1.0517712349077734e+16,1.1572036435204832e+16,1.0523051729003334e+16,2682871676238967.0,703580224784499.9,2774680219144600.0,1597308500358733.2,2360341899367199.5,4865397523881733.0,8722892096217800.0,4352448820641600.0,4207705351938400.0,2616340775303500.0,1060355658650933.2,1336028657025600.0,780000000000000.0,1260000000000000.0,1693333333333333.5,2026666666666666.8,3276666666666667.0
b3172,ARGSS,argG,7.240517370768534e+16,5.550115768923599e+16,7.704686149739523e+16,5.345716175773494e+16,4.120380237930291e+16,7734081720660398.0,2.7824222513691064e+16,1.3537401744926332e+16,1.8197250664236e+16,2.562062491016804e+16,4.810066813074656e+16,2.3618927597372e+16,2.4794962496348e+16,2.05792522890318e+16,1.1496461196256664e+16,1.3329055308152e+16,5610000000000000.0,7216666666666667.0,1.095e+16,1.5343333333333334e+16,2.0636666666666668e+16
b1876,ARGTRS,argS,7876633096488534.0,5983553467537334.0,6625132762079066.0,5905650720448266.0,4053367207710500.0,1156619816596299.8,3213080266193199.5,1528016718086466.5,2560794651710400.0,3632666202715100.0,5278818601300934.0,3810809025760000.0,3445448392351999.5,1917764094215200.0,1134838291839266.2,1537493506255199.8,1760000000000000.0,1863333333333333.2,1710000000000000.0,1676666666666666.8,1890000000000000.0
b3433,ASAD_reverse,asd,1.5074848882947197e+17,1.0564521644139773e+17,1.4726993975851667e+17,1.1846099097025574e+17,9.806003106089677e+16,1.6407279467726698e+16,6.4190523146152e+16,2.84928900168343e+16,4.861498282803039e+16,5.572877312918526e+16,1.0425404290784189e+17,5.825541548509039e+16,6.063579075816959e+16,4.2444556029957896e+16,2.0812932000413664e+16,3.0392555156852e+16,1.8143333333333336e+16,2.459e+16,2.7096666666666668e+16,3.1493333333333336e+16,3.8053333333333336e+16
b2957,GLUNpp,ansB,129101271722666.69,111387693945733.34,100517618217466.64,145788087174800.0,326580064414466.7,214814559731100.0,236761130315666.62,,,97327961969199.98,80324154668166.67,,,34401507108500.0,162154898182933.3,154984648649599.97,,,,,
b0674,ASNS1,asnB,3681731931168000.0,2848891013907866.5,2572368914672799.5,2970104400961600.0,1043001831888066.8,322125413083599.94,1268785249264866.5,366522170440500.0,614220605091200.0,1523926995855233.2,2854224938804067.0,1118303060934400.0,1003309590531200.0,944597416615300.0,427163507747533.25,607148721423199.9,1376666666666666.8,1753333333333333.5,2243333333333333.2,2516666666666667.0,2470000000000000.0
b3744,ASNS2,asnA,1.510467471829013e+16,9498559693865200.0,1.3689803838958268e+16,9991887680325598.0,1.0977213668190066e+16,1395449288120299.8,8215630020637000.0,1977105156505467.2,3446086030260799.5,6555673981124066.0,1.19629815597465e+16,4963174735262399.0,5231987791193599.0,5184946171214599.0,2145178195844933.2,3341282474000799.5,,,,,
b0930,ASNTRS,asnS,2.86924412459904e+16,2.2172279564963736e+16,2.552763740022893e+16,2.3017025959360536e+16,9618534888878134.0,3289592821731299.5,8904622376650866.0,4604777547221034.0,7907117829423198.0,1.2545982443988098e+16,2.0001579850344136e+16,1.2643149810388e+16,1.15560037900984e+16,5187424201247399.0,3561259165540266.5,4295783114502400.0,7853333333333334.0,9603333333333334.0,9996666666666668.0,9233333333333334.0,9923333333333334.0
b0131,ASP1DC,panD,2.80111954779232e+16,1.2634953062638666e+16,2.72567350981698e+16,2.1609463389255468e+16,9167030521026934.0,2999057038575499.5,8324529028202400.0,5882316987566766.0,7306763131889598.0,1.0716340689188332e+16,1.997642822234437e+16,6112582696466401.0,1.0762465819960798e+16,6270037168021899.0,3482773427886133.0,5397658652559999.0,,,,,
b4139,ASPT,aspA,7127123695148800.0,4773385478484001.0,6752190915143933.0,4973317793808000.0,4956804130289200.0,2689731202508000.0,6343442756989866.0,2733714158066200.0,7945688776658398.0,5572713242896465.0,5595330665684268.0,8516147036667200.0,7838855492624800.0,4161445002259300.0,2264752128482799.5,2890391526100799.5,4916666666666667.0,5926666666666667.0,4376666666666667.0,2306666666666667.0,810000000000000.0
b0928,ASPTA_reverse,aspC,4.467605811511039e+16,3.345151034121308e+16,3.997172292546446e+16,3.5048940786200136e+16,1.7658815700700498e+16,4475999049569600.0,2.1049645799263468e+16,1.03458296016944e+16,2.11778483705248e+16,2.959312786838553e+16,3.52737619720192e+16,2.74259341959136e+16,2.74963554502064e+16,1.4652623326957698e+16,6446323541875799.0,1.0594952239823998e+16,1.5966666666666668e+16,2.3553333333333336e+16,2.5716666666666668e+16,2.023e+16,1.8586666666666668e+16
b1866,ASPTRS,aspS,1.6675949379856e+16,1.3159975934763464e+16,1.6397118913636734e+16,1.32370178339672e+16,1.0166251550869168e+16,2413088338388000.0,8266003886168600.0,2963161528801733.0,5177227618042399.0,6848545132610566.0,1.1714574891719834e+16,7305253785523998.0,7582674337210400.0,4968194666540000.0,3062432468183732.5,4392540637580000.0,5696666666666667.0,5483333333333334.0,6130000000000000.0,5750000000000000.0,5566666666666667.0
b3528,SUCCt2_2pp,dctA,,,,,,,,,,,,,,,,,1686666666666666.8,,,,
b1539,LSERDHr_reverse,ydfG,3.2090374117781336e+16,2.37205315118184e+16,3.473729269151764e+16,2.50463333761648e+16,2.98949530287082e+16,1.4284128031352898e+16,2.4522182843276736e+16,1.2189782619476434e+16,2.2216952873588e+16,1.7913056309071764e+16,2.28446968224738e+16,1.9921227328988e+16,2.00268041859664e+16,1.2927509571130698e+16,1.59474634906752e+16,1.61930376153768e+16,1.0583333333333334e+16,1.132e+16,9493333333333334.0,9700000000000000.0,8060000000000000.0
b2019,ATPPRT,hisG,2.6222977690468268e+16,1.7151905575135334e+16,1.945755514547383e+16,2.4078501198244268e+16,2.455082939008497e+16,5549496971332299.0,1.3395520474333398e+16,6359230457738999.0,7453396155735998.0,1.2578488749732634e+16,1.9911301315610004e+16,1.1168937033699998e+16,1.1263458063035198e+16,8275554007232400.0,9727820184458932.0,1.1210602909029598e+16,3190000000000000.0,4830000000000000.0,5916666666666667.0,5866666666666667.0,8020000000000000.0
b0312,BETALDHy,betB,2671603277153067.0,2417979610619067.0,2511134161783466.5,2309244656087600.0,1207272484797333.5,152019270847500.0,1177312661051799.8,476535483025900.0,1298054046998400.0,1220683786430333.5,1890775917403366.5,1394185065230400.0,1157212660935200.0,728315818828499.9,314335728346933.3,474112331128000.0,,,,,
b0827,WCOS,moeA,5501828797849599.0,3784527724826800.0,4744094193290767.0,4525541881725199.0,2119357934874866.8,671190062748099.9,2176648602984266.5,1068600551549266.8,1470623847390399.8,2554631531070499.5,4208861821021867.0,2375485109526400.5,2333480097331199.5,1880313992869900.0,832276240584066.6,1587140225966399.8,883333333333333.4,786666666666666.8,840000000000000.0,766666666666666.8,760000000000000.0
b4214,BPNT,cysQ,1.1539081297629866e+16,7944371908595734.0,1.2972358151398136e+16,9298621344346132.0,9919816583826400.0,1.1479750299569296e+16,8792731645191867.0,6380426285038468.0,7474922458425602.0,7063959515543165.0,9144976875934368.0,7085524832659199.0,6293776417623199.0,4983844272255799.0,7976414899420733.0,6813478330490400.0,4693333333333334.0,3316666666666667.0,2163333333333333.2,2043333333333333.2,1673333333333333.5
b3551,BSORy,bisC,106360977317333.34,88090314274666.67,77506183342666.66,,89555254549166.67,,84166909061733.33,,,81256128332700.0,109575762310566.69,205485346161600.0,44584120768799.99,,74000400328066.64,484866885721600.0,,,,,
b0775,BTS5,bioB,1978850148234666.8,1724418995379733.2,1474000165553199.8,1658976417777466.8,537811419196400.0,77191101371999.98,544303571765200.0,202065520358066.7,387968849422400.0,628893255483000.0,1906252989077666.8,966323339280000.0,1077930307752000.0,744222209972499.9,132803820094733.34,206649391756000.0,,,,,
b1270,CBLAT_reverse,btuR,1473864398698666.5,954487887903200.0,1165764459998233.5,1201338820217199.8,1208978608491799.8,586608188316499.9,903946331243800.0,381626381375566.8,668682934059199.9,680401667487300.0,1372785986212566.8,833695787038400.0,646875674684800.0,612057758463199.9,836997677865066.6,1053825734868800.0,,,,,
b0444,CCGS,queC,2050625109415466.5,1411979308968666.8,1986370815477632.8,1766709019386266.5,632954064110300.1,142936032589700.0,523322934553466.56,234950801531766.7,333750384189599.94,757235470473466.6,1279200763558800.0,907891922070400.0,647707065791200.0,360379662543600.0,243567649612466.7,312109271643999.94,1023333333333333.4,1013333333333333.4,1120000000000000.0,1006666666666666.8,1080000000000000.0
b2794,CDGR,queF,2290659518248533.0,1441917921788399.8,1594204834719299.8,1500438866711866.8,992393541234866.4,336949713806299.94,899663107187866.8,448904643874733.4,649215179136799.9,875090888185299.9,1434455707957433.5,1403016169849599.8,1009014371845600.0,499850918719600.0,355101676091799.94,627655295863999.9,233333333333333.3,250000000000000.0,200000000000000.0,190000000000000.0,196666666666666.7
b1208,CDPMEK,ispE,983606029843200.0,989553758868266.8,1026181449327666.4,540159910361866.8,462463636951166.7,145622551832099.97,499792731984866.7,216848092207400.0,393614418429600.0,1157707108462133.2,923551717572233.4,1131890543501599.8,542693884971200.0,622000751217299.9,133052222756933.34,540344159929600.0,,,,,
b1661,CFAS180G,cfa,1519398046501333.5,1213798417825466.2,2093812833480100.0,1049211739361333.4,1275587979756600.0,197512275103500.0,414470680776533.4,174878634965599.97,187789133121600.0,441491686759333.3,903528573906100.0,467016050704000.0,422421624234400.0,317384944965199.94,273875056611200.0,152600313388800.0,396666666666666.7,410000000000000.0,543333333333333.4,443333333333333.4,530000000000000.0
b2329,CHORS,aroC,1.04858423376384e+16,7861606354582402.0,1.0193902994175266e+16,8392497656318534.0,8526287911925565.0,2834530199685099.5,7067701037792200.0,2900361340485667.0,4338395880344800.0,4802596822261566.0,7805936889183934.0,5265649606969600.0,5676948499404799.0,3866571729243300.0,3449283236820666.5,3408458123719999.5,1366666666666666.8,1363333333333333.5,1580000000000000.0,913333333333333.4,1386666666666666.8
b4039,CHRPL,ubiC,1041797215386666.8,743588643909066.6,1123506975738700.0,895724395398933.4,708254027072333.2,680574401748499.9,1151770793999800.2,415123501115466.6,541420202306400.0,872344922371300.0,1285363419225967.0,1052192045530400.0,836368490684799.9,449992481978900.0,873556664348866.8,1049837078980800.0,,,,,
b2416,CHTBSptspp,ptsI,5.843269191551679e+16,4.461102238496026e+16,4.908977259133746e+16,4.45683857097556e+16,2.7007419981771004e+16,7480097989527798.0,2.3277580630915868e+16,1.1032945957064068e+16,1.32897891387736e+16,1.898324483409097e+16,2.65143549544562e+16,1.6374830876568798e+16,1.4661586957208798e+16,9261780492083698.0,8325883224094333.0,1.19278118500936e+16,1.0913333333333334e+16,1.446e+16,1.7483333333333334e+16,1.728e+16,1.353e+16
b0914,PGP181abcpp,msbA,56816570328533.34,,,38529103064666.66,42674277490000.0,,,,,,,,,,,67844846895200.0,230000000000000.0,230000000000000.0,206666666666666.7,203333333333333.3,166666666666666.7
b2436,CPPPGO,hemF,1236273551802666.5,670260613823733.4,1069466224813866.4,1288315904290800.0,681536913661133.4,111939878762599.98,369981971004533.3,130394048809800.0,268925298841600.0,261773413811966.62,474450363053333.4,432014096520800.0,227703483284000.0,315299775796599.94,118542580977333.28,390306943192800.0,,,,,
b3867,CPPPGO2,hemN,34592412360533.336,68178792023066.66,58243703098199.99,48108068903066.67,41030432968833.33,,,,,,41439096696166.66,75447683887199.98,,,,66977732911199.99,,,,,
b0036,CRNCDH_reverse,caiD,633353360388266.8,,193245474448200.0,70624413577200.0,189975225129933.3,75192026689499.98,243796758926933.3,58373816414899.99,94451271236000.0,89822354987533.31,103370706024699.98,128465494596799.98,176713877034399.97,67123371467599.99,260013923659600.0,285573180092799.94,,,,,
b0720,CS,gltA,4.058902545682133e+16,3.39960419686552e+16,3.228853136353084e+16,2.8030774789552264e+16,9449082611303466.0,5750489898898500.0,1.9443148119711336e+16,1.1897003211531836e+16,3.453539451753121e+16,3.1107271754300468e+16,2.983762402304253e+16,4.113290735262319e+16,2.74987613928504e+16,1.6820088942122898e+16,7793987237456200.0,9663124404924000.0,2.7773333333333336e+16,3.556e+16,2.9313333333333336e+16,2.428e+16,1.548e+16
b0337,CSND,codA,2036236705320533.2,1687179377758000.0,1490607600472266.5,1325344721026666.5,473476193381966.7,121419834052999.98,351297499609333.4,142165883478099.97,215116704228800.03,636300540989033.4,1586692213668733.5,719817092028000.0,781024857311199.9,440159736496900.0,92259072222533.31,128021399317600.0,2160000000000000.0,3590000000000000.0,5266666666666667.0,7046666666666667.0,5556666666666667.0
b3846,CTECOAI8_reverse,fadB,57017348597333.33,43875613706400.0,67796416147033.31,81322769508399.98,94372561807766.69,107498557322099.98,149805847884333.3,91144759458266.69,144912874803200.0,63413394733166.66,186676157854466.7,226551497740800.03,214459974226400.0,162377811131899.97,195031489093466.7,202062952996800.0,6333333333333334.0,6193333333333334.0,3510000000000000.0,1296666666666666.8,496666666666666.7
b2780,CTPS2,pyrG,1.5924135835718398e+16,1.1604437165562266e+16,1.0067904938099468e+16,1.0602167750516534e+16,4022257501183433.0,1139144219108699.8,4569359378817134.0,1966905398759200.0,2988347333740799.5,6110535694934066.0,1.1338368399825368e+16,5596919868233600.0,5836728374706400.0,4205526079943300.0,1593650849293799.8,2475721311347999.5,1420000000000000.0,1730000000000000.0,2220000000000000.0,2493333333333333.0,2776666666666667.0
b0123,FEROpp,cueO,1.3486957917257598e+16,1.0600767595904266e+16,1.949555238598983e+16,1.33970961311964e+16,1.8281603671446404e+16,7728704177427798.0,1.2763218594955398e+16,5856936067270434.0,7798669348275200.0,7408150666960067.0,1.1100836621146302e+16,8561678148369598.0,9313164169832800.0,5979031850844500.0,8080869760685331.0,8315092406951200.0,1706666666666666.8,1503333333333333.5,1886666666666666.8,1940000000000000.0,1823333333333333.2
b0484,CU1abcpp,copA,1.8897833968391468e+16,1.3751520876535868e+16,3.022333784574066e+16,1.64503538316404e+16,3.20635608592497e+16,1.24071777163208e+16,1.9409858333367668e+16,8106157572182534.0,1.32058928024384e+16,1.1397393075046168e+16,1.519318588995153e+16,1.2673301945849598e+16,1.2254365285039998e+16,8835560829084499.0,1.2102415590937466e+16,1.2982674315484798e+16,1060000000000000.0,1203333333333333.5,1250000000000000.0,1080000000000000.0,940000000000000.0
b3425,CYANST,glpE,2917155859532799.5,1956801227231200.0,2924611426472766.5,2308281020160266.5,1548655852721099.8,438174998929500.0,1459050739851466.8,509251110571266.7,923607807701600.0,1636074309819666.2,2762503919997033.0,1298900632292000.0,1205717692448000.0,489412428715700.0,464699497181333.3,822029714872800.0,,,,,
b1308,CYANSTpp,pspE,8436470310636798.0,5358823769116534.0,9839582077588598.0,6706774980607334.0,1.2775460204867334e+16,1.4695053560523696e+16,2.8786555898540264e+16,5650139869873100.0,1.4653786632549598e+16,9732078325394268.0,1.0617467606242934e+16,1.43684460563488e+16,1.6750340667796798e+16,1.2459324801909298e+16,1.406616296908753e+16,2.46649361138464e+16,3120000000000000.0,,,,
b1919,CYSDDS,dcyD,1.0030045968561064e+16,7157132807610800.0,9333486549623166.0,7815223794924000.0,4825432656878467.0,3101637613024299.5,5558477499940733.0,3075319160914633.0,4463917200057600.0,5323153125766867.0,8951303749551734.0,4869706816223199.0,4931191966653599.0,4578929321513399.0,3223350443600466.0,4021412849973600.0,4793333333333334.0,4390000000000000.0,3936666666666667.0,3356666666666667.0,2966666666666667.0
b2810,CYSSADS,csdA,949851516312533.2,262475869312533.3,543469135722666.7,579562572749066.6,440825177993333.4,111201837622399.95,421322508501266.6,49730663734866.67,128050434371199.98,150790163068733.38,536693818394100.0,331102454661599.94,122681312004000.0,100995389746299.98,,600980273957600.0,,,,,
b0526,CYSTRS,cysS,8756675507590398.0,6071022741979999.0,6517820511118201.0,5902134154113867.0,6668562778896399.0,1322817284735799.8,3172680265126666.0,1395575170756666.8,1706643969062399.8,3285261614953100.0,5704642863930834.0,3703226688841600.0,2992154622908799.5,1559430571038199.8,1337532059340399.8,1521506368859200.2,1303333333333333.5,1273333333333333.5,1466666666666666.8,1393333333333333.5,1726666666666666.8
b2143,DCYTD,cdd,6759586431350400.0,4493636581073733.0,6735403857774265.0,4888690803017468.0,6087443771121400.0,5921584240777799.0,4786868605524200.0,2135910536758733.2,4025558311012000.0,3465737992470600.0,5938060246389634.0,3716894242444800.0,2915920251209600.0,2544784721422299.5,4823394226825533.0,4251934958537600.0,6113333333333334.0,3480000000000000.0,1950000000000000.0,1856666666666666.8,1406666666666666.8
b2066,URIK2,udk,6329793181598933.0,4309812787519867.0,5664536761086100.0,4455997320307867.0,5003607913738966.0,1918443706891600.0,4017413496750333.0,1525981508296533.5,2607023648720799.5,2628554839263733.0,4678243494017000.0,3448381275570399.5,3340740287235999.5,2164704614944900.0,2184861842248066.5,2672826556460799.5,,,,,
b0910,CYTK2_reverse,cmk,1.2927612087709864e+16,9425062205762000.0,1.2329926472297498e+16,1.0325067177013868e+16,1.0216070542558998e+16,5038301431867199.0,8076968900171598.0,4998675125174467.0,7091382204126399.0,7022329498577599.0,1.04196214947293e+16,6924839726899199.0,6987640767536800.0,4606821882396299.0,4687970397193599.0,6645718929588000.0,1353333333333333.5,1236666666666666.8,1026666666666666.8,990000000000000.0,1130000000000000.0
b1189,DAAD,dadA,1693628114905599.8,1080980471522000.0,2179907016421900.5,1627710003522400.2,1067150480615966.8,455089913494299.9,1429934753250466.5,423506747954933.4,1366517619904799.8,1510217157241366.5,2897051166660266.5,1916102738406400.0,1582018339020799.8,1337074292572900.0,521133321502933.4,634346640487200.0,1053333333333333.4,1503333333333333.5,1506666666666666.8,1333333333333333.5,690000000000000.0
b2838,DAPDC,lysA,7335566917369600.0,5497824468968533.0,6125763342009067.0,5965295190890001.0,2973218186484800.0,829197140349899.9,2791266386576200.5,818835378004966.5,1541787554396799.8,3237054601600966.5,6431391809488333.0,3267815761593599.5,2841757133804000.0,2007895136452800.0,1078732494048733.0,2133941181188000.0,390000000000000.0,506666666666666.7,593333333333333.4,636666666666666.8,766666666666666.8
b3809,DAPE_reverse,dapF,3860059055594667.0,2099950057903600.0,3252268083496166.0,2928419416013466.5,1957382838661166.8,886243130472699.9,2179623891399933.2,1015901057667966.8,1729263467851199.8,1803551603553000.0,2858708733052300.0,2056392485096000.5,1839192870277600.0,1280269139499699.8,1121541631411666.2,812130756608800.0,850000000000000.0,900000000000000.0,860000000000000.0,763333333333333.4,720000000000000.0
b3041,DB4PS,ribB,4350698345211733.5,3460206564176133.0,4147289833471200.0,3074722211519467.0,4976089044175633.0,1198450187030599.8,3070708934701199.5,1218787217267666.8,2185998690461600.0,4500658458775733.0,4113029716650033.5,2565538659060799.5,2581964843979199.5,3398438761741099.5,1534644987766000.0,2530776261651199.5,506666666666666.7,,736666666666666.8,750000000000000.0,646666666666666.8
b0778,DBTS,bioD1,7342771831848533.0,6723367178101467.0,9311405890062500.0,5771840454921334.0,2735728867276066.5,912624123536300.0,2771697024343000.0,2190085865442133.2,4545246466793599.0,3466852066452199.5,7394089434562198.0,3536177932348800.0,4053215074568000.0,2410309836248999.5,841988546739999.9,1222909853858399.8,263333333333333.3,,370000000000000.0,323333333333333.4,416666666666666.7
b2065,DCTPD,dcd,4231038990050133.5,3664273300578800.0,3955553836147465.5,3539359132345867.0,1813777155866533.2,1562058174606299.8,2488767221343000.5,1629675316420566.5,2683962089727200.0,2228275265864733.2,3900226130782135.0,3443142524693599.5,2930965974319199.5,1368165447579699.8,1456236364142266.2,1921617523020000.0,,,,,
b2344,TTDCEAtexi,fadL,249751840570666.7,134805858246266.69,427522110660766.56,309260731541066.7,180579854927766.7,335734212097900.0,224151396523600.0,500483781426000.0,374167882336800.0,180166828811300.0,184104660535800.0,105034698004799.98,129467332260800.0,149886299407600.0,108014834766666.62,86480901220799.98,393333333333333.4,263333333333333.3,140000000000000.0,63333333333333.34,
b3693,DDGALK,dgoK,127273066409599.98,81233997594399.98,72777082332166.66,115563897566133.31,97090819120966.69,52454844357299.99,67647719197933.34,223042695250300.03,61340672599199.99,53045712984066.66,87086839283933.34,,54035560741599.99,117125654490599.95,,164040444457599.97,,,,,
b3526,DDGLK,kdgK,4123037948986667.0,3056139532662533.0,3216904434137633.0,3239699298226533.0,3951169462110600.0,1570203373877599.8,2829708965244199.5,1126396561113700.0,2141142771594400.0,2017568245507666.5,3488669086411800.0,2434705969975199.5,2008611179369600.0,1936813535444900.0,1687184753501133.2,1749912081538399.8,416666666666666.7,430000000000000.0,383333333333333.4,356666666666666.7,330000000000000.0
b4477,DDPGALA_reverse,dgoA,93717954161066.66,56155738089733.33,82733099741066.66,133982796715599.98,74177846521400.0,101032569060499.98,71189081068733.34,1571493067941399.8,100166273931199.98,108251374556733.34,154457674499133.34,100232135635200.0,45339845694399.99,44364471506599.99,146726208833600.0,121282617693600.0,,,,,
b3648,GK1_reverse,gmk,5518376946794665.0,4173722929563600.0,5171129229581066.0,3948860618964800.0,5049315409553634.0,1853527107984299.5,2771231724081599.5,1065736151783666.8,1735644225511199.8,2548738215963700.0,4422586713292467.0,1852465997644800.0,1762411271331999.8,1716136010204699.5,2310465974292666.5,3136759256140800.0,533333333333333.4,470000000000000.0,490000000000000.0,530000000000000.0,710000000000000.0
b2964,INSt2pp,nupG,,,,,,,,,,,,,,,,,76666666666666.67,,,,
b3771,DHAD2,ilvD,6123907015054933.0,4724749805402667.0,4681903279690533.0,4707998860991067.0,3370457506291267.0,429631022298099.9,2450730497864133.0,596389304464066.6,829021425197599.9,1748131349016400.0,4127056931051700.0,2216434756374400.0,2490500683342400.0,1954594611700500.0,705494600872599.9,1344601537616000.0,83333333333333.34,113333333333333.34,206666666666666.7,153333333333333.34,263333333333333.3
b0596,DHBD_reverse,entA,951965063293866.4,713530967355733.4,405514954834300.0,670874600445466.8,504048773982700.0,136438046917199.98,298517202313199.94,91772988634766.69,242658789208800.0,269079740241466.62,661381019222833.2,346612821519199.94,561860233418400.0,331110410829099.94,177207062051066.62,284775779864799.94,,,,,
b0594,DHBS,entE,187918910411733.28,147835193756133.34,120757872683866.64,95225534229466.66,45050526490300.0,,,,,94402479552866.66,50519395460666.66,74686992108000.0,47764650346400.0,,,,,,,,
b0031,DHDPRy,dapB,8407851017795200.0,4373967075025333.5,2846859526838099.5,4979098661493600.0,2753597461176700.0,442177384992700.0,1579575483817066.5,416163616549233.3,506860124601600.0,1125304027092500.0,2815054352301466.5,681795089366400.0,922516343248800.0,661772138806799.9,538629928694733.25,1024566468421600.0,1976666666666666.8,2240000000000000.0,2196666666666666.8,2143333333333333.2,3653333333333333.5
b2478,DHDPS,dapA,3.670726548346987e+16,2.629708541789373e+16,3.492517853284896e+16,2.8297374379533468e+16,1.3939183603836438e+16,5749931730680199.0,1.7558091351278398e+16,8788516114671766.0,1.75901534223952e+16,1.84985642758149e+16,2.765772166887787e+16,1.92992954634216e+16,1.96603664863992e+16,1.27215634335895e+16,6885948516019467.0,9305109704771198.0,2813333333333333.0,3493333333333333.0,4106666666666667.0,4090000000000000.0,3170000000000000.0
b2315,DHFS,folC,1153739929184000.0,873736240233733.4,903966184431800.0,822625230739199.9,218913498315766.7,,137531025815733.34,55974726741766.67,70840821396000.0,577147392927699.9,632652231210333.4,612987199797600.0,341778652043200.0,89694567661299.98,,53446004015200.0,,,,,
b1606,DHMPTR,folM,2434674678810666.5,1039428207608000.0,1123034595194633.2,1497840041488000.0,1222579125893133.5,570971914418500.0,1060703842670333.4,535442557032433.44,1146928367742400.0,1082917122486800.0,1092930450500200.0,859862869255199.9,548423463518400.0,238643357470700.0,281771339558866.7,257515837816000.0,,,,,
b2262,DHNCOAS,menB,6942897709203200.0,5966131985800000.0,6111719507170799.0,4642097371488267.0,3613526126067266.5,1796523903257999.8,3858723801269133.0,2158110840124166.8,3708549617432001.0,3267182606372434.0,4543993428867366.0,2420003471940000.0,3010992491194399.5,2633997276081499.5,1981183029817200.0,2762008744652800.0,2930000000000000.0,2666666666666667.0,2966666666666667.0,3053333333333333.0,3196666666666667.0
b0736,DHNCOAT,ybgC,2061296469981866.8,1053101445179466.8,1699041512717833.5,1582958748285599.8,1328597194044633.5,317075174171000.0,779658804823600.0,397424035427166.7,485818036636800.0,758871163983533.1,1495274341509033.5,1076702648570400.0,814137449953600.0,425855119227300.0,434683645779533.3,748018375688799.9,,,,,
b0945,DHORD5,pyrD,1.364313565138453e+16,1.0277038262854532e+16,1.26127997648981e+16,1.05797222570228e+16,1.2374743448807802e+16,1406727677466299.8,6688070488153599.0,2251796560411932.8,3401640342533599.5,6173694579615267.0,1.17311064914797e+16,6485458025178399.0,6942631046593600.0,5093485602902200.0,1770124462865733.0,3391279357039999.5,393333333333333.4,663333333333333.4,1033333333333333.4,1193333333333333.5,1806666666666666.8
b1062,DHORTS_reverse,pyrC,4.360318615927146e+16,3.02641012419172e+16,4.18974181053279e+16,2.76298777975976e+16,2.6900502435042164e+16,1.1776335394670698e+16,2.55203189515274e+16,1.2737006774218236e+16,1.93419417382608e+16,2.043687977625753e+16,3.20431445916377e+16,1.97384231495064e+16,2.41963899044136e+16,2.08967592096382e+16,1.608237539435853e+16,2.11881853818568e+16,3773333333333333.5,4233333333333333.5,4170000000000000.0,4803333333333334.0,4416666666666667.0
b3177,DHPS2,folP,1962349501417600.0,1646100824016133.2,1840659407290600.0,1394240147434400.2,1736613559090466.8,278837728509900.0,1252333417926933.5,430210294438300.0,579543264311200.0,861870579356533.2,1470561732066333.2,1129626220506399.8,1275931577568800.0,697178063065399.9,314721885024800.0,381558115732000.0,,,,,
b0578,DHPTDNRN,nfnB,3.2114813091856e+16,2.3546221851796936e+16,3.217670487889173e+16,2.63055729053516e+16,3.569580046141957e+16,1.2011585711337098e+16,2.2855791770443668e+16,7855630146877934.0,1.4869210112951998e+16,1.56244296830379e+16,2.55238893248587e+16,1.78616135746912e+16,1.7028019282496798e+16,1.26274488093383e+16,1.5178270033946798e+16,1.92849925930888e+16,5006666666666667.0,6383333333333334.0,6383333333333334.0,6410000000000000.0,7080000000000000.0
b2303,DHPTPE_reverse,folX,1.628297512807893e+16,1.1838686761111468e+16,1.4678924844318432e+16,1.2306374795111602e+16,1.3666481049619734e+16,5534144302041599.0,8742376824952334.0,4450785583358966.5,6926588899396799.0,7140716301781966.0,1.1309047229222734e+16,7383368612434398.0,6958172369263199.0,4683560817413799.0,5601506472896399.0,8787193782130400.0,2313333333333333.0,2800000000000000.0,2656666666666667.0,2830000000000000.0,2976666666666667.0
b3389,DHQS,aroB,5503314786102399.0,4128786986347333.5,4826160550664534.0,4748173031338800.0,4645207265700767.0,2057779803168600.0,3693450698663266.5,1790532580592066.5,2528883033712000.0,2961449026998633.0,4618290502562901.0,3459173921618399.5,3076413251599199.5,2438775417802499.5,2482658822979866.5,2573575048123199.5,1560000000000000.0,1636666666666666.8,1516666666666666.8,1193333333333333.5,1146666666666666.8
b1693,DHQTi,aroD,6474029422617600.0,4090224533532665.5,8072094813829832.0,5995074927390267.0,5551563407337334.0,2101623003744600.0,4087407043737333.0,2237771694922500.0,3111006860347199.5,3463425652665467.0,5022816019338033.0,2956196074814399.5,3659752759844000.0,1937242082543600.0,2105105981466400.0,2764819721587199.5,683333333333333.4,810000000000000.0,676666666666666.8,536666666666666.7,580000000000000.0
