bnumber,reaction,gene_name,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b0469,ADPT,apt,3.05390162702816e+16,2.25271731972168e+16,2.7170758455582336e+16,2.335876768482693e+16,2.6750321456300536e+16,6761800281222000.0,2.022557766981266e+16,7410525312973434.0,1.2466664697290398e+16,1.3170071408845798e+16,2.68499538144806e+16,1.4513686999347998e+16,1.5517805737568e+16,8876579523005598.0,8654199620098266.0,1.46471197042784e+16,2340000000000000.0,2596666666666667.0,2760000000000000.0,3080000000000000.0,3803333333333333.5
b2750,ADSK,cysC,6287782093210665.0,5704247680944401.0,6522821584781067.0,5117377154084534.0,2707175684151600.0,487199322081500.0,2676263357270533.0,997620589365300.0,2580148349962400.0,2602738417985966.5,5548131725459199.0,2830972926371200.0,2888740044855200.0,1693234222619100.0,617884511008600.0,1184758197236800.0,,,,,
b1131,ADSL2r_reverse,purB,1.233882432270613e+16,8874172953277334.0,8553514633864866.0,9156076253088800.0,2497804941621500.0,473305882851200.0,1942105182387066.5,1250537181138933.5,1802814040278400.0,4951107082052566.0,9030997940253300.0,5029772066444799.0,3839376728030400.0,1609149481809799.8,584341068303666.5,755447460300800.0,4593333333333334.0,4656666666666667.0,5476666666666667.0,6036666666666667.0,7403333333333334.0
b4177,ADSS,purA,6.9798815575720536e+16,5.112591547308093e+16,6.572223507009018e+16,5.047297627996027e+16,5.121862069489237e+16,2.22143946698646e+16,5.101361346022066e+16,1.857608658732537e+16,3.66291397219472e+16,3.600849303357357e+16,6.708114085391399e+16,3.42364297124312e+16,3.38994196851088e+16,4.381584637307639e+16,2.5862024707739e+16,3.32804868620256e+16,2.1796666666666668e+16,2.2213333333333336e+16,1.87e+16,1.7633333333333334e+16,1.957e+16
b0677,AGDC,nagA,1707300275351466.2,1060470536878666.8,982413343473266.8,1220236667709733.5,1490575248745533.2,332621369943799.94,838807866652600.1,448810345027933.4,502894837124800.0,700874586926366.6,1205618023447700.0,798973790109600.0,783586409110399.9,584422131267099.9,335009204018133.3,702650067590399.9,833333333333333.4,,486666666666666.7,,
b0110,AM4PA,ampD,1783857157124267.0,785459545170533.5,753435351701933.4,809086833313733.5,1175931116116399.8,630852017844299.9,1008254884954200.0,637046010425199.9,937337954490400.0,813270252684333.2,2800170604623033.0,798854728395199.9,1029829408145600.0,846955241983199.9,377606858686933.3,1598813867250399.8,,,,,
b1107,AGMH,nagZ,,,,,,,,,,,,,,,,,280000000000000.0,293333333333333.4,310000000000000.0,300000000000000.0,350000000000000.0
b3619,AGMHE,hldD,2.3249205379991464e+16,1.83495068884568e+16,2.340311560073804e+16,1.79521285554968e+16,2.15256467201566e+16,9167103243126498.0,1.5435301389511468e+16,7801089361013667.0,1.3187824318047198e+16,1.222627098233983e+16,2.118979937488404e+16,1.23665084777736e+16,1.2439819249989598e+16,1.1165154812784698e+16,8634173343826067.0,8801820666954400.0,9323333333333334.0,8710000000000000.0,7296666666666667.0,7116666666666667.0,7860000000000000.0
b2937,AGMT,speB,4550874285130666.0,1937837306495066.8,1970024016342500.0,2506022950884133.0,1035558996022666.8,791165460355899.9,2036386272472933.5,1215919340451400.0,1501483427487200.0,1788555970502666.8,5268796677210267.0,1321631952738400.0,2674754857733599.5,1494424662998399.8,942974110096333.2,1709807536405599.8,3810000000000000.0,3693333333333333.5,4146666666666667.0,4166666666666667.0,3603333333333333.5
b3958,AGPR_reverse,argC,4.1572697906229336e+16,2.907854805577773e+16,3.9852736679664936e+16,2.8040156756262e+16,1.7634232284337034e+16,4236067380652100.0,1.5302788935876864e+16,8668424491279901.0,1.1670006461101598e+16,1.4997524991416564e+16,2.7118918202158736e+16,1.5970989848591198e+16,1.6411108290439198e+16,1.3664874636090998e+16,7096026981094333.0,7518509364028798.0,590000000000000.0,526666666666666.7,690000000000000.0,1890000000000000.0,1096666666666666.8
