bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035,Chemostat_vilu_011,Chemostat_vilu_021,Chemostat_vilu_031,Chemostat_vilu_04,Chemostat_vilu_049
b0104,1.6685455676290134e+16,1.2588844112173468e+16,1.55675291976774e+16,1.3747765835019998e+16,1.0653560838385134e+16,1220758243142899.8,8138441200636069.0,3393179638497799.5,4764590194892000.0,9210256754204234.0,1.4582999793465368e+16,9811986249607998.0,9708010869508800.0,7477486161504100.0,1807083741479866.2,3687536327119999.5,936666666666666.8,986666666666666.8,1433333333333333.5,2263333333333333.5,1826666666666666.8
b0109,4778248583969066.0,2945748583904000.0,4024030252441100.0,3680986670782399.5,3753810213360800.0,1452135260352699.8,3149810812942733.0,1417371158139966.8,2149787568452799.8,2217499206762333.0,4131401330038100.0,2476767512610400.0,2338877658541599.5,2038275650248599.8,1850803840361666.5,2077081346064800.0,1323333333333333.5,1333333333333333.5,1186666666666666.8,1013333333333333.4,1060000000000000.0
b0110,1783857157124267.0,785459545170533.5,753435351701933.4,809086833313733.5,1175931116116399.8,630852017844299.9,1008254884954200.0,637046010425199.9,937337954490399.9,813270252684333.2,2800170604623033.5,798854728395199.9,1029829408145599.9,846955241983199.9,377606858686933.3,1598813867250399.8,,,,,
b0112,,,,,,,,,,,,,,,,,1286666666666666.8,1570000000000000.0,1770000000000000.0,1510000000000000.0,1353333333333333.5
b0113,4587474122543999.0,2854464138046266.5,4949052433776465.0,3191134896282667.0,2392386878938267.0,812718953842600.0,1998339328936600.0,1029175337027866.8,1367964688980800.0,1891594146404099.8,6042347869344168.0,3157165152193600.0,2706879365656799.5,4551387901955300.0,1298983861059866.5,1629335875407999.8,380000000000000.0,366666666666666.7,470000000000000.0,486666666666666.7,606666666666666.8
b0114,5.266818945262294e+16,4.545429378832627e+16,5.267357487315539e+16,4.270155408183841e+16,1.6901024377187068e+16,6176092666364599.0,1.7119939868232934e+16,8538450334067665.0,1.1121350735459998e+16,2.0301908758952936e+16,5.7014871633492664e+16,2.35492552922264e+16,2.51285241509248e+16,3.5902391220734496e+16,7321686882583331.0,9954277088965598.0,1.9533333333333336e+16,2.2183333333333336e+16,2.004e+16,1.954e+16,1.9933333333333336e+16
b0115,4.689215691426239e+16,3.7264376441304136e+16,4.181887448994556e+16,4.0181441416716136e+16,1.46682882328016e+16,1.00529794707118e+16,1.7572549936781664e+16,9384515816630200.0,1.1304446774427198e+16,1.5498662008541034e+16,4.944505283512224e+16,1.72581036019472e+16,2.1549638797632e+16,4.383379966624539e+16,9675930427150532.0,1.2436347863189598e+16,1.1736666666666668e+16,1.1543333333333334e+16,1.126e+16,1.0466666666666668e+16,1.2766666666666668e+16
b0116,8.658512317911678e+16,6.92903058321236e+16,6.430554552599128e+16,6.8267959019358e+16,4.422032593925447e+16,1.9368809465965396e+16,5.179803741120234e+16,2.5538338083134268e+16,3.972496244913279e+16,3.795242108779103e+16,7.659036927089717e+16,5.44230553221304e+16,6.018133477006319e+16,6.15055383194798e+16,2.5454638112425864e+16,3.3577265494507996e+16,2.514e+16,3.709666666666667e+16,4.008666666666667e+16,3.5726666666666668e+16,3.1843333333333336e+16
b0118,4.9463872833031464e+16,3.976534142591359e+16,4.366370332973263e+16,3.579818432324401e+16,2.437963859862497e+16,1.9687916494010796e+16,4.452374754345614e+16,2.2338817470456796e+16,5.10541060881992e+16,3.009868394409676e+16,4.219341208896976e+16,4.855450388441999e+16,5.56626954449176e+16,3.5601090102569596e+16,2.6658904117645796e+16,3.677575706559359e+16,3.0176666666666668e+16,3.9493333333333336e+16,3.1046666666666668e+16,2.0806666666666668e+16,1.5466666666666668e+16
b0119,1819721904398933.5,876654017086399.9,1346568470625833.5,1295283406673199.8,1641694156401800.0,718057196713499.9,1133246616284466.8,580659606108233.4,1004442023852800.0,728840110887433.2,1855740555637333.5,927415217816000.2,829640997733599.9,646219979196399.9,810756579946866.5,833397107991999.9,,,,,
b0120,1.8390046484094936e+16,1.5117818819907068e+16,1.5839835997047664e+16,1.374550297477e+16,9185466118482834.0,2091525472512699.8,7949160834842067.0,2843360780457500.0,3681158436263200.0,6466881730297499.0,1.1744641475436e+16,6622644524058399.0,7195783900817599.0,3851858309692399.5,2150147036139666.2,3679620949968800.0,,,,,
b0121,1.2617481670241066e+16,1.11391921105696e+16,9664041102433832.0,9048811248094800.0,6181073076653900.0,1653369429225499.8,6133220571772667.0,2417016932310000.0,2814639548823200.0,5306188104946166.0,8906661909922067.0,6518548455387199.0,6034743193610400.0,3474233088225899.5,2284011657213733.0,3179505796191199.5,1060000000000000.0,1343333333333333.5,1366666666666666.8,2040000000000000.0,1420000000000000.0
b0122,700390079294933.2,685582258084266.8,968736772371299.9,729673900956933.2,849187146140833.2,436913352852199.94,624726455563600.0,285662340084233.4,577590156670400.0,326362208453299.94,491618019034066.8,431725267258399.94,380629223448000.0,225404108694799.97,390568579827066.6,454330286040799.94,,,,,
b0123,1.3486957917257598e+16,1.0600767595904266e+16,1.949555238598983e+16,1.33970961311964e+16,1.8281603671446404e+16,7728704177427799.0,1.2763218594955398e+16,5856936067270434.0,7798669348275200.0,7408150666960067.0,1.1100836621146302e+16,8561678148369599.0,9313164169832800.0,5979031850844500.0,8080869760685332.0,8315092406951200.0,1706666666666666.8,1503333333333333.5,1886666666666666.8,1940000000000000.0,1823333333333333.5
b0124,47954653350399.99,,88962824513699.98,43577917012000.0,,,,,,,,46180466719199.99,38658915488799.99,,,46351759105600.0,656666666666666.8,470000000000000.0,506666666666666.7,566666666666666.8,853333333333333.4
b0125,9912730136733868.0,8129225306995334.0,9751995311084966.0,7091647402546934.0,8364958708285167.0,2840754326465999.5,5670207538598200.0,2122732154609866.8,3914896828640800.0,4058198532986334.5,6321462206567134.0,4394505876027199.5,4196231814887199.5,3088782705800399.5,2774520300566666.5,4542628669747200.0,2326666666666667.0,2776666666666667.0,2563333333333333.5,2836666666666667.0,3516666666666667.0
b0126,4.166203168072e+16,3.23676726544472e+16,3.889591993685837e+16,2.9918152687778132e+16,2.1255485021870172e+16,4871045261620999.0,1.2288167523942266e+16,8525311631044435.0,1.1995934688607198e+16,1.3297670617598498e+16,2.29674408096634e+16,1.3178406980636798e+16,1.50513273206112e+16,9413652276548098.0,5376930213452600.0,6103136021663199.0,9200000000000000.0,9816666666666668.0,8580000000000000.0,9376666666666668.0,8983333333333334.0
b0127,3454494758698666.5,2454102088148667.0,2669349452267333.0,2740805895813066.5,2120956733021300.0,795628879370499.9,1710239089408199.8,1076740864690200.0,1356269562914399.8,1552179222670800.0,3011657990932599.5,2085367767606400.0,1594342199516799.8,1096109250250699.9,1061572232834666.5,1247492868757600.0,910000000000000.0,890000000000000.0,820000000000000.0,673333333333333.4,693333333333333.4
b0131,2.80111954779232e+16,1.2634953062638666e+16,2.7256735098169796e+16,2.1609463389255468e+16,9167030521026934.0,2999057038575499.5,8324529028202400.0,5882316987566766.0,7306763131889599.0,1.0716340689188332e+16,1.997642822234437e+16,6112582696466401.0,1.0762465819960798e+16,6270037168021899.0,3482773427886133.5,5397658652559999.0,,,,,
b0133,1.5063540139541334e+16,9944951803814534.0,1.3886380922103764e+16,1.1121739601377066e+16,1.2959606722454532e+16,4567527863674299.0,8445857888406465.0,4691859722781134.0,7461774507886399.0,7312907701473866.0,1.2294432955288536e+16,7670386441518400.0,6953998726821599.0,7444966222950199.0,5810428938585333.0,7067946581188001.0,3796666666666667.0,3486666666666667.0,3053333333333333.5,2710000000000000.0,2840000000000000.0
