abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4	Cytosol	C00100	317-66-8	33852	
trnaasp	tRNA(Asp)	R	0	Cytosol	C01638		38058	
hom-L	L-Homoserine	C4H9NO3	0	Extra-organism, Cytosol, Periplasm	C00263	672-15-1	34437	
ggagicolipa	glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	C163H281N2O89P4	-11	Cytosol			2375065	
udpglcur	UDP-D-glucuronate	C15H19N2O18P2	-3	Extra-organism, Cytosol, Periplasm	C00167		34117	
arg-L	L-Arginine	C6H15N4O2	1	Extra-organism, Cytosol, Periplasm	C00062	74-79-3	33707	
icit	Isocitrate	C6H5O7	-3	Cytosol	C00311	30810-51-6	34579	
adphep-DD	ADP-D-glycero-D-manno-heptose	C17H25N5O16P2	-2	Cytosol	C06397	119-61-9	48160	
ACP	acyl carrier protein	C11H21N2O7PRS	-1	Cytosol	C00229		1436893	
mn2	Mn2+	Mn	2	Extra-organism, Cytosol, Periplasm	C00034	None	33594	
apg120	acyl phosphatidylglycerol (n-C12:0)	C42H80O11P	-1	Cytosol			2707870	
myrsACP	Myristoyl-ACP (n-C14:0ACP)	C25H47N2O8PRS	-1	Cytosol	C05761		1437493	
2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C6H8O9P	-3	Cytosol	C01286		37281	
dscl	dihydrosirohydrochlorin	C42H41N4O16	-7	Cytosol	C02463	65207-12-7	39875	
5dh4dglc	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	-2	Cytosol	C00679		35679	
allul6p	Allulose 6-phosphate	C6H11O9P	-2	Cytosol	C18096		1837836	
pppn	Phenylpropanoate	C9H9O2	-1	Extra-organism, Cytosol, Periplasm	C05629	2628-17-3	46159	
phpyr	Phenylpyruvate	C9H7O3	-1	Cytosol	C00166	156-06-9	34111	
sucorn	N2-Succinyl-L-ornithine	C9H15N2O5	-1	Cytosol	C03415	80102-04-1	41816	
g3p	Glyceraldehyde 3-phosphate	C3H5O6P	-2	Cytosol	C00118	142-10-9	35637	
glycogen	glycogen	C6H10O5	0	Cytosol	C00182		227233	
gsn	Guanosine	C10H13N5O5	0	Extra-organism, Cytosol, Periplasm	C00387	118-00-3	51567	
gam1p	D-Glucosamine 1-phosphate	C6H13NO8P	-1	Cytosol	C06156		47544	
LalaDgluMdap	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	C15H25N4O8	-1	Extra-organism, Cytosol, Periplasm			2327200	
sucbz	o-Succinylbenzoate	C11H8O5	-2	Cytosol	C02730		40449	
aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	Cytosol	C00224		34307	
fmnh2	Reduced FMN	C17H21N4O9P	-2	Cytosol	C01847	67-63-0	1489679	
cl	Chloride	Cl	-1	Extra-organism, Cytosol, Periplasm	C00698		50130	
4ahmmp	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O	0	Cytosol	C01279	73-67-6	37263	
pe120	phosphatidylethanolamine (didodecanoyl, n-C12:0)	C29H58N1O8P1	0	Cytosol, Periplasm	C00350		2618968	
dcmp	dCMP	C9H12N3O7P	-2	Extra-organism, Cytosol, Periplasm	C00239	1032-65-1	34352	
glu1sa	L-Glutamate 1-semialdehyde	C5H9NO3	0	Cytosol	C03741	None	42432	
apg181	acyl phosphatidylglycerol (n-C18:1)	C60H110O11P	-1	Cytosol			2707903	
tungs	tungstate	O4W1	-2	Extra-organism, Cytosol, Periplasm			1917263	
maltpt	Maltopentaose	C30H52O26	0	Extra-organism, Cytosol, Periplasm			1486099	
s	Sulfur	S	0	Cytosol	C00087	7704-34-9	33802	
histd	L-Histidinol	C6H12N3O	1	Cytosol	C00860	None	36226	
dxyl	1-deoxy-D-xylulose	C5H10O4	0	Cytosol	C06257		1438793	
g6p	D-Glucose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00092	56-73-5	36977	
f6p	D-Fructose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00085	643-13-0	33795	
3hoctACP	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	-1	Cytosol	C04620		2607648	
dnad	Deamino-NAD+	C21H24N6O15P2	-2	Cytosol	C00857		36219	
nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	Cytosol	C00005	2646-71-1	33486	
pro-L	L-Proline	C5H9NO2	0	Extra-organism, Cytosol, Periplasm	C00148	147-85-3	34042	
q8h2	Ubiquinol-8	C49H76O4	0	Cytosol	C00390		1438261	
fe2	Fe2+	Fe	2	Extra-organism, Cytosol, Periplasm	C14818	None	33552	
dttp	dTTP	C10H13N2O14P3	-4	Cytosol	C00459		35032	
iletrna	L-Isoleucyl-tRNA(Ile)	C6H12NOR	1	Cytosol	C03127		52790	
lgt-S	(R)-S-Lactoylglutathione	C13H20N3O8S	-1	Cytosol	C03451	59-85-8	41876	
pa180	1,2-dioctadecanoyl-sn-glycerol 3-phosphate	C39H75O8P1	-2	Cytosol, Periplasm	C00416		2617421	
uppg3	Uroporphyrinogen III	C40H36N4O16	-8	Cytosol	C01051	1976-85-8	36704	
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H7O4	-1	Cytosol	C04171		43290	
hqn	Hydroquinone	C6H6O2	0	Cytosol	C00530	123-31-9	35259	
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	C21H41O7P1	-2	Cytosol, Periplasm	C00681		2617402	
trnagly	tRNA(Gly)	R	0	Cytosol	C01642		38066	
alltn	Allantoin	C4H6N4O3	0	Extra-organism, Cytosol, Periplasm	C01551	97-59-6	37849	
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1	0	Cytosol, Periplasm	C05973		2706668	
um4p	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine	C38H56N8O27P2	-4	Cytosol	C04804		2328764	
udpgal	UDPgalactose	C15H22N2O17P2	-2	Extra-organism, Cytosol, Periplasm	C00052		33675	
atp	ATP	C10H12N5O13P3	-4	Cytosol	C00002	56-65-5	33477	
utp	UTP	C9H11N2O15P3	-4	Cytosol	C00075	63-39-8	33760	
5dglcn	5-Dehydro-D-gluconate	C6H9O7	-1	Extra-organism, Cytosol, Periplasm	C01062		36726	
hisp	L-Histidinol phosphate	C6H11N3O4P	-1	Cytosol	C01100	25679-93-0	36807	
grxox	glutaredoxin (oxidized)	X	0	Cytosol	C07293		2388475	
ttdcea	tetradecenoate (n-C14:1)	C14H25O2	-1	Extra-organism, Cytosol, Periplasm	C08322		1451010	
kdo2lipid4	KDO(2)-lipid IV(A)	C84H148N2O37P2	-6	Extra-organism, Cytosol, Periplasm	C06025		1450113	
ppa	Propionate (n-C3:0)	C3H5O2	-1	Extra-organism, Cytosol, Periplasm	C00163	79-09-4	34098	
dtbt	Dethiobiotin	C10H17N2O3	-1	Cytosol	C01909		38667	
sulfac	sulfoacetate	C2H2O5S	-2	Extra-organism, Cytosol, Periplasm	C14179		2380362	
phhlipa	phospho-heptosyl-heptosyl-kdo2-lipidA	C124H219N2O54P3	-8	Cytosol			2374920	
pacald	Phenylacetaldehyde	C8H8O	0	Extra-organism, Cytosol, Periplasm	C00601	122-78-1	35469	
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P1	-1	Cytosol, Periplasm			2706842	
suchms	O-Succinyl-L-homoserine	C8H12NO6	-1	Cytosol	C01118	1492-23-5	36847	
lac-D	D-Lactate	C3H5O3	-1	Extra-organism, Cytosol, Periplasm	C00256	10326-41-7	34414	
ttdca	tetradecanoate (n-C14:0)	C14H27O2	-1	Extra-organism, Cytosol, Periplasm	C06424	544-63-8	215851	
tcynt	Thiocyanate	CNS	-1	Extra-organism, Cytosol, Periplasm	C01755	463-56-9	38336	
dhpppn	3-(2,3-Dihydroxyphenyl)propanoate	C9H9O4	-1	Cytosol	C04044		43025	
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	C35H68O5	0	Cytosol, Periplasm	C00641		2618257	
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	-1	Cytosol	C05747	7783-08-6	46396	
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	0	Cytosol, Periplasm	C05973		2706672	
4hba	4-Hydroxy-benzyl alcohol	C7H8O2	0	Cytosol	C17467		1438178	
h2o	H2O	H2O	0	Extra-organism, Cytosol, Periplasm	C00001	7732-18-5	33474	
trnaarg	tRNA(Arg)	R	0	Cytosol	C01636		38054	
Sfglutth	S-Formylglutathione	C11H16N3O7S	-1	Cytosol	C01031		1485290	
frdp	Farnesyl diphosphate	C15H25O7P2	-3	Cytosol	C00448	13058-04-3	35006	
fadh2	Flavin adenine dinucleotide reduced	C27H33N9O15P2	-2	Cytosol	C01352		132077	
prfp	1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	C15H21N5O15P2	-4	Cytosol	C04896		44846	
2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C5H10O9P2	-2	Cytosol	C11453		216364	
pran	N-(5-Phospho-D-ribosyl)anthranilate	C12H13NO9P	-3	Cytosol	C04302	None	43555	
2oph	2-Octaprenylphenol	C46H70O	0	Cytosol	C05810		46546	
icolipa	inner core oligosaccharide lipid A (E coli)	C145H251N2O74P4	-11	Cytosol			2374904	
didp	dIDP	C10H11N4O10P2	-3	Cytosol	C01344		37395	
t3c5ddeceACP	trans-3-cis-5-dodecenoyl-[acyl-carrier protein]	C23H39N2O8PRS	-1	Cytosol			2617022	
Nmtrp	N-Methyltryptophan	C12H14N2O2	0	Cytosol	C02983	526-31-8	40949	
fe3hox	Fe(III)hydroxamate	C9H18O6N3Fe	0	Extra-organism, Cytosol, Periplasm	C06227		47707	
gtspmd	Glutathionylspermidine	C17H36N6O5S	2	Cytosol	C05730	7783-08-6	46368	
4pasp	4-Phospho-L-aspartate	C4H6NO7P	-2	Cytosol	C03082		41164	
ggptrc	gamma-glutamyl-putrescine	C9H20O3N3	1	Cytosol	C15699		2221213	
octeACP	cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)	C29H53N2O8PRS	-1	Cytosol			1437596	
ahdt	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	C9H12N5O13P3	-4	Cytosol	C04895		44843	
acald	Acetaldehyde	C2H4O	0	Extra-organism, Cytosol, Periplasm	C00084	75-07-0	33792	
dhap	Dihydroxyacetone phosphate	C3H5O6P	-2	Cytosol	C00111	57-04-5	33898	
uacmamu	UDP-N-acetyl-D-mannosaminouronate	C17H22N3O18P2	-3	Cytosol	C06240		47733	
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS	0	Cytosol	C04294	137-00-8	43535	
kdo2lipid4L	KDO(2)-lipid IV(A) with laurate	C96H170N2O38P2	-6	Cytosol	C06251		1450133	
pa141	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	C31H55O8P1	-2	Cytosol, Periplasm	C00416		2617427	
trdox	Oxidized thioredoxin	X	0	Cytosol	C00343		34679	
anhgm3p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide	C34H52N6O19	-2	Cytosol, Periplasm			2327207	
fad	Flavin adenine dinucleotide oxidized	C27H31N9O15P2	-2	Cytosol	C00016	146-14-5	33521	
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1	-1	Cytosol, Periplasm			2706851	
acmalt	Acetyl-maltose	C14H24O12	0	Cytosol	C02130		39162	
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	Cytosol	C00196	303-38-8	34227	
tddec2eACP	trans-Dodec-2-enoyl-[acyl-carrier protein]	C23H41N2O8PRS	-1	Cytosol	C05758	7783-08-6	46433	
lipa_cold	cold adapted KDO(2)-lipid (A)	C114H202N2O39P2	-6	Extra-organism, Cytosol, Periplasm			1485766	
3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	-1	Cytosol	C04619	320-77-4	44184	
cenchddd	cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	C9H9O4	-1	Cytosol	C12622		1472194	
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H39O7P1	-2	Cytosol, Periplasm	C00681		2617407	
2tdec7eg3p	2-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H32O7P1	-1	Cytosol, Periplasm	C03974		2706879	
mmcoa-R	(R)-Methylmalonyl-CoA	C25H35N7O19P3S	-5	Cytosol	C01213		37090	
pg141	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)	C34H62O10P1	-1	Cytosol, Periplasm	C00344		2617848	
g1p	D-Glucose 1-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00103	59-56-3	33865	
malACP	Malonyl-[acyl-carrier protein]	C14H22N2O10PRS	-2	Cytosol	C01209	None	132642	
fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C8H15N3O8P	-1	Cytosol	C04640		44236	
h	H+	H	1	Extra-organism, Cytosol, Periplasm	C00080	12408-02-5	33778	
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H10O10P	-3	Cytosol	C04691		44349	
adocbl	Adenosylcobalamin	C72H100CoN18O17P	0	Extra-organism, Cytosol, Periplasm	C00194	13870-90-1	34204	
u3aga	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	C31H51N3O19P2	-2	Cytosol	C04738		44447	
4adcho	4-amino-4-deoxychorismate	C10H10NO5	-1	Cytosol	C11355		214284	
acac	Acetoacetate	C4H5O3	-1	Extra-organism, Cytosol, Periplasm	C00164	541-50-4	1485291	
gthox	Oxidized glutathione	C20H30N6O12S2	-2	Extra-organism, Cytosol, Periplasm	C00127		33951	
cyst-L	L-Cystathionine	C7H14N2O4S	0	Cytosol	C02291	56-88-2	39523	
octa	octanoate (n-C8:0)	C8H15O2	-1	Extra-organism, Cytosol, Periplasm	C06423	124-07-2	48223	
apg141	acyl phosphatidylglycerol (n-C14:1)	C48H86O11P	-1	Cytosol			2707897	
fgam	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	C8H13N2O9P	-2	Cytosol	C04376		43690	
pe141	phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)	C33H62N1O8P1	0	Cytosol, Periplasm	C00350		2618165	
dhcinnm	2,3-dihydroxicinnamic acid	C9H7O4	-1	Cytosol	C12623		1472265	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	0	Cytosol	C00430	106-60-5	34963	
3oocoa	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	Cytosol	C05267		45463	
cddec5eACP	cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	C23H41N2O8PRS	-1	Cytosol			2617009	
uagmda	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	Cytosol	C05897		46787	
ribflv	Riboflavin	C17H20N4O6	0	Cytosol	C00255	83-88-5	34409	
thdp	2,3,4,5-Tetrahydrodipicolinate	C7H7NO4	-2	Cytosol	C03972		42888	
sl26da	N-Succinyl-LL-2,6-diaminoheptanedioate	C11H16N2O7	-2	Cytosol	C04421		43785	
ppgpp	Guanosine 3',5'-bis(diphosphate)	C10H11N5O17P4	-6	Cytosol	C01228		37137	
r5p	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	Extra-organism, Cytosol, Periplasm	C00117	4300-28-1	42420	
2amsa	2-Aminomalonate semialdehyde	C3H5NO3	0	Cytosol	C11822		2325274	
glyc	Glycerol	C3H8O3	0	Extra-organism, Cytosol, Periplasm	C00116	56-81-5	33915	
eig3p	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	C6H9N2O6P	-2	Cytosol	C04666		44288	
pgp140	Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)	C34H65O13P2	-3	Cytosol, Periplasm	C03892		42727	
ocdcaACP	Octadecanoyl-ACP (n-C18:0ACP)	C29H55N2O8PRS	-1	Cytosol	C04088		1440358	
ade	Adenine	C5H5N5	0	Extra-organism, Cytosol, Periplasm	C00147	73-24-5	34039	
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	Cytosol	C05264		45455	
udpg	UDPglucose	C15H22N2O17P2	-2	Extra-organism, Cytosol, Periplasm	C00029		33576	
betald	Betaine aldehyde	C5H12NO	1	Cytosol	C00576		35400	
seramp	L-seryl-AMP	C13H19N6O9P	0	Cytosol	C05820		1516588	
2shchc	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C11H10O6	-2	Cytosol	C05817		46560	
crn-D	D-Carnitine	C7H15NO3	0	Cytosol, Periplasm	C00487		2386130	
4ppan	D-4'-Phosphopantothenate	C9H15NO8P	-3	Cytosol	C03492		41952	
dcamp	N6-(1,2-Dicarboxyethyl)-AMP	C14H14N5O11P	-4	Cytosol	C03794		42544	
2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P1	-1	Cytosol, Periplasm			2706845	
tdeACP	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	C25H45N2O8PRS	-1	Cytosol			1437535	
cys-L	L-Cysteine	C3H7NO2S	0	Extra-organism, Cytosol, Periplasm	C00097	52-90-4	33843	
ssaltpp	Succinate semialdehyde-thiamin diphosphate anion	C16H21N4O10P2S	-3	Cytosol	C05816		46558	
accoa	Acetyl-CoA	C23H34N7O17P3S	-4	Cytosol	C00024	72-89-9	33558	
garagund	glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C77H125N1O22P2	-2	Cytosol			2377434	
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4	Cytosol	C16217		1452167	
dms	Dimethyl sulfide	C2H6S	0	Extra-organism, Cytosol, Periplasm	C00580	75-18-3	35409	
pep	Phosphoenolpyruvate	C3H2O6P	-3	Cytosol	C00074	138-08-9	33756	
ac	Acetate	C2H3O2	-1	Extra-organism, Cytosol, Periplasm	C00033	71-50-1	33590	
26dap-M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	0	Extra-organism, Cytosol, Periplasm	C00680	None	35681	
rml	L-Rhamnulose	C6H12O5	0	Cytosol	C00861		36228	
lac-L	L-Lactate	C3H5O3	-1	Extra-organism, Cytosol, Periplasm	C00186	79-33-4	34179	
g3pe	sn-Glycero-3-phosphoethanolamine	C5H14NO6P	0	Extra-organism, Cytosol, Periplasm	C01233		37147	
n2o	Nitrous oxide	N2O	0	Extra-organism, Cytosol, Periplasm	C00887	10024-97-2	36299	
ctbt	crotonobetaine	C7H13NO2	0	Cytosol, Periplasm	C04114	6666-46-2	43172	
dtmp	dTMP	C10H13N2O8P	-2	Extra-organism, Cytosol, Periplasm	C00364	365-07-1	34753	
valtrna	L-Valyl-tRNA(Val)	C5H10NOR	1	Cytosol	C02554		52766	
uri	Uridine	C9H12N2O6	0	Extra-organism, Cytosol, Periplasm	C00299	58-96-8	34541	
asn-L	L-Asparagine	C4H8N2O3	0	Extra-organism, Cytosol, Periplasm	C00152	70-47-3	34055	
trnathr	tRNA(Thr)	R	0	Cytosol	C01651		38084	
2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H36O7P1	-1	Cytosol, Periplasm	C03974		2706885	
ddca	Dodecanoate (n-C12:0)	C12H23O2	-1	Extra-organism, Cytosol, Periplasm	C02679	143-07-7	40351	
hg2	Hg2+	Hg	2	Extra-organism, Cytosol, Periplasm	C00703		35741	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	Cytosol	C00672		35664	
galctn-D	D-Galactonate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C00880		36277	
sucglu	N2-Succinyl-L-glutamate	C9H10NO7	-3	Cytosol	C05931	33981-72-5	46951	
N1aspmd	N1-Acetylspermidine	C9H23N3O	2	Cytosol	C00612	34450-16-3	35495	
2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	-1	Cytosol	C01146		36915	
n8aspmd	N8-Acetylspermidine	C9H23N3O	2	Cytosol	C01029	34450-15-2	36657	
nh4	Ammonium	H4N	1	Extra-organism, Cytosol, Periplasm	C01342	14798-03-9	33515	
glu-D	D-Glutamate	C5H8NO4	-1	Cytosol	C00217	6893-26-1	34285	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	-1	Cytosol	C03589	111844-33-8	42143	
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P1	-1	Cytosol, Periplasm			2706688	
34hpp	3-(4-Hydroxyphenyl)pyruvate	C9H7O4	-1	Cytosol	C01179		37006	
aspsa	L-Aspartate 4-semialdehyde	C4H7NO3	0	Cytosol	C00441	None	34990	
12ppd-R	(R)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02912	4254-14-2	40801	
orot5p	Orotidine 5'-phosphate	C10H10N2O11P	-3	Cytosol	C01103	2149-82-8	36813	
3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	Cytosol	C00141		34011	
6hmhptpp	6-hydroxymethyl-dihydropterin pyrophosphate	C7H8N5O8P2	-3	Cytosol	C04807		1447078
xtsn	Xanthosine	C10H12N4O6	0	Extra-organism, Cytosol, Periplasm	C01762	146-80-5	38352	
glx	Glyoxylate	C2H1O3	-1	Cytosol	C00048	298-12-4	33659	
udpLa4fn	uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose	C15H21N3O16P2	-2	Cytosol	C16154		2374694	
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol	C47H72O3	0	Cytosol			1446534	
imacp	3-(Imidazol-4-yl)-2-oxopropyl phosphate	C6H7N2O5P	-2	Cytosol	C01267		37231	
3otdcoa	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	-4	Cytosol	C05261		45449	
anth	Anthranilate	C7H6NO2	-1	Cytosol	C00108	118-92-3	33883	
hdd2coa	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	-4	Cytosol	C05272		45474	
glc-D	D-Glucose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00031	50-99-7	33582	
2dhp	2-Dehydropantoate	C6H9O4	-1	Cytosol	C00966		36502	
all6p	D-Allose 6-phosphate	C6H11O9P	-2	Cytosol	C02962	147-94-4	40909	
LalaDglu	L-alanine-D-glutamate	C8H13N2O5	-1	Cytosol			2327197	
hmbil	Hydroxymethylbilane	C40H38N4O17	-8	Cytosol	C01024	73023-76-4	36648	
ugmda	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C41H61N9O28P2	-4	Cytosol	C04882		44801	
3ooctdACP	3-Oxooctadecanoyl-[acyl-carrier protein]	C29H53N2O9PRS	-1	Cytosol	C16219		2618692	
sectrna	L-Selenocysteinyl-tRNA(Sec)	C3H6NOSeR	1	Cytosol	C06482		45266	
pnto-R	(R)-Pantothenate	C9H16NO5	-1	Extra-organism, Cytosol, Periplasm	C00864	79-83-4	36234	
4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol	C00233		34334	
5mtr	5-Methylthio-D-ribose	C6H12O4S	0	Cytosol	C03089		41179	
his-L	L-Histidine	C6H9N3O2	0	Extra-organism, Cytosol, Periplasm	C00135	71-00-1	33985	
trnatrp	tRNA(Trp)	R	0	Cytosol	C01652		38086	
dkmpp	2,3-diketo-5-methylthio-1-phosphopentane	C6H9O6PS	-2	Cytosol	C15650		1450933	
tpalm2eACP	trans-Hexadec-2-enoyl-[acyl-carrier protein]	C27H49N2O8PRS	-1	Cytosol	C05763	7783-08-6	46448	
dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4	Cytosol	C03221		41433	
tagur	D-Tagaturonate	C6H9O7	-1	Cytosol	C00558	None	35350	
anhgm4p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide	C37H57N7O20	-2	Cytosol, Periplasm			2327353	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C02504		39972	
orn	Ornithine	C5H13N2O2	1	Extra-organism, Cytosol, Periplasm	C01602	70-26-8	37976	
grxrd	glutaredoxin (reduced)	XH2	0	Cytosol	C07292		2388474	
o2	O2	O2	0	Extra-organism, Cytosol, Periplasm	C00007	7782-44-7	33493	
sbzcoa	O-Succinylbenzoyl-CoA	C32H39N7O20P3S	-5	Cytosol	C03160		41314	
3odcoa	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	Cytosol	C05265		45458	
dgtp	dGTP	C10H12N5O13P3	-4	Cytosol	C00286	2564-35-4	34502	
dmlz	6,7-Dimethyl-8-(1-D-ribityl)lumazine	C13H18N4O6	0	Cytosol	C04332		43611	
g3pc	sn-Glycero-3-phosphocholine	C8H20NO6P	0	Extra-organism, Cytosol, Periplasm	C00670		35659	
metsox-S-L	L-Methionine Sulfoxide	C5H11NO3S	0	Extra-organism, Cytosol, Periplasm	C02989		40964	
trnaasn	tRNA(Asn)	C10H17O10PR2	0	Cytosol	C01637		38056	
gdp	GDP	C10H12N5O11P2	-3	Extra-organism, Cytosol, Periplasm	C00035	146-91-8	33599	
acg5sa	N-Acetyl-L-glutamate 5-semialdehyde	C7H10NO4	-1	Cytosol	C01250	None	37191	
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	C48H74O3	0	Cytosol			1446539	
ura	Uracil	C4H4N2O2	0	Extra-organism, Cytosol, Periplasm	C00106	66-22-8	33879	
ascb6p	L-ascorbate-6-phosphate	C6H7O9P	-2	Cytosol	C16186		1560786	
trdrd	Reduced thioredoxin	XH2	0	Cytosol	C00342		34677	
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P1	0	Cytosol, Periplasm	C05973		2706660	
amob	S-Adenosyl-4-methylthio-2-oxobutanoate	C15H19N5O6S	0	Cytosol	C04425		43797	
gdpofuc	GDP-4-oxo-L-fucose	C16H21N5O15P2	-2	Cytosol			45716	
2ohph	2-Octaprenyl-6-hydroxyphenol	C46H70O2	0	Cytosol	C05811		46548	
alaala	D-Alanyl-D-alanine	C6H12N2O3	0	Extra-organism, Cytosol, Periplasm	C00993	923-16-0	36564	
3psme	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H9O10P	-4	Cytosol	C01269		37236	
hdcoa	Hexadecenoyl-CoA (n-C16:1CoA)	C37H60N7O17P3S	-4	Cytosol	C05272		1451383	
so3	Sulfite	O3S	-2	Extra-organism, Cytosol, Periplasm	C00094	7782-99-2	33833	
r15bp	D-Ribose 1,5-bisphosphate	C5H8O11P2	-4	Cytosol	C01151	None	36924	
trp-L	L-Tryptophan	C11H12N2O2	0	Extra-organism, Cytosol, Periplasm	C00078	73-22-3	33772	
ps161	phosphatidylserine (dihexadec-9-enoyl, n-C16:1)	C38H69N1O10P1	-1	Cytosol	C02737		2618008	
arbt6p	Arbutin 6-phosphate	C12H15O10P	-2	Cytosol	C06187		47607	
pg140	Phosphatidylglycerol (ditetradecanoyl, n-C14:0)	C34H66O10P1	-1	Cytosol, Periplasm	C00344		2617830	
