abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H39N2O9PRS	-1	Cytosol			2617013	
fc1p	L-Fuculose 1-phosphate	C6H11O8P	-2	Cytosol	C01099	None	36805	
ckdo	CMP-3-deoxy-D-manno-octulosonate	C17H24N3O15P	-2	Cytosol			1450191	
acmanap	N-Acetyl-D-mannosamine 6-phosphate	C8H14NO9P	-2	Cytosol	C04257	157296-99-6	43459	
leu-L	L-Leucine	C6H13NO2	0	Extra-organism, Cytosol, Periplasm	C00123	61-90-5	33942	
cynt	Cyanate	CNO	-1	Extra-organism, Cytosol, Periplasm	C01417	420-05-3	37550	
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H35O7P1	-2	Cytosol, Periplasm	C00681		2617406	
3dhq	3-Dehydroquinate	C7H9O6	-1	Cytosol	C00944		36436	
alltt	Allantoate	C4H7N4O4	-1	Cytosol	C00499	99-16-1	35164	
gbbtn	gamma-butyrobetaine	C7H15NO2	0	Extra-organism, Cytosol, Periplasm	C01181		1489453	
rdmbzi	N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H18N2O4	0	Cytosol	C05775		46474	
acglc-D	6-Acetyl-D-glucose	C8H14O7	0	Cytosol	C02655		40288	
idp	IDP	C10H11N4O11P2	-3	Cytosol	C00104	86-04-4	33869	
ala-D	D-Alanine	C3H7NO2	0	Extra-organism, Cytosol, Periplasm	C00133	338-69-2	33977	
mnl1p	D-Mannitol 1-phosphate	C6H13O9P	-2	Cytosol	C00644		35604	
but2eACP	But-2-enoyl-[acyl-carrier protein]	C15H25N2O8PRS	-1	Cytosol	C04246	128-33-6	43437	
actACP	Acetoacetyl-ACP	C15H25N2O9PRS	-1	Cytosol	C05744		1436931	
5caiz	5-phosphoribosyl-5-carboxyaminoimidazole	C9H11N3O9P	-3	Cytosol	C15667		1441327	
pgp141	Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)	C34H61O13P2	-3	Cytosol, Periplasm	C03892		2617785	
3hcvac11eACP	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H53N2O9PRS	-1	Cytosol			2617019	
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1	0	Cytosol, Periplasm	C05973		2706664	
dctp	dCTP	C9H12N3O13P3	-4	Cytosol	C00458	2056-98-6	35027	
lipidAds	Lipid A Disaccharide	C68H127N2O20P	-2	Cytosol	C04932		1438046	
gln-L	L-Glutamine	C5H10N2O3	0	Extra-organism, Cytosol, Periplasm	C00064	56-85-9	33714	
f1p	D-Fructose 1-phosphate	C6H11O9P	-2	Cytosol	C01094	15978-08-2	40936	
glu5p	L-Glutamate 5-phosphate	C5H8NO7P	-2	Cytosol	C03287		41564	
lys-L	L-Lysine	C6H15N2O2	1	Extra-organism, Cytosol, Periplasm	C00047	56-87-1	33655	
mal-L	L-Malate	C4H4O5	-2	Extra-organism, Cytosol, Periplasm	C00149	97-67-6	34045	
unagamuf	Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose	C79H126N3O22P2	-3	Cytosol, Periplasm			1483737	
cystrna	L-Cysteinyl-tRNA(Cys)	C3H6NOSR	1	Cytosol	C03125		52787	
3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]	C27H49N2O9PRS	-1	Cytosol	C05762	7783-08-6	46445	
2dh3dgal	2-Dehydro-3-deoxy-D-galactonate	C6H9O6	-1	Cytosol	C01216		37100	
all-D	D-Allose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C01487	2595-97-3	37710	
cobalt2	Co2+	Co	2	Extra-organism, Cytosol, Periplasm	C00175	7440-48-4	34141	
fe3hox-un	Fe(III)hydoxamate, unloaded	C9H18O6N3	-3	Extra-organism, Cytosol, Periplasm			2256321	
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4	Cytosol	C04823		44624	
acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	Extra-organism, Cytosol, Periplasm	C00140	7512-17-6	34006	
co2	CO2	CO2	0	Extra-organism, Cytosol, Periplasm	C00011	124-38-9	33506	
protrna	L-Prolyl-tRNA(Pro)	C5H8NOR	1	Cytosol	C02702		52769	
alac-S	(S)-2-Acetolactate	C5H7O4	-1	Cytosol	C06010		109372	
ppp9	Protoporphyrin	C34H32N4O4	-2	Cytosol	C02191	553-12-8	39293	
pe160	phosphatidylethanolamine (dihexadecanoyl, n-C16:0)	C37H74N1O8P1	0	Cytosol, Periplasm	C00350		2618143	
toct2eACP	trans-Oct-2-enoyl-[acyl-carrier protein]	C19H33N2O8PRS	-1	Cytosol	C05751	7783-08-6	46410	
2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1	Cytosol			228408	
acg5p	N-Acetyl-L-glutamyl 5-phosphate	C7H9NO8P	-3	Cytosol	C04133		43209	
gmhep1p	D-Glycero-D-manno-heptose 1-phosphate	C7H13O10P	-2	Cytosol	C07838		1488063	
g3ps	Glycerophosphoserine	C6H13NO8P	-1	Extra-organism, Cytosol, Periplasm			1484554	
3odecACP	3-Oxodecanoyl-[acyl-carrier protein]	C21H37N2O9PRS	-1	Cytosol	C05753	7783-08-6	46416	
actp	Acetyl phosphate	C2H3O5P	-2	Cytosol	C00227	19926-71-7	34318	
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	Cytosol	C05262		45451	
maltttr	Maltotetraose	C24H42O21	0	Extra-organism, Cytosol, Periplasm	C02052	34612-38-9	38985	
apg161	acyl phosphatidylglycerol (n-C16:1)	C54H98O11P	-1	Cytosol			2707900	
dxyl5p	1-deoxy-D-xylulose 5-phosphate	C5H9O7P	-2	Cytosol	C11437		216273	
fldox	flavodoxin (oxidized) - obsolete	X	0	Cytosol	C02869		40728	
idon-L	L-Idonate	C6H11O7	-1	Extra-organism, Cytosol, Periplasm	C00770	1114-17-6	35934	
na1	Sodium	Na	1	Extra-organism, Cytosol, Periplasm	C01330	7440-23-5	37376	
udcpp	Undecaprenyl phosphate	C55H89O4P	-2	Cytosol, Periplasm	C00348		34696	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2	Cytosol	C04188		43318	
hxcoa	Hexanoyl-CoA (n-C6:0CoA)	C27H42N7O17P3S	-4	Cytosol	C05270		45470	
acon-T	trans-Aconitate	C6H3O6	-3	Cytosol	C02341	4023-65-8	39643	
malcoa	Malonyl-CoA	C24H33N7O19P3S	-5	Cytosol	C00083	524-14-1	33789	
gdptp	Guanosine 3'-diphosphate 5'-triphosphate	C10H11N5O20P5	-7	Cytosol	C04494		43927	
3hcpalm9eACP	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]	C27H49N2O9PRS	-1	Cytosol			2617018	
ala-L	L-Alanine	C3H7NO2	0	Extra-organism, Cytosol, Periplasm	C00041	56-41-7	33629	
mal-D	D-Malate	C4H4O5	-2	Extra-organism, Cytosol, Periplasm	C00497	636-61-3	35157	
fprica	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C10H13N4O9P	-2	Cytosol	C04734		44434	
altrn	D-Altronate	C6H11O7	-1	Cytosol	C00817		36098	
thex2eACP	trans-Hex-2-enoyl-[acyl-carrier protein]	C17H29N2O8PRS	-1	Cytosol	C05748	7783-08-6	46401	
tmao	Trimethylamine N-oxide	C3H9NO	0	Extra-organism, Cytosol, Periplasm	C01104	1184-78-7	36816	
26dap-LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol	C00666	583-93-7	35647	
cytd	Cytidine	C9H13N3O5	0	Extra-organism, Cytosol, Periplasm	C00475	65-46-3	35089	
dtdp4aaddg	dTDP-4-acetamido-4,6-dideoxy-D-galactose	C18H27N3O15P2	-2	Cytosol			1483499	
so4	Sulfate	O4S	-2	Extra-organism, Cytosol, Periplasm	C00059	7664-93-9	33697	
malt	Maltose	C12H22O11	0	Extra-organism, Cytosol, Periplasm	C00208	69-79-4	34261	
cpe180	cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)	C43H82N1O8P1	0	Cytosol			2634192	
b2coa	Crotonoyl-CoA	C25H36N7O17P3S	-4	Cytosol	C00877	102680-35-3	36265	
cdpdtdec7eg	CDP-1,2-ditetradec-7-enoylglycerol	C40H67N3O15P2	-2	Cytosol	C00269		2617630	
fruur	D-Fructuronate	C6H9O7	-1	Extra-organism, Cytosol, Periplasm	C00905	669-90-9	36345	
thf	5,6,7,8-Tetrahydrofolate	C19H21N7O6	-2	Cytosol	C00101	135-16-0	33856	
hmfurn	4-hydroxy-5-methyl-3(2H)-furanone	C5H6O3	0	Cytosol			1494231	
cpppg3	Coproporphyrinogen III	C36H40N4O8	-4	Cytosol	C03263	2624-63-7	41515	
2dmmql8	2-Demethylmenaquinol 8	C50H72O2	0	Cytosol			1438263	
2me4p	2-C-methyl-D-erythritol 4-phosphate	C5H11O7P	-2	Cytosol	C11434		216293	
cbi	Cobinamide	C48H72CoN11O8	0	Extra-organism, Cytosol, Periplasm	C05774	1867-62-5	46472	
25dkglcn	2,5-diketo-D-gluconate	C6H7O7	-1	Cytosol	C02780		1482980	
ara5p	D-Arabinose 5-phosphate	C5H9O8P	-2	Cytosol	C01112		36837	
histrna	L-Histidyl-tRNA(His)	C6H8N3OR	1	Cytosol	C02988		52781	
ins	Inosine	C10H12N4O5	0	Extra-organism, Cytosol, Periplasm	C00294	58-63-9	34525	
lystrna	L-Lysine-tRNA (Lys)	C6H14N2OR	2	Cytosol	C01931		227725	
cdpdddecg	CDP-1,2-didodecanoylglycerol	C36H63N3O15P2	-2	Cytosol	C00269		2618942	
cit	Citrate	C6H5O7	-3	Extra-organism, Cytosol, Periplasm	C00158	77-92-9	34080	
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H17N5O10P	-1	Cytosol	C04030		1816866	
din	Deoxyinosine	C10H12N4O4	0	Extra-organism, Cytosol, Periplasm	C05512	890-38-0	45942	
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P1	-1	Cytosol, Periplasm			2706839	
3ohdcoa	3-Oxohexadecanoyl-CoA	C37H60N7O18P3S	-4	Cytosol	C05259		45445	
gam6p	D-Glucosamine 6-phosphate	C6H13NO8P	-1	Extra-organism, Cytosol, Periplasm	C00352	3616-42-0	34709	
15dap	1,5-Diaminopentane	C5H16N2	2	Extra-organism, Cytosol, Periplasm	C01672	462-94-2	38125	
dcyt	Deoxycytidine	C9H13N3O4	0	Extra-organism, Cytosol, Periplasm	C00881	951-77-9	36280	
gal1p	alpha-D-Galactose 1-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Periplasm	C00446	2255-14-3	35001	
pppg9	Protoporphyrinogen IX	C34H38N4O4	-2	Cytosol	C01079		36764	
anhm3p	1,6-anhydrous-N-Acetylmuramyl-tripeptide	C26H39N5O14	-2	Cytosol			2328671	
cpe160	cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)	C39H74N1O8P1	0	Cytosol			2634191	
no2	Nitrite	NO2	-1	Extra-organism, Cytosol, Periplasm	C00088	7697-37-2	33805	
fald	Formaldehyde	CH2O	0	Extra-organism, Cytosol, Periplasm	C00067	50-00-0	33726	
tsul	Thiosulfate	O3S2	-2	Extra-organism, Cytosol, Periplasm	C00320		34610	
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	Cytosol	C06007		43150	
galur	D-Galacturonate	C6H9O7	-1	Extra-organism, Cytosol, Periplasm	C00333	685-73-4	34649	
adocbi	Adenosyl cobinamide	C58H84CoN16O11	1	Cytosol	C06508		48459	
aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H13N4O8P	-2	Cytosol	C04677	3031-94-5	44312	
