bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035
b0931,182.4301564672,165.8277242388,110.2524215794,152.2124463158,32.650088302,7.926365177,20.2541922611,14.4754736901,22.838429453,114.2218262815,111.296656052,81.9572935971,44.0806637442,23.1926285641,15.9185451437,17.3781463679
b4360,604.2924178315,553.2796715381,598.1753554636,566.5445278179,683.2315291624,654.9731962422,624.9695322399,385.3255366652,451.1946777994,489.8509109774,637.3676377572,474.8732983556,442.1949297408,458.3479821473,556.826398835,512.8855987207
b1258,359.7569996877,397.2998036167,425.7286244884,333.0847670192,266.3586051203,933.4138751838,391.3195513387,763.1127766537,682.0311954854,377.4540770274,530.1883415872,313.9772057159,242.7832153883,266.7696051141,648.6637555905,519.1495804666
b0766,313.6963070411,227.5620886586,266.6755687079,271.5656749907,177.0504298844,14.4108218466,146.6629133744,53.9287308874,103.9585442709,198.4713580029,236.0166165345,226.2208273689,222.2058507235,146.7498252843,40.2898997789,72.0173497733
b0694,59.084530418,74.8467101057,82.4254547887,42.5987881034,13.3695686274,27.3857593127,24.3634015321,32.4442652738,34.6206626397,25.9422786268,70.1347359622,14.6416862847,25.4423917141,21.0572416995,18.8308986468,53.3077162095
b2892,5.0907433752,24.2543996212,12.9723585163,13.6230570331,4.0817960428,0.8854555229,1.5715227895,0.8369877322,0.5719643328,5.1964895497,4.1055574416,12.5557417433,3.5062754721,2.6866142142,5.2042942263,3.8276685406
b0475,66.5027930361,91.1075403374,113.3144980037,29.1926285109,37.5412246523,6.3328249208,39.4434023148,14.0291346593,42.3346472708,49.1559450645,32.9837959536,93.9794920916,25.5213760884,23.7533708243,15.1966326478,108.7597545038
b1538,187.3596908181,180.0042332677,142.3619977435,180.6359343706,70.7631575176,31.8156655871,48.9140296264,57.5248763753,47.5743548463,143.4375802992,125.1695156175,130.6616782997,79.4270301606,31.1989026576,38.6192655271,35.3462293675
b4352,95.4773210511,101.9549797912,63.4135944067,111.1774087757,28.5306833193,17.0381056775,69.8412346856,41.0250056117,67.321913713,124.1702195677,106.1719267415,118.5397639336,121.1763281805,222.788252847,37.4651541068,68.8222910573
b0337,190.8971911238,180.7692190455,144.2523484328,142.00122011,48.9802958671,17.345690579,40.534326878,22.4472447597,26.8895880286,82.9957227377,164.1405738278,89.9771365035,97.6281071639,62.8799623567,12.5807825758,16.0026749147
b3571,23.0119704653,2.8350233063,5.2815864186,20.1781296178,2.8197552652,10.503815225,9.8998955737,3.3517901923,2.9162050703,3.9926305926,5.3886800624,3.4530792935,4.4863099134,3.7002079504,13.8952089265,21.7152095546
b1927,65.7460883448,37.3653974109,59.2150064931,59.4172701944,5.3314096147,4.7636688824,15.6564780559,16.9653909049,28.9769621783,71.5984824401,33.8409761764,33.7340843148,34.742845894,18.9642485349,8.821887526,8.4456410014
b2065,396.6599053172,392.6007107763,382.7955325304,379.2170498942,187.6321195724,223.1511678009,287.1654486165,257.3171552243,335.4952612159,290.6445998954,403.4716687016,430.3928155867,366.3707467899,195.4522067971,198.5776860194,240.2021903775
b1190,34.3529431245,28.1014446119,61.9887067027,37.7216905901,50.3026472927,192.1849429084,147.3061529521,63.076433394,185.053045309,97.678699854,98.2493528475,82.0671321162,112.9608157536,147.8624431314,116.9772350135,113.3162105141
b1067,480.6569885404,270.9619096098,412.8362588983,364.2604072224,180.6807912105,203.6154546608,300.0329354959,206.313118992,270.8492094669,249.023145137,336.1270306394,233.5632411825,277.2917752695,222.0533046931,205.8146234217,220.4489982394
b3665,32.2530198292,48.0272449438,12.142618356,13.7165046813,10.1727105491,8.1573573319,31.0392092427,13.7953646379,17.2421378374,29.4164549197,49.6918817026,33.0573985319,48.3168653576,27.3710161123,16.9828928005,29.5647654477
b3922,562.3839819047,759.5712169564,664.5692430872,761.4070153461,965.9331152261,939.7995058491,654.6080637503,547.100137921,895.3357875855,670.2402369115,615.1471091646,648.4548178905,526.020746558,435.277072588,544.9471252559,667.2457446583
b2286,26.681689289,23.7801062116,21.9521072919,19.9214455196,13.5551680405,2.2494969498,5.2070952692,1.5909831704,1.4939460709,30.0696255531,13.6775962484,27.4850918051,5.6636473554,3.0904890735,1.7324399187,1.8121876618
b2436,115.9006454815,71.8136371954,103.4967314336,138.0338468883,70.5038186546,15.9914112518,42.6902274236,20.5885340226,33.6156623552,34.1443583233,49.08107204,54.0017620651,28.4629354105,45.0428251138,16.164897406,48.7883678991
b1000,156.0964294594,170.960668715,194.9039338861,181.7666152091,75.7043362557,115.6201859019,106.4114941913,87.6369070504,179.7770367323,95.4878532141,131.209379758,120.2767968843,119.063012012,107.3658645158,64.4094943513,51.424650825
b0102,59.032402455,38.5452170977,52.3789725613,66.0846067924,36.9490154046,26.975459049,15.6262507728,18.7390788218,30.5149953201,38.3794688674,25.563927379,38.2824364298,22.0542411804,9.5774755979,124.9778030268,39.6181753198
b3289,2.6654870113,4.3465481997,12.8962317749,8.6393397901,8.3604682134,4.0882187906,6.3988322788,1.0285548245,1.5485088323,23.1838899153,30.0276451322,6.5781931852,11.8820315391,3.078328441,3.362363556,6.8742143412
b2517,133.6253455992,122.0297224103,82.2421543068,112.1778554156,99.1721277349,28.7641280035,96.221907893,27.1316713851,55.7844193295,70.2102418899,115.0697362975,87.0022788846,94.7485394788,61.7574415398,31.9895031824,68.6274504559
b3524,19.8059526218,10.2463562577,7.1746393501,5.7824123086,8.4947786312,23.9381831558,7.5046120259,11.9529640738,11.0717526242,9.3815632234,13.4059157534,7.4039006967,8.4962693471,10.4402016493,11.064032497,23.0837564035
b1464,135.9520885082,168.7035688185,186.9557400014,129.7173307309,91.8734284906,32.5680248663,59.7865378992,46.4156192204,57.5509077305,141.3546833918,121.3333216266,130.2455764312,60.6349241698,29.3616367894,111.8445777321,40.3263332623
b4233,362.5067241701,290.4607123151,215.4310806179,285.4704274134,120.8290817136,26.2048821919,122.1415344043,61.7027556474,76.929554345,181.8807041688,258.0489030663,187.6933489609,170.2995530514,134.1751167478,49.6009466591,55.8349917351
b1990,124.9716330989,129.1534067634,138.5497079153,126.5956191641,154.8105436448,311.0314636325,177.9553369633,146.5231080724,203.2456838514,134.517819766,176.6337873271,105.7300804616,101.4621612856,120.9245624725,229.0485476089,183.4424667852
b4216,76.1007408363,62.7473451712,41.439220926,66.0249404505,27.4432974317,221.9829886526,215.8472652021,71.1566386047,162.7728428692,66.6639436401,73.6987300809,81.6786818363,71.0918997539,150.4918586573,336.5212025343,455.0074402346
b3097,503.4114085203,539.6507539955,366.7266220502,417.051950966,507.1076805363,221.5882168005,236.193849945,124.4773185242,177.2788338803,235.1446245512,415.3753533371,288.8716104983,320.345526557,211.2023896298,237.0046170179,380.0845968701
b3106,33.1418175234,21.2255288261,13.2717377554,31.6550369374,10.7798629097,14.5615439596,17.6226156517,8.5637028807,18.8659877071,17.9837992701,16.3036111613,59.7533699456,29.5237333187,18.9042414188,11.1678617556,22.5648239631
b0949,77.3720621824,67.0232415515,57.9389515018,67.7188324226,17.8134107444,7.2278668103,18.9630174945,9.8306042011,16.3969146314,31.0455163023,56.9300902866,32.00868898,34.6024089593,18.1575065282,7.4480498844,13.3678833713
b3197,322.6905730133,264.9815685103,278.5826246652,275.5684651258,166.1860945144,72.6279773474,196.2595677865,122.7868013509,195.0806034762,223.4917462196,274.1048491246,209.318146338,216.1823493872,152.6020400742,109.4194411027,126.968487112
b3440,435.8624016768,393.0749184461,429.7672333161,391.783767577,455.7066727987,212.5453957454,286.4222538287,174.30639917,230.1785432466,303.1089495472,387.1395312606,321.028880566,269.867342314,293.3953078844,209.3208439677,297.1066668531
b2954,832.4180591641,741.189534032,738.7884941053,715.9969468037,779.2912680448,448.142874367,738.8473297288,409.3726579083,544.6100407803,548.4498235199,746.2100223469,631.7175292119,621.2682716972,545.4955378951,540.6566189642,643.0635784896
b1608,249.5696083307,224.6239145468,258.8076133726,261.367282797,175.38805108,199.5401538707,183.9579986219,148.8836098845,219.214281412,234.1173438263,254.210692912,197.2580314374,198.4931805419,126.2321004052,159.4934052898,141.063692214
b3309,2618.2841417319,2507.3005578672,2690.186946481,2461.3153148546,2982.1016599057,1450.8557364199,1752.9666420785,1032.4219758992,1395.6732169808,1714.8881791119,1938.8340263164,1830.4194246956,1389.968568573,1014.8779727895,1418.7015933546,1589.0873262675
b0630,136.6807089494,95.433636603,139.660716331,111.6320947497,82.8947396115,12.5056075833,55.7894315528,57.8989592921,61.3006361608,145.562606004,92.1024442082,104.169506179,69.1970948165,66.8145360658,405.0147067031,509.3376329108
b4180,531.2067436713,368.475900549,407.6980938272,457.4558228854,396.2051028073,234.3982581642,365.3766092608,243.5687244281,244.3244642175,298.3810240447,430.3876707227,261.1045379065,270.182958378,220.4971142462,250.777069951,259.5911256011
b1446,846.0499046605,538.5689688108,819.0206028371,624.7536926688,515.6804774997,254.604910021,399.5444220426,402.5027384818,499.9778947855,454.3404374545,543.3250018524,499.2855016038,402.9297726931,195.4154959215,248.4646773636,381.1821308733
b3149,230.5708625646,182.1628450811,110.3991378725,136.0615851216,127.5416764807,51.3630826291,99.7078460719,59.6523677777,57.4952754103,271.9560274951,177.7272683501,154.4491341867,86.7157295291,128.3710394,152.641238445,135.807596008
b2300,820.7980068787,566.5297470593,967.4842729122,629.1159945631,362.9846949954,407.1791897384,596.5664868225,503.864581258,455.1329806534,557.14996587,694.0286197358,493.1107548517,523.1589214498,567.2881477199,433.9830990131,370.6186979258
b1480,1835.3465575338,2063.4026524792,3867.3339058479,2193.8088601898,2321.4769022679,2836.3493465922,1845.4338939381,1094.8185313563,1817.8312382472,2303.521443776,1651.2990834198,2597.7596350575,1734.9387134221,1420.5077821735,2192.1035821851,3159.237213207
b1101,247.6828188866,117.2568612122,45.212194419,85.840771769,25.0067800042,2.4551785312,9.6076184655,2.4909775045,4.0575667835,37.2451690398,16.3624147112,11.6709484243,9.8888396063,17.8338882774,20.7672083981,29.7839571048
b3517,97.6512418487,90.4330330837,99.2828046309,47.6742632282,22.1411390859,11.1815299827,10.6173536512,11.995554781,24.1699415226,7.4265843835,99.2207181162,15.1600216705,7.6195632782,14.7183323427,18.8009084928,17.7203485522
b0807,143.3160822885,168.3103422764,165.221148845,160.3032299005,190.1760486769,43.4757524994,84.2344697661,41.864811357,42.5910327504,68.3639320284,81.5721835428,113.7859193812,83.3696385673,57.9730903065,74.7456005479,62.9118412923
b0877,12.1525413462,4.7238160291,10.8896407605,13.4800172135,0.7759450835,2.7105292999,1.5992220852,0.6316535817,1.8324840076,11.1794466529,9.3471196666,9.9548725655,4.7238110177,15.9141668607,4.3070107505,1.058903317
b1117,529.9104756009,464.5800152637,500.4060798701,481.0276130304,476.5868260844,232.0782365268,385.0173633785,219.8326616167,330.2507036502,333.1525884963,457.1482625925,300.5600846371,301.3563449826,333.4866389707,273.6843208166,380.9078184151
b1119,107.7476652468,47.0441652112,16.8234956797,27.553852802,22.0234080068,17.6496841197,34.9231360207,19.0178987843,26.5519796728,48.0030710237,48.1429006792,55.6286008692,56.3693901393,26.7829086236,10.5963633221,95.4435059169
b1180,568.6530474394,532.1620373324,551.2998892216,450.5344767594,563.0008854823,702.2371395411,572.3540094166,693.001231215,576.7149008139,538.0981265259,581.1363640377,400.730346005,350.4243152058,465.907911345,718.7617315381,608.9503001965
b1284,231.0385107291,209.4807897934,195.1028294709,238.6433701827,196.0712314938,127.2327102319,191.216088524,105.7995972934,148.8734197293,150.2915654897,283.0659153266,220.795814425,160.8123479371,172.6879696984,166.0626700291,229.6146671867
b1344,382.1394713891,293.9048185741,248.5609008509,285.2212416101,118.6709487091,30.1993609796,132.8378351352,52.9260855099,76.635801525,125.3180239982,234.3012156844,175.3564110439,205.3577028178,89.1236940513,38.480337722,54.990904086
b1679,242.7543437583,157.1890299331,167.4853720335,138.8286918979,136.949570661,177.287760916,129.8349510016,105.4213288059,182.4254889283,123.387623414,183.7764025953,263.0408028808,312.4478212633,130.7039505313,59.584362419,222.5401232107
b1870,247.3761067711,183.9805199311,188.1435340594,229.3948789036,172.9578507631,90.0953555419,166.591041444,96.6757694633,118.9207357218,152.3265713421,280.2329871358,152.3510796733,140.0910310626,152.7921997364,129.8360607562,186.2187778275
b2081,108.6935630447,92.413404919,78.5245208678,98.8258430232,41.5091153635,15.5973615695,54.9169300229,18.0033443285,41.1088047402,44.8916421525,76.6517266618,52.4619457309,60.5830337031,37.5177091269,15.3378407033,13.812384142
b2342,49.4796506234,31.9545722136,31.1959789016,38.2757611004,14.637553104,60.1092184557,78.6819185872,67.2100259849,93.2830761211,71.3492270086,72.3239017496,129.820477913,88.5802654163,93.2244713398,76.5785533137,125.1234487629
b1668,69.7936902061,64.4716242016,85.5594188763,53.994099537,31.064893357,13.2509928884,31.4502002892,24.2644425253,26.6843888085,57.6611127595,47.426064292,53.2845250867,34.5536346106,22.9414758272,24.8733473989,9.6971488718
b1400,190.1445440016,132.3540764354,190.2153685031,115.5139919653,45.7299519411,74.7379106089,153.0796147534,144.2441668504,161.4096136176,138.6208117551,105.420910984,197.888596483,132.1971158084,50.3870322793,173.7139692304,180.2454009306
b0306,28.1812323983,10.0291736956,4.3020565128,20.1852731677,11.5038133282,17.2183584499,18.1558717938,7.3125785701,6.7793868585,13.2027082626,37.5747383875,30.2610341041,10.6326384839,55.9165454406,14.1688314856,69.0263752326
b0272,36.9436984987,12.2558172128,22.849953037,25.9953451365,7.3839037743,1.8178342219,8.4700631801,17.7762722253,12.8292082282,30.9267232645,22.9309624235,12.3695851169,17.8774309645,11.4271620752,1.0686924239,24.5131003112
b1680,336.2546503706,296.7045949093,350.6791367784,343.0823388831,89.8865847227,78.6820044456,126.4567154874,170.260114879,213.638573306,253.5144701207,301.2538342978,244.4589999335,223.8833763707,197.2886310533,94.8962291406,86.3910533697
b2301,392.0822071925,301.8632502809,447.1564969036,333.2255876663,277.7513768467,228.2284393469,251.9931032281,219.0287750699,291.1614104188,265.6426315142,286.929504209,250.5168976912,243.6489044248,175.9766961418,217.4766848227,262.9902278585
b1725,361.6765015646,592.7198219405,193.3572970814,148.3139740693,220.6952709629,534.5311662685,249.6143057424,267.4374423675,287.8856897336,178.0038159812,322.8196100536,222.1732086432,170.8523570775,184.7196782519,462.1380437448,301.96991306
b3021,123.8400189282,100.9258660747,119.1679900251,46.0625006962,114.3990964824,35.9046153253,61.4711842788,51.7148758847,63.6223488347,59.0709152214,59.0035168682,104.2374076159,33.780671362,118.311109359,35.271845867,77.3864376314
b2810,89.0485796543,28.1224145692,52.593787328,62.0959899374,45.60260462,15.8859768032,48.6141355963,7.8522100634,16.0063042964,19.6682821394,55.5200501787,41.3878068327,15.3351640005,14.4279128209,2.0401471704,75.1225342447
b2812,47.7509123159,139.5094813695,174.0296757503,170.4721419017,340.8235000927,25.7767399812,29.7973553607,24.3219977367,40.3612976353,39.0326159623,63.4936447657,65.4788368717,32.0614174336,45.9003296957,10.4159800819,39.0293888639
b1987,167.9534503972,78.9838482493,93.7517266689,106.4421818745,183.2124027913,11.3370844258,29.9119414973,13.210777053,28.989904021,42.9124930855,80.3974453728,30.7300012793,27.722288175,28.7656830596,15.8114471985,6.3424188013
b2745,268.9321351313,197.5445213535,218.2522331322,228.6531292985,121.3048508665,52.1520719202,116.0293364252,72.7527965737,109.2928611694,134.6709091056,180.0302308581,157.4929391456,132.5316889014,89.4601277564,62.3077043644,73.8363682802
