bnumber,glucose_heinmann,NaCl_50mM_heinmann,pH6_heinmann,42Cdeg_henimann,anaerobic_heinmann,Chemostat_heinmann_012,Chemostat_heinmann_05,galactose_heinmann,acetate_heinmann,glycerol_heinmann,glucosamine_heinmann,fumarate_heinmann,succinate_heinmann,pyruvate_heinmann,Chemostat_heinmann_02,Chemostat_heinmann_035
b0168,1898.8771978856,1650.5532524913,1966.8176025923,1681.0702503869,1520.3550942308,602.2601536033,1121.0484083504,729.8212510799,1086.4827683035,1237.5967584083,1491.5993097752,1202.1554064684,1169.0768774244,832.8243008038,574.9404479835,716.1523647457
b4252,17841.9227270822,15543.540428114,22119.0248769098,16894.0090732964,24706.1917454416,19106.8985034972,22951.5380159856,13048.9808828834,18690.5893629775,15574.5245737283,18487.9882362518,16618.5968193515,14481.493053793,15916.7058405819,25384.1756302571,24501.8847365971
b3305,19723.1233886073,16425.8386737024,20317.6388087577,14332.504006094,20386.8516014229,10713.0150635974,17174.704202664,9707.1264773689,12334.3055256463,11155.1071051411,14370.0716485074,10756.881904721,12289.7789691067,8156.2685429264,8829.600411298,12107.0053082355
b1646,827.58637587,792.5572017235,917.0566862606,731.003760164,895.336305674,1556.1948132159,668.0812672716,855.5860994741,717.5509624759,605.8340291869,880.9096020715,528.4345791968,524.7924875185,578.4566695942,974.338188458,894.2939511411
b3447,238.2381243138,267.1121899968,258.7340725784,214.9955804263,207.3075033805,309.346604449,279.9963624914,251.2455933655,305.9805215402,306.6553571896,194.8931257433,208.257710226,240.2802636405,234.6141314193,253.5365374899,271.2456985088
b0154,1768.9238370855,1464.2620241945,1334.2543765558,1651.3426378635,483.5049013064,224.0395145558,645.946650569,459.8886878757,545.4956019108,1223.8346302065,1369.5526856031,1078.0554829359,1016.8840414846,592.6928388529,265.002014689,315.3279538632
b3957,1939.6071969926,1613.2237711638,1472.097365848,1452.7480670717,714.3680227227,359.4067275702,671.0954789184,569.3388652911,470.5220445828,724.1525523511,1454.6338715682,722.7814163784,834.9731560469,788.9706585901,544.3715070341,553.6897614691
b3498,268.3590611251,231.7438609614,209.3156975934,267.7353257963,89.2058989935,31.8254839474,65.9455239265,50.0543158642,58.6946139436,220.9552100576,196.8826151197,226.7943773179,119.2243734195,53.3672790724,26.9200247963,33.2510408472
b0800,1093.8258169746,1002.6168513995,1198.8576783137,999.2654749095,828.8645544015,496.3845064071,833.9212699292,671.8897913046,982.2820603115,786.9895138212,990.8368965146,858.1154095411,785.4991817826,594.9777580766,493.7621198719,530.2566141201
b0860,5195.8755308655,4520.2275658505,4802.3404522774,4433.4616133653,6415.3105116964,6618.7450020121,4527.7582950118,3938.6950859806,3112.426198265,3244.5073221286,4506.0574239802,3494.5046028205,3554.2447376866,3758.4852989984,7903.9191666902,4973.4933956512
b3527,375.0016431268,341.0853141531,407.7400165504,349.0600072838,369.6488275172,635.4131839614,304.2733151645,286.887988826,246.7243106722,246.9508849632,318.8450453849,185.1684853091,201.7330478173,233.4599096202,411.3191954653,259.2904156674
b1857,515.2610398698,478.4158373405,326.9240414959,480.0387974506,385.3193242225,252.5123668594,282.8768116791,188.3449476654,224.9105751088,275.5438535073,392.4855005455,409.610352975,377.326730842,185.1538787709,256.6375303056,213.6644674462
b2515,746.3977973366,681.7375206431,755.891286613,714.7155125022,614.7562349905,400.0920427931,583.1421696755,311.8108034307,477.875685766,513.7292088871,614.0908602732,553.6836311496,543.0354107544,420.493652015,392.0148245231,568.507382563
b2185,10903.4036402945,9999.5778333439,10665.8026338992,9016.4307310495,12015.7007407145,5241.3911769371,8276.1032652095,4854.8082866712,6802.0163581396,6478.4021588033,9443.2566953481,6544.587798382,7085.3077102358,4996.3166592057,5295.4986476627,7492.0184743317
b1200,699.7176015907,562.889551687,623.8230115679,655.6099870484,550.8755627274,727.7239753146,1048.2871065495,646.5127614442,676.1184973674,1841.2258481718,590.7876655047,689.4287219009,619.0983807351,430.7618046018,749.7562403583,661.2548316466
b0492,1887.4811273284,1543.6465671354,1792.152274521,1707.9814706346,2230.4809155847,1151.8788108249,1767.0571860352,978.3743341122,1284.1643869605,1339.6281664656,2006.9648345169,1492.4227147027,1506.5671511948,1252.9162562932,1461.2496668294,1577.7454268812
b3012,614.5732097686,647.5072163323,691.1762966018,591.0210091845,772.8647346077,688.1010328768,391.5840524414,622.3793787697,593.5816920294,682.8194855534,774.645603787,401.1364168433,308.8335836747,404.1450549242,552.702278202,351.0471225149
b1263,1539.327803575,1207.1309409826,971.3767734944,1263.9613847624,585.5013442739,226.2761916731,686.052058833,515.8517053393,365.9913987172,806.7940563638,933.153447217,605.8877326526,636.8336194209,621.8771034029,331.1866815167,329.9321560882
b3341,3075.4046515506,2937.971703392,3683.4452154998,3097.7319905203,6717.383465585,3130.935400463,3827.2477090365,1698.511185564,2498.3129709833,2066.2009863039,3024.6722060031,2373.3522270735,3084.8618690714,2454.7681932124,3239.3622390399,3739.4107933488
b2239,227.1003246919,202.1000121791,221.8020831524,195.9123558656,157.219979858,505.2509195716,203.4659138082,204.5381656128,168.7394351619,1599.6284959893,252.9517026584,211.3953371008,207.0554977348,189.439826199,352.6306625402,297.7869195671
b1014,70.7423814762,9.8140227344,6.1229395551,16.1033921087,5.1629056037,0.7534004989,1.6548216981,5.4565055219,8.2180895254,7.4388171556,3.7377232163,13.5233635896,5.0237269589,3.1981115773,12.3836640835,3.4614874134
b1091,1971.0734331761,1675.3056773892,1804.9385189606,1680.6021334517,1189.0474354957,877.8603829597,1168.095957917,990.2918828406,1665.2944385418,1264.136468047,1595.3585657342,1276.9466871362,1284.9439292342,794.8625265946,739.9516402799,1012.5457548536
b3168,275.0145697854,237.573281319,212.4058052771,241.3473546597,145.9983772679,102.8918508927,104.797970786,45.8738364895,61.7387766286,119.2138329305,160.7317121785,106.1098531489,112.0294868634,74.5621538278,137.6160322577,199.6683275144
b4244,11242.8774575832,11021.5012137665,14986.6330960127,9385.8909994131,12619.3553975325,8210.4188922257,12546.4936979094,7873.8652779721,9164.1747057439,9826.1212796344,11020.1644258756,10837.5336007199,11087.1651705697,9830.0583020011,6769.0500644614,11178.6143226232
b0120,1724.0668578839,1619.7663021329,1532.887354553,1472.7324615825,950.2206329465,298.7893532161,917.2108655587,448.9517021775,460.1448045329,843.5063126475,1214.962911252,827.8305655073,899.4729876022,550.2654728132,293.2018685645,459.9526187461
b1004,6429.1589476885,7067.6051754633,11163.7957006971,6295.9158635201,6169.6004523244,7691.5109640301,6777.1912722308,9555.9651098571,10874.9286055647,7208.463943087,6294.831957321,6549.8750830327,5598.5190512066,5032.2187197352,6979.7889435534,6621.7380385909
b3752,327.7890094166,251.425827091,283.2093553375,341.3063331376,420.7696580695,565.523421709,658.8927260908,376.6042476696,541.5376143941,497.2125456922,507.8540728225,654.9644975184,567.0858295228,577.3619316113,748.9756752091,690.1295414341
b4401,2941.4507734701,2512.0342835407,3439.8642886329,2454.3949250675,3054.0669519353,4610.730510905,3316.1361816172,3638.8354076047,3499.4849572832,2639.5079966065,2975.8285876378,2456.5334161438,2305.0737172155,2172.2765633966,3745.4506844286,3177.3434130865
b2091,558.9198029795,552.6967109301,591.7378680844,561.9616341396,686.2373691829,1334.8767616722,1428.2990432929,1086.9128145137,2103.6513957989,1469.3827607865,943.5773426699,1862.0069113095,1646.7219745705,959.2812116281,1159.2738351473,1271.869042029
b1095,2190.7748729652,1717.3024160358,1713.5423473888,1919.5492362769,1272.7718399635,606.3340931544,1171.5188444406,652.5683497154,840.8515788415,1144.8763361977,1651.1535579256,1276.2068042761,1319.1430771611,974.4736604553,623.0995766371,738.0960586753
b0819,2543.03246659,1944.7002206898,2826.3272441636,2305.7791343793,2869.7971786719,1992.2390886527,2325.4591943924,1466.694729449,1804.7236190919,1762.4057034917,2517.1219963665,1875.9253408794,1927.2917125995,1909.3550568918,1915.4741972324,1743.4853825155
b3770,2559.9005768042,1940.0947605195,2677.8370396164,2377.1814975755,1953.9051848416,839.6686082277,1764.6346929671,909.5146352335,1197.4997603219,1165.3048217936,2413.2626000415,1170.6375267466,1625.0332663871,1742.212554963,863.4555922549,1178.0866048301
b3229,2982.0573634347,2640.028064609,2952.0419981957,2531.6575226251,3637.500820858,2196.8298375457,2679.6168614551,1858.4735850057,2372.1605914693,2067.5662613276,2943.7407519603,2318.7552410034,2254.7238305185,2305.0111659535,2403.6187965819,2320.3052480725
b1658,921.056571833,807.0904297019,775.9156428795,838.1261460536,720.8761402178,416.9070395262,662.8637944871,437.4506297161,580.2741711148,622.8269170948,891.9770727895,611.8498531501,642.8612176303,476.1636618428,431.3490157498,496.6245849204
b1851,81.39122197,68.8230978412,63.2698364571,74.0272896671,38.5035892234,22.1171437897,34.5655127501,24.9260032245,30.8150574382,41.6949478171,1987.7059772443,46.01593658,25.8837161517,34.9858493947,30.7545175105,38.6488609779
b2231,119.1063751811,104.5855739579,92.2073763729,82.1705643266,76.0031778204,59.8645008017,57.7469204235,21.0174024887,26.1703749139,35.5552725927,72.8432678546,50.9327180851,39.2894675038,27.3474718792,69.0317588852,67.7739005241
b0727,465.0727278125,410.6842035714,459.8012653779,448.7272636446,258.1537536919,173.0486706445,351.0812096847,345.7570212167,737.2829667913,340.5688488772,816.0637007513,411.3878972604,652.2314139242,654.4254173148,151.4932809733,184.8355896935
b2679,350.4702542181,1516.5547297683,485.1560658007,407.4818554748,466.3303539645,536.865919532,352.0959890519,293.9537965454,395.6473839271,280.9897355829,350.1877924246,401.5049657521,452.4824552499,303.3213068563,452.9389817575,388.4100796933
b3244,703.288483077,589.6016854139,765.8877765798,684.5833310604,602.0620479001,285.8680747489,428.0534885733,354.0827880297,392.9169872601,454.729127406,561.0806805335,451.7377629496,398.2934974476,296.2617728703,252.4528883554,230.6340879288
b3958,3897.440428709,3115.5587202619,3856.7164528708,3004.3025095995,1824.2309259659,605.1524829503,1765.7064156781,1368.6986038863,1458.7508076377,1956.1989119239,2805.4053312578,1996.3737310739,2051.3885363049,1952.124948013,967.6400428765,939.8136705036
b2329,983.0477191536,842.3149665624,986.5067413718,899.1961774627,882.0297839923,404.9328856693,815.5039658991,457.951790603,542.2994850431,626.4256724689,807.5107126742,658.2062008712,709.6185624256,552.3673898919,470.356805021,426.057265465
b4005,1770.3141757797,1449.5851374887,1542.2691886089,1462.8857487743,1042.2587642179,223.5873489222,780.0536532043,400.9138625327,511.5616834212,893.1462486463,1341.0407916219,909.2645041249,1023.8357107585,802.6408735445,275.0643891038,396.8789376854
b2421,2068.9065067636,1529.1648331372,2042.9087507542,1669.1365253866,2099.9771189439,870.0479770216,1688.7856360062,781.8671510456,1404.0398718182,1224.3096011841,1840.6500285485,1387.5568329103,1388.1920262285,1271.860821451,1085.9258756481,1181.955354516
b2661,305.2604921945,343.4934726764,283.6423740111,293.7092930498,106.8277094561,184.1532067879,332.6868055511,278.2779662513,301.0352867342,355.8057552391,288.8573070847,405.9269866402,296.0051929452,360.4162666598,282.0392008214,334.0089124146
b1406,492.629294196,412.9534105053,602.6586633834,423.4351392115,457.0185159409,1831.1899646088,753.4862121636,977.0778889079,996.7481538337,652.2418001442,609.5606535989,672.8075839327,549.286652329,589.6068981467,1451.7849687388,826.2322388482
b0123,1264.4023047429,1135.7965281326,1886.6663599345,1435.4031569139,1891.2003798048,1104.1005967754,1472.6790686487,924.7793790427,974.8336685344,966.2805217774,1148.3624090841,1070.2097685462,1164.1455212291,854.1474072635,1101.936785548,1039.3865508689
b1232,1450.6981249853,1312.7684697481,1456.0131934129,1350.764450202,699.4493246718,201.6935724337,549.0183804493,373.763604957,506.3695498928,802.4128076272,1193.0022608977,749.9272961803,690.1987354538,505.0633063689,260.9210753125,358.9851987752
b1198,471.0337690239,394.7242864917,428.5430818851,460.7124066677,212.746610541,48.7373326408,226.7453468429,68.6765661479,60.4123097669,399.7922757842,312.2988330349,125.3122200685,129.5777324076,106.6364540512,49.1117468596,89.197038089
b3566,142.9684404516,120.673917771,69.1131342162,120.3052901597,46.5464521611,1921.1528040192,386.3002252285,589.7838960533,515.7980180472,235.5938225367,181.0374891589,383.8646530469,312.4405490915,255.6504635127,1576.1315073292,843.9819509079
b1539,3008.472573542,2541.4855191234,3361.6734862759,2683.5357188748,3092.5813477974,2040.5897187647,2829.4826357627,1924.7025188647,2777.1191091985,2336.4856055311,2363.2444988766,2490.1534161235,2503.3505232458,1846.7870815901,2174.6541123648,2024.1297019221
b3147,274.9447860529,258.0267840619,204.6024152874,276.7629876336,247.2169748692,419.2853104628,322.5978907493,205.6858350196,229.4558723616,217.5061119952,293.6227988974,242.7054754677,273.8735800724,297.408692437,384.5376426268,363.981838086
b0059,83.8234234248,69.8407224051,42.5539813222,66.5312711522,26.4847529407,15.6863813515,26.7210382565,14.4550082143,16.3926963179,36.9082581404,63.8194306969,36.8001052906,30.3201627235,17.4793528727,28.7692951677,32.0631453668
b0104,1564.2614696522,1348.8047263043,1506.5350836462,1472.974910895,1102.0925005226,174.3940347347,939.0509077657,535.7652060786,595.5737743615,1201.3378375049,1508.5861855309,1226.498281201,1213.5013586886,1068.2123087863,246.4205102018,460.94204089
b2019,2458.4041584814,1837.7041687645,1882.9892076265,2579.8394140976,2539.7409713881,792.7852816189,1545.6369778077,1004.089019643,931.674519467,1640.6724456173,2059.78979127,1396.1171292125,1407.9322578794,1182.2220010332,1326.5209342444,1401.3253636287
b3315,5100.2514934634,4663.5135383265,5395.1320894217,4415.0352441977,8820.2458289412,4773.3887401344,5297.9773876866,2473.5779301918,3296.1083584245,3210.9967687572,4209.4989466034,2902.4320162175,3470.6190898024,2663.9799564195,4340.5778961636,5609.6150690672
b0222,3158.5865700431,2504.9489835962,3118.5191057332,2806.439432717,2765.5100030755,2671.0803379366,3189.8402629909,2545.0133425318,2961.9444067331,2902.127584095,2977.5596617759,3206.0613387077,2848.7976382469,2385.1750696262,2457.6452439129,2632.8065909529
b0077,618.300060784,473.1455232724,554.2875667478,607.0031924022,246.5523800024,112.6221451125,370.8313718035,213.5728368093,253.311923824,405.6781179242,462.830403294,365.0593687608,387.9961511151,275.1007597075,132.5835380097,226.8344123772
b1613,972.778779267,842.5311545225,935.7155248918,922.3577273776,983.2734620971,386.9858487195,859.4540033886,422.4558005965,686.0138511543,779.8099879024,987.7685256418,876.1566406709,832.1352775276,674.68595314,403.1938237563,520.4601448947
b3744,1416.0632548397,1017.7028243427,1324.8197263508,1070.5593943206,1135.5738277438,199.3498983029,947.9573100735,312.1744983956,430.7607537826,855.0879105814,1237.5498165255,620.3968419078,653.9984738992,740.7065958878,292.5242994334,417.6603092501
b3966,331.9937314909,228.1150977045,264.893480422,319.4844342323,125.693724073,284.5343684435,218.7009525244,134.4468266531,150.2888680306,228.4662338603,375.6444455684,214.058480474,237.3421227418,225.3989627201,167.4795400675,116.7323637307
b3500,788.8987013795,660.1709649687,566.8532886246,734.6536592032,501.5396427327,268.9260778071,426.3316257378,355.4991401698,344.878579617,472.5326396767,645.8484521158,432.9569096581,464.8004461859,413.2962695082,269.1631511777,298.3864710259
b2021,1325.5503319977,1017.324387859,875.5680877283,1329.6882204345,1402.8455108213,600.1351772235,817.1400032104,661.4238758902,462.678722057,882.0213064449,874.9056613056,692.7491645759,672.8442299754,535.3581814944,922.9735740935,648.3262815468
b1723,1523.6887102063,1426.490995972,1882.6822389304,1652.6038242143,1443.014310153,881.6818029905,1345.8725236042,941.8978058871,1413.5984008145,1065.4987529032,1428.1280898043,993.7895031156,1002.2750441337,951.8273501248,992.3079062327,981.2971700815
b0642,105.8335142656,77.057447616,93.2095625634,86.9496742196,57.0451885491,24.1915257661,39.9843156955,24.1415782112,34.9689244561,52.864875023,70.0222997063,44.5572613369,37.3576484756,27.837008314,18.5582895773,21.8699127412
b3959,4203.5401406844,3403.154507752,4221.473107932,3464.8607229171,3536.3908660128,1531.3625696496,2456.6578666126,2216.429084704,2076.3781893792,2328.4047897481,3181.6586458298,2192.7457306302,2177.1068625593,2715.5637206768,2181.9739976252,1866.9407958312
b0757,342.3681292007,347.6424165561,278.487856476,299.2172948686,129.0002546385,192.7756851591,389.914048282,1836.6875358371,387.7052615203,441.1179921244,346.996018846,505.6600984732,483.0096152821,265.4219274628,214.5444128546,330.687462334
b1712,4306.6818208603,3533.5488241656,4702.3593065584,3506.5530681382,5084.6129569049,5683.4796793459,4212.7208621775,3510.3639254318,3968.8557428039,3236.4887252764,3932.1551493528,2881.7777891981,2900.638792035,3079.4086918584,5452.6860117304,5058.2882070936
b3986,19138.0163854605,15663.0412626588,11067.2163836448,16537.4464354351,13044.6711538481,8640.7958229,13987.2998273007,7603.7464462048,9304.7022846984,9209.4191337412,16867.8552511352,7728.637688888,11762.8395739683,10589.3854934747,8520.7100770743,12725.3210553318
b2962,3731.0599187184,3213.6610922908,3777.9164819436,3397.2455520344,5000.2230163226,3287.8727700247,3392.6702048669,2498.8137311692,2765.8831044684,2377.174270489,3676.5714224794,2576.9896464585,2548.6006573201,2579.2375911944,3431.1118250595,3145.8671201992
b4232,652.1529714268,543.0933198173,546.6945646865,628.5389598066,336.1576636976,110.2139089072,290.2362575681,176.0989588626,435.2260577315,403.2336766662,581.7136488295,640.6627826593,603.8774481055,634.175287368,163.9767337402,183.290616037
b2316,1754.1676373798,1552.744372004,1448.4528251685,1415.3090265076,1372.6609608378,805.2546109343,1223.6372098366,782.5238047364,982.2093151507,1039.6428935755,1443.2587750982,1044.645950036,1098.7469799121,874.2043628002,917.6416535233,971.1628639972
b3231,13138.5353639174,12225.9037150606,13293.7209900643,11414.9324005697,16647.3541823454,7724.7633747987,11855.0468991294,6171.4495923159,8480.4679257397,7879.0224700238,11063.3632170834,7409.2555329276,10096.4807874677,6379.2774577142,7390.6184183445,9981.9379747954
b3735,3454.955278618,3093.7139595552,3262.5229646585,2991.0666286062,4030.5556913915,2514.183672343,4404.8437206764,2392.2538351133,3414.5349494033,3040.2278340196,3770.4364091571,3533.8604366826,3783.1791951947,3744.1547894108,3288.9385183691,4887.1183304141
b4174,1080.5536401496,1029.8736353552,798.6419827451,962.0184357512,568.1025679569,259.2856551372,464.4843468252,416.4310506558,418.0078868999,601.6520722156,749.7635267175,642.8268742648,540.358719048,399.1727800903,225.3923121596,234.4786337247
b2143,633.7112279391,481.4610622579,651.8132765588,523.7883003233,629.7355625298,845.9406058254,552.3309929451,337.2490321198,503.1947888765,452.0527816266,614.2820944541,464.6117803056,364.4900314012,363.5406744889,657.7355763853,531.4918698172
b1237,15448.3217454029,12727.6610209394,17050.6315263172,13809.241344056,18642.596598012,18399.274400851,19252.8526903487,13740.1683734428,16958.9519006244,14464.2740655743,16015.6398003152,15367.9780163417,15246.4715328552,12931.9897829935,23436.4136907037,22365.2351946019
b0889,6302.3475665668,5309.3530764832,6421.3014952671,5343.7904503847,6353.937372347,4637.043946172,5649.2792066445,4008.6505959323,4540.5689198433,4160.2975812448,5242.8325982452,4217.2736593484,4021.3339243639,3905.5593531746,5027.8522345224,5237.9089547911
b3764,5845.4213378522,5255.8372791593,5857.4129365081,5269.7506448225,7626.5006173902,3752.6437142738,4834.2329456976,2572.9186689961,3598.040287327,4065.1464899731,5434.2301702865,4087.5690434394,4038.5000267689,3268.6577877274,3538.2014471308,4858.0339083257
b3860,2686.2354841823,2340.9614814326,2206.2352596076,2724.7083286787,3525.4338969699,2799.2616266998,2743.6449383053,1518.4918071655,2167.1987532186,2036.601180189,2803.984225454,2351.699819204,2352.4109670475,2332.8833711428,2726.2378121953,2550.8979243686
b0661,509.6700561889,479.8759921228,334.6246876672,457.1467861937,246.1459697687,72.941567987,232.6060617859,82.2793746411,116.169898431,213.0242464843,421.5332658979,263.1823682749,288.1614108326,178.2373832893,92.2906344098,144.240853052
b3831,1607.9164146096,1359.0418918882,1253.3608897321,1644.1317889406,772.8905366862,953.0130779624,1212.5641716076,1641.011790644,1940.2541274196,1116.4202933867,1865.5115788397,1055.3889024794,1247.1608307553,1096.0030483902,820.8492684098,791.0293451874
b2762,1526.8696417319,1508.30889175,1560.9588664339,1453.6042688244,1563.4978159834,552.0895811758,1093.158144972,579.9558358007,862.6381133287,1078.6874755818,1463.8990288003,1056.0869975626,957.3951527575,816.8496643731,527.7204795935,728.4465727711
b2938,719.7058423233,612.8018351568,543.324231548,629.4912758754,127.6922351082,41.25874659,111.3075007469,134.2052422255,140.9556643014,397.5708729285,541.7242804957,372.4585368662,271.6142427142,166.1973851006,74.9733888312,89.4715571032
b0897,1702.8845777047,1450.1285233749,3092.1319172297,1626.5528001414,1046.8086821402,2060.7937060138,981.3512678949,2789.7803614828,2013.5695906865,2211.9560990789,1567.6660079212,1467.1968179412,1340.877509802,1493.4518868099,1489.2270830912,1034.2818826706
b0085,345.8460960811,292.6087946511,352.298061864,328.4828838448,312.1830139253,107.4986592611,200.0672168785,105.4106246224,146.8460507665,212.1299711511,254.8822267935,230.7609424908,184.1848856179,130.2558706601,111.5921462996,144.5774572639
b1130,1656.7571233343,1425.7219321972,1811.7253662216,1477.6455288318,1435.7706878017,1053.5758976982,1643.2599840377,1112.7417470046,1640.2866407302,1515.0119669325,1523.4079674507,1530.4667810092,1460.316777534,913.0373244053,1128.6433801255,1257.2740880111
b0197,2893.9343669894,2709.1826327652,1895.1863153886,2629.1219011975,734.2765490849,474.8367676004,517.1482509009,628.4741053585,535.7522139742,1055.4666347585,1542.2691896995,706.8050989072,758.9870160761,1266.9094225894,518.9272746704,585.8806075244
b1127,568.7488204267,437.52459739,664.4465187061,528.1901891147,597.4990006695,460.874270345,515.310257389,449.3732979281,532.8059269193,479.0617446331,432.13881287,435.1956484307,395.8007609956,322.469985793,363.3548828794,340.5379250738
b0801,1296.139871462,1164.6017206193,1636.5351776054,1238.1789759756,516.6852273751,199.6853658703,542.2874243278,320.2808612496,325.8388779461,795.6330811871,896.785275338,809.8515395869,691.922873268,461.5573328251,197.0416345175,274.8830665296
b2521,715.3972644878,629.9780059088,758.028112969,601.9868159567,601.1266665761,734.5052805861,788.9344826913,767.3442791173,950.072551236,807.8804899457,833.3194347363,912.4314313458,804.0027793192,857.6453244009,732.9577927901,628.1009908522
b2131,504.4375494611,528.9070665194,739.7077241571,515.5471272906,405.3812038522,1335.3917165683,626.2600657916,1013.9195761892,793.0162506188,704.3782409393,487.8816039679,518.9083620839,521.7838579359,479.7297470443,972.9844096446,871.1385734774
b2523,438.8086038031,398.0844634386,309.9838365011,369.9700862183,98.3366426884,96.1519310372,240.1749349942,259.1299858428,301.1491468951,331.3700362594,518.5130274398,275.5199220492,411.2185558989,310.3016853756,112.2349741212,125.3246491643
b1431,1256.617372183,907.6975086397,1065.0256365513,1205.6187395931,1221.8089350009,3276.7653887227,1665.1727711427,1966.0211539658,1845.8044515544,1291.2906531689,1736.0302099189,1112.4552884092,1220.1253864405,1397.1010049475,2253.4435047315,2015.7888850903
b2169,282.627084639,292.4662421423,246.1151986757,357.988730171,609.1406265791,253.5559099737,337.9665488428,181.4910327358,96.4924655872,268.2896367559,293.1392187233,158.4397869097,151.7977701664,91.4620268641,216.2016980815,250.9576153543
b1525,168.2317970466,136.3526639925,150.767623404,153.1979445275,72.0842918563,33.2135235246,138.6213428046,43.3196990625,83.6043431481,212.6135513825,152.6819639033,256.4131236927,149.3068470973,67.1988535875,80.1247442695,88.4986418623
b1329,219.1652074729,195.1236986248,212.5962485535,191.5389729191,232.176738305,614.1606404865,374.7876080091,243.5004384344,312.8389225936,261.6788862659,249.1585508832,302.3953043911,274.7592265679,244.6652183635,544.6605846839,432.2511874276
b0423,21.2226469901,10.5811026961,8.1787996808,22.4210248723,9.236082195,1.351132858,4.6476769105,2.3149735738,2.932825877,9.7704227621,11.2093600001,16.2474811604,8.0312940949,9.4911534857,23.5235943926,80.5744655947
b0419,589.9559235365,550.8321112445,663.6743679094,521.7623360668,404.9458946816,983.2352307575,626.8933395073,604.3431881735,759.1631630461,631.7942581732,530.477947068,539.7023777441,476.4180241591,454.5642132164,645.9257800807,483.3624112008
b1247,48.5706382592,41.8556110178,33.135502922,55.2346017786,18.9723648112,2.3832729051,9.0270161046,4.465589729,6.3694809415,44.3063395811,38.7783367375,37.746775603,28.7551879572,8.9460287107,25.2737724272,21.1869498762
b4154,93.3146619594,121.9305100522,104.5797056481,92.9884432836,65.1303654414,44.2574816773,80.830551508,43.6240740633,65.3752798045,122.9305782228,94.87137752,298.3473150647,243.6888370071,79.2532737749,41.5110573139,64.1079911403
b4037,806.5932556788,831.7223143355,613.7418195723,672.5902617814,569.5117806318,2923.1304048101,3552.036859495,1439.8928196369,2139.6351043115,2033.0921928631,875.1134785014,2285.4616549836,1828.6053416961,1565.296040641,4201.9663778125,5198.3630710666
b2947,814.5957932753,640.5169921964,818.6915080649,696.87746285,684.4641497551,442.06542582,614.0505911147,428.084664487,526.9681154819,522.8287690171,656.7436370237,583.1293308847,515.1585886009,412.3472942205,439.6836326174,405.9232423011
b0932,190.0708922848,160.7229326508,116.8945238837,155.3625318593,28.5355455351,13.876936001,30.4617066534,24.9806580611,40.1610010704,118.1403888043,121.0615984562,129.4936978251,73.8792816158,27.3654782899,16.1011674016,22.2979178351
b2320,585.3157916358,434.6747844993,520.3927719785,510.2467323828,208.4859749881,92.7403421513,223.7196079259,158.9669336102,189.5341754909,397.9670487428,366.5541011167,295.10878695,299.3673356685,166.7633398145,99.1521230545,122.2667067892
b2499,2591.1392081852,2258.1512120629,2984.1630048233,2031.1397402267,1190.634500601,841.6045678221,1343.6456034935,1025.7996661102,924.9556860975,1976.9414083349,2063.4059396153,1601.7793645457,1632.2506492943,1118.2845173762,549.965554925,747.466548212
b1281,923.349435985,755.549150314,886.9611159038,772.0966422294,1185.7335360001,304.4114505772,772.8405042948,331.5576947602,468.2479887484,533.6825577352,838.8317207733,511.0725567883,625.684291825,580.2750218518,300.6739019196,518.2402865509
b0015,822.5729440639,750.0411670176,630.743397612,777.8751603997,647.3479056639,490.9536665422,678.4795851464,325.4516883811,489.6985921748,514.2149026323,689.7705344918,582.6003833606,660.9069577054,411.0358660559,427.6284643283,583.3357993562
b1189,158.7776357724,115.8193362345,210.9587435247,174.3975003774,110.3948773051,65.0128447849,164.9924715289,66.8694865192,170.8147024881,196.9848465967,299.6949482752,239.5128423008,197.7522923776,191.0106132247,71.0636347504,79.2933300609
b0381,364.2137192823,364.0571339401,413.6704910129,389.5601013756,389.2702853272,115.1254905317,264.8131364091,107.7993230716,197.0507748452,211.7200139179,452.3501070856,315.7039754785,290.3183191405,264.3599360991,193.1044580418,251.5057647011
b2478,3441.3061390753,2817.5448662029,3379.8559870499,3031.8615406643,1441.9845107417,821.4188186686,2025.9336174552,1387.6604391587,2198.7691777994,2412.8562098889,2861.1436209184,2412.4119329277,2457.5458107999,1817.3662047985,938.9929794572,1163.1387130964
b3225,114.4226635372,122.6552709707,102.0307331669,191.3668133299,166.9214760182,100.1364455127,125.8234032656,131.5513554756,96.1128655384,141.6592783696,213.5207106817,144.3501510304,145.4839950383,143.040248383,139.4503119476,157.6620506878
b4025,306.7138665802,281.4835728247,192.0933042273,246.1388271364,245.4253798781,112.0105632898,104.2843518321,76.3546365842,77.3987971732,173.8076006362,205.1151897809,117.6935624617,78.3460816658,81.8466115982,88.1417197402,93.1132762836
b0678,1751.4890646197,1488.104533751,2013.2760385469,1623.715786256,1407.0757421452,1326.6514874961,1696.5560672432,4197.1278447405,1905.1824794526,1798.9656345081,1307.6649338631,1463.6818924683,1532.0444964615,1080.2390638374,1185.9954573919,1152.1202703627
b2518,11499.419030708,10164.0429002545,10548.8087111692,9232.6782361604,12319.7201624466,11959.4906900179,16454.3190541595,10163.9682356791,18100.0001685242,12138.023370696,14143.9848840176,16389.1086300739,16430.1462009809,12111.4081004047,16701.3092535662,20658.156345483
