bnumber,Chemostat u=0.21 (1),Chemostat u=0.31 (1),Chemostat u=0.41,Chemostat u=0.22,Chemostat u=0.26,Chemostat u=0.36,Chemostat u=0.46,Chemostat u=0.51
b0126,2355.6089373099,2217.59527261,2039.5787797962,2275.1148929213,2362.617836476,2018.6830462893,2012.6282125148,2067.2261178769
b0127,153.1741685749,136.0815748196,116.4138445466,134.3719288826,132.1880544928,122.9425429303,118.2183741566,110.5083383641
b0131,553.7923379324,678.3655251791,655.1699134721,681.800355245,696.0488971942,664.2513160383,857.801426936,864.6252390229
b0133,1626.5717916388,1498.9727619486,1365.0873651501,1653.1247607449,1611.4152488648,1456.3546185326,1334.3791037761,1362.8802497453
b0134,1576.6766332994,1556.0379866257,1395.3351291894,1587.4182521123,1573.9497171759,1527.6623050025,1399.1501248003,1331.7311936815
b0143,44.4379757821,44.2694885582,60.2541211322,52.908039789,59.7607404988,52.976606439,54.7978227916,70.2702610409
b0145,1707.2195635404,1760.58722831,1819.7995822451,1597.1391996605,1709.3404903496,1929.0087023238,1548.7591382046,1587.5064739322
b0149,518.1896743894,449.2669840091,354.6479808622,467.8008433808,491.0567928674,474.5254667129,322.4706625393,330.3192281604
b0150,463.8073073921,449.9762523127,447.5236870688,463.8195228012,432.8767492847,427.7831492783,450.7151405276,446.146102564
b0154,1023.856510673,1088.2179750383,1052.9955254301,1027.9876373035,1073.0825120867,1086.2655929748,1018.259380932,1078.1179701713
b0156,1014.5084643814,1246.1381450076,1272.7789656855,1067.7048114929,1162.4900404778,1220.9101457674,1313.1200055888,1318.25583762
b0159,396.4051039069,425.711701252,493.339078586,436.6185830992,448.6567556737,469.8227231351,424.5489031675,439.9594360997
b0161,1447.63051794,1065.4979367999,806.5523592559,1524.0212694156,1552.4013515751,935.8769405593,809.1098735,787.4013598891
b0163,7301.7228644731,5152.6666729103,4266.6255621897,7055.3655501796,6062.0770567345,4800.8910165475,3641.4017361635,2958.1453679101
b0166,3905.4599582655,4234.2934289775,4919.2527775528,4055.1384492362,4236.0102823229,4549.7631211726,5597.3585353127,6503.3315725292
b0167,,,,5.7245231769,,,,
b0168,552.8426704734,590.0859629604,563.6194362591,521.2609447318,532.3057517312,506.9143624824,574.547198181,592.6843923293
b0169,16328.7931381172,19947.3221696288,23553.3451270476,16396.1232794965,17347.364064509,21559.0822090564,24647.9583498049,26151.5018354545
b0170,14366.3933992581,16557.0076718388,19061.3888663938,14181.071439569,15129.2139961578,18191.3212080189,19968.7019626591,20915.8347574893
b0171,520.6644561927,672.1447243982,631.3603078562,521.5400517281,541.6036285973,596.0611006606,621.2671210337,651.5115321061
b0172,3796.2405238847,3731.6705570227,3545.922150153,3913.1213667006,3959.0312690309,3839.1652780993,3410.6753809877,3423.2309411236
b0174,,,64.304894017,,,,,
b0176,,,,,,,,15.4829005745
b0177,1722.6773316032,1712.5060623131,1695.2643098949,1772.2848559782,1730.7786294433,1650.6076004484,1667.6670597931,1670.8007760164
b0178,9345.8410049154,9105.9901647089,8698.3172497065,9271.2824682379,10158.0186404804,9220.0036447716,8492.7001178673,8926.3099773839
b0179,231.0117991591,214.0967808487,223.4858145856,231.9595224223,228.3785606285,217.4546978,210.5016542035,205.2166397489
b0180,1887.5366890204,2088.5823644356,2441.3618127956,1833.2536818227,2067.6219436428,2242.429515738,2453.0795960799,2571.6002048675
b0181,592.3127667005,573.0693539308,557.5124305838,609.9305909619,700.3346946731,746.09320176,547.9392726913,519.9689598254
b0185,2077.8954428589,2055.4220415126,2031.7576669406,2109.8009511769,2077.4944743346,2030.4397885896,2097.9812986287,1988.7681188935
b0187,,,,,,,,
b0189,,,,,,,,
b0192,,,,,,,,20.0803247722
b0194,1903.1225827034,2009.6188193873,2015.2965032293,1874.7659593621,1944.3119443683,2016.9529435258,2169.1785387623,2108.0434667303
b0196,251.5099192097,,215.6106539631,228.2683926786,,239.1941045483,197.4139526838,196.5258945221
b0197,28736.9277502026,28361.3310159284,29014.6634224638,29615.9412262791,28834.1626473763,28224.3508983649,28789.3214721158,28597.4240970426
b0198,,,,,,,,
b0199,328.5201919305,334.3863624874,388.6929383033,327.3078188892,348.8335572756,372.4773488821,448.6720799216,485.9851904276
b0200,181.171123141,176.8818758642,166.7736631334,167.463969037,,159.2582283215,150.9327114746,149.4824389102
b0207,111.0299423737,289.2344283634,161.3681744054,,318.2523923223,214.1879447578,120.7542694339,110.8909329902
b0212,219.7502112316,158.5357409271,106.5710793161,233.9377267424,177.5298228893,151.0922876735,100.6259591043,
b0220,1033.6827542177,887.8602839941,582.9074705792,997.0890358705,965.9641866927,706.0816337419,537.7902604383,635.8086849985
b0221,333.3893454126,291.8100025094,203.1389327463,254.6318377126,138.6160552686,198.2007086065,123.518051481,117.4879251549
b0222,3707.0004021879,3330.1530752238,2749.9692226402,3782.3153591922,3779.0613484528,3161.4721027541,2577.5745757382,2232.9905068083
b0226,,,,,,,,
b0237,2595.8972490786,2452.5727517221,2189.3984054853,2517.5448761547,2452.982674242,2328.9912831033,2034.2952666861,1901.5197610232
b0238,1025.0774384659,1155.2742502147,1266.9857091312,1067.8578139979,1129.7166518431,1284.7651953358,1328.9804752678,1389.9562589378
b0239,236.2051392365,205.7805510059,163.7737451669,206.3411759793,280.7551552275,233.6254826316,169.2630759921,143.3568343948
b0240,2271.0575534158,2680.9847232961,3067.9698712276,2346.1971514936,2705.7499448042,3328.0973144422,3045.1559362978,3144.8771698902
b0242,487.9063474024,475.7947151903,459.0958709525,501.4493954819,457.2772477798,441.1216097458,447.6743936217,445.9605048543
b0243,746.651610704,672.8930108677,589.2311214002,740.3417487871,735.8941511691,612.7020349754,555.1360333871,537.0492122555
b0259,,,,,,62.877698406,54.5481856716,
b0273,46.3620563289,108.3086986268,123.1522654616,,60.4842684542,73.2806597506,95.2385291095,150.9752921959
b0287,141.024845501,,224.6780516282,149.2427525761,185.6633754434,193.2454780202,296.2980754985,354.8731140093
b0312,,,,,,,,
b0325,3122.4618828169,2035.8104196702,1537.3986515799,3075.232312811,2340.4556658216,1582.9973812359,1185.7699143748,975.4028372248
b0329,934.9317933004,236.5017628279,233.5093680686,562.7522200154,560.7335519338,297.8699548658,134.4777340596,125.1436089041
b0331,490.5584782808,1690.6128548569,,479.0299508677,429.5289329734,,,
b0333,1144.6940134764,1413.9540781867,,825.3348682252,567.558958376,,91.8848522021,
b0334,1009.3343833706,679.0576908734,,1305.1906448294,833.4019232917,,,
b0336,,,,,,,,34.9954961533
b0337,582.6198934698,907.0872177114,1197.7913295783,570.9335805653,778.248215857,1086.3989984052,1338.6945431135,1331.8904306828
b0345,,,,,,,,
b0346,126.0842727076,,43.7954342636,234.2548818151,,,,
b0354,213.8715725855,303.2049984768,184.2299451921,,,,,170.320249456
b0356,312.3552347697,295.8374968026,260.971345638,318.610360226,286.3954422505,270.8510981659,251.5086668321,239.6123915643
b0357,,,,,,,,
b0369,394.5566467802,401.0684382031,368.3713728084,414.1100391493,446.5448658938,394.0075639006,391.1438271848,386.3918147467
b0381,84.425871516,100.6084626652,116.1912061802,88.6351964579,90.6399472804,119.4069885429,153.0862361224,150.5559804175
b0382,1479.4500125285,959.3107876419,1079.887124102,1281.2884549479,1221.6845735208,1049.3489684956,911.0119252062,702.6693491045
b0384,,431.8841112091,403.236972966,669.7492659535,757.3412736496,601.8475203649,,334.3796328523
b0386,1063.3170392811,963.4814495969,810.4084741832,1085.0676627185,966.4049907413,877.2286435565,765.4766455957,730.8078728688
b0388,,,,,,,100.4671152099,
b0391,386.8973945741,418.4640339832,424.8402654959,364.0538518306,432.2363708307,470.6804476852,393.6845237863,378.7517004815
b0393,293.9284031271,289.2855101139,293.3547164228,290.7007191352,318.3990648421,276.76690344,313.3623979532,305.7872111369
b0394,,113.0833756886,77.6194349037,149.4040976201,,108.6488276727,77.0067293515,62.3269902119
b0405,68.7987674338,,68.0180258912,74.6493414765,45.23002107,,92.9641513612,86.2387370345
b0406,188.691910994,208.2000061992,260.0296906126,170.505653141,212.4430531336,255.4070005828,332.7174735719,334.0843369783
