bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b1345,,,,,
b1346,,,,,
b1347,,,,,
b1348,,,,,
b1349,,,,,
b1350,,,,,
b1351,,,,,
b1352,,,,,
b1353,,,,,
b1355,,,,,
b1356,125,,,,
b1357,,,,,
b1358,,,,,
b1359,,,,,
b1360,,,,,
b1361,,,,,
b1362,,,,,
b1363,,,,,
b1365,,,,,
b1366,,,,,
b1368,,,,,
b1370,,,,,
b1372,,,,,
b1374,,,,,
b1375,,,,,
b1376,6064,5143,2666,1332,700
b1377,,,,,
b1378,85,72,59,52,51
b1379,,,,,
b1380,822,765,768,653,595
b1381,,,,,
b1382,,,,,
b1383,,,,,
b1384,,,,,
b1385,,,,,
b1386,,,,,
b1387,,,,,
b1388,,,,,
b1389,,,,,
b1390,,,,,
b1391,,,,,
b1392,,,,,
b1393,,,,,
b1394,,,,,
b1395,,,,,
b1396,,,,,
b1397,,,,,
b1398,,,,,
b1399,,,,,
b1400,245,142,166,,31
b1406,2841,2004,841,735,425
b1407,,,,,
b1408,,,,,
b1409,,,,,
b1410,,,,,
b1411,,,,,
b1412,608,755,690,646,629
b1413,,,,,
b1414,1424,1086,662,635,430
b1415,23075,,,,
b1418,,,,,
b1419,,,,,
b1420,,,,,
b1421,187,,,,
b1422,342,358,326,299,225
b1423,552,299,69,25,11
b1424,145,141,125,106,98
b1426,1575,936,249,62,33
b1427,187,138,,85,58
b1428,,,,,
b1429,,,,,
b1430,176,180,222,194,218
b1431,2730,1778,977,721,559
b1432,,,,,
b1433,,,,,
b1434,,,,,
b1435,,,,,
b1436,,,,,
b1438,,,,,
b1439,,,,,
b1440,6277,3519,785,336,124
b1441,351,187,,,
b1442,,,,,
b1443,,,,,
b1444,4097,,,,
b1445,,,,,
b1446,618,,,,
b1447,,,,,
b1448,,,,,
b1449,1134,748,494,401,289
b1450,,,,,
b1451,,,,,
b1452,517,531,914,1031,785
b1453,,,,,
b1454,,,,,
b1455,,,,,
b1456,,,,,
b1457,,,,,
b1459,,,,,
b1460,,,,,
b1461,355,,,,
b1462,200,77,,,
b1463,,,,,
b1464,,,,,
b1465,,,,,
b1466,,,,,
b1467,,,,,
b1468,,,,,
b1469,,,,,
b1470,222,,,,
b1471,,,,,
b1472,,,,,
b1473,,,,,
b1474,,,,,
b1475,,,,,
b1476,,,,,
b1477,,,,,
b1478,747,,,,
b1479,876,1052,1178,1155,1025
b1480,7276,6529,6378,5626,5484
b1481,,,,,
b1482,22606,12514,7699,6055,4104
b1483,,,,,
b1484,,,,,
b1485,,,,,
b1486,,,,,
b1487,457,289,116,,
b1488,,,,,
b1489,,,,,
b1490,149,83,65,41,31
b1491,,,,,
b1492,691,358,145,262,150
b1493,282,,,82,
b1494,34,,,,
b1495,,,,,
b1496,,,,,
b1497,,,,,
b1498,617,920,48,536,16
b1499,,,,,
b1500,,,,,
b1501,,,,,
b1502,,,,,
b1503,,,,,
b1504,,,,,
b1505,,,,,
b1506,,,,,
b1507,,,,,
b1508,,,,,
b1511,95,48,11,5,
b1512,62,,,,
b1513,207,160,35,,
b1514,,,,,
b1515,,,,,
b1516,3872,3082,864,135,73
b1517,1066,828,218,,49
b1518,96,65,,,
b1519,264,233,154,99,58
b1520,,,,,
b1521,,,,,
b1522,,,,,
b1523,,,,,
b1524,,,,,
b1525,,,,,
b1526,,,,,
b1527,,,,,
b1528,,,,,
b1529,,,,,
b1530,,,,,
b1531,,,,,
b1532,,,,,
b1533,,,,,
b1534,,,,,
b1535,,,,,
b1536,696,372,,,294
b1537,343,,,,
b1538,715,723,665,561,543
b1539,3175,3396,2848,2910,2418
b1540,,,,,
b1541,164,,,62,
b1542,,,,,
b1544,,,,,
b1545,,,,,
b1547,,,,,
b1549,,,,,
b1550,2595,2774,2396,1981,1899
b1551,,,,,
b1552,,,,,
b1553,,,,,
b1554,,,,,
b1555,,,,,
b1556,,,,,
b1557,,,,,
b1558,,,,,
b1559,,,,,
b1560,,,,,
b1561,,,,,
b1562,,,,,
b1563,,,,,
b1564,398,281,,246,
b1565,,,,,
b1566,,,,,
b1567,,,,,
b1568,,,,,
b1569,,,,,
b1570,,,,,
b1571,,,,,
b1572,,,,,
b1573,,,,,
b1575,,,,,
b1576,,,,,
b1577,,,,,
b1578,,,,,
b1579,,,,,
b1580,,,,,
b1581,,,,,
b1582,,,,,
b1583,536,,,,
b1584,50,63,63,56,60
b1585,,,,,
b1586,1527,,1260,,
b1587,,,,,
b1588,,,,,
b1589,,,,,
b1590,,,,,
b1591,,,,,
b1592,,,,,
b1593,,,,,
b1594,51,105,51,,
b1595,,,,,
b1596,,,,,
b1597,,,,,
b1598,,,,,
b1599,,,,,
b1600,,,,,
b1601,,,,,
b1602,1249,1733,2044,1938,2656
b1603,1083,1374,1485,1536,1810
b1604,3107,3154,3078,2649,2509
b1605,,,,,
b1606,,,,,
b1607,,,,,
b1608,107,92,63,47,48
b1609,,,,,
b1610,,,,,
b1611,3778,,,,
b1612,1182,1980,2439,1867,1230
b1613,953,1040,990,893,919
b1614,1634,1356,1370,1369,1336
b1615,,,,,
b1616,,,,,
b1617,205,,,,
b1618,,,,,
b1619,1907,1217,984,898,857
b1620,,,,,
b1621,,,,,
b1622,,,,,
b1623,439,396,278,203,152
b1624,320,234,114,91,74
b1625,,,,,
b1626,,,,,
b1627,,,,,
b1628,,,,,
b1629,,,,,
b1630,,,,,
b1631,,,,,
b1632,,,,,
b1633,,,,,
b1634,,,,,
b1635,2279,2111,1819,1472,1377
b1636,,,,,
b1637,829,923,940,993,1052
b1638,584,609,545,531,545
b1639,,,,,
b1640,165,165,110,70,74
b1641,1001,1003,901,805,469
b1642,599,610,625,526,570
b1643,,,,,
b1644,,,,,
b1645,,,,,
b1646,1462,673,533,433,406
b1647,1850,1250,801,575,430
b1648,,,,,
b1649,,,,,
b1650,,,,,
b1651,1090,834,,878,759
b1652,,,,,
b1653,,,,,
b1654,3203,3027,3434,3661,4522
b1655,,,,,
b1656,3722,4704,6008,5458,5113
b1657,,,,,
b1658,1274,1199,1012,865,1040
b1659,,,,,
b1660,,,,,
b1661,119,123,163,133,159
b1662,332,389,470,476,495
b1663,,,,,
b1664,,,,,
b1665,,,,,
b1666,,,,,
b1667,3436,3415,2799,2217,1938
b1668,149,109,87,71,61
b1669,,,,,
b1670,,,,,
b1671,,,,,
b1672,,,,,
b1673,,,,,
b1674,,,,,
b1675,321,245,194,260,303
b1676,7657,5960,5843,5559,5893
b1677,3326,7105,7293,6806,5257
b1678,267,200,280,264,359
b1679,,,,,
b1680,843,673,577,463,354
b1681,,,,,
b1682,250,169,155,150,140
b1683,,,,,
b1684,,,,,
b1685,,,,,
b1686,300,398,462,362,458
b1687,302,336,354,324,322
b1688,,,,,
b1689,,,,,
b1690,,,,,
b1691,143,,,,
b1692,,,,,
b1693,205,243,203,161,174
b1694,,,,,
b1695,,,,,
b1696,,,,,
b1697,,,,,
b1698,,,,,
b1699,,,,,
b1700,,,,,
b1701,,,,,
b1702,1550,1732,1113,687,614
b1703,160,155,141,122,127
b1704,,,,,
b1705,,,,,
b1706,,,,,
b1707,,,,,
b1708,,,,,
b1709,,,,,
b1710,2938,2152,1995,1598,1425
b1711,,,,,
b1712,11755,9417,7683,6183,5545
b1713,601,784,954,1084,1276
b1714,650,737,875,940,1009
b1716,7371,8854,9012,10075,9325
b1717,1368,,,,
b1718,3140,3161,3341,3348,3849
b1719,997,1068,1109,839,806
b1722,,,,,
b1723,578,558,507,417,400
b1724,194,,,,
b1725,554,330,205,134,96
b1726,,,,,
b1727,342,382,398,387,360
b1728,,,,,
b1729,449,587,579,696,862
b1730,,,,,
b1731,,,,,
b1732,4096,3288,3164,2646,2565
b1733,,,,,
b1734,,,,,
b1735,,,,,
b1736,,,,,
b1737,,,,,
b1738,336,271,221,159,140
b1739,4085,3119,3138,2961,2380
b1740,1460,1406,1548,1296,1515
b1741,,,,,
b1742,,,,,
b1743,1204,,,,
b1744,,,,,
b1745,,,,,
b1746,,,,,
b1747,,,,,
b1748,520,444,192,78,41
b1749,605,622,596,494,515
b1750,,,,,
b1751,,,,,
b1752,,,,,
b1753,,,,,
b1754,,,,,
b1755,,,,,
b1756,,,,,
b1757,162,152,97,,
b1758,,,,,
b1759,,,,,
b1760,497,,,,
b1761,1964,4597,4541,5634,4424
b1762,,,,,
b1763,,,,,
b1764,698,761,705,582,567
b1765,1701,2640,1918,1704,1432
b1766,,,,,
b1767,403,331,282,402,271
b1768,225,194,172,174,161
b1769,,,,,
b1770,,,,,
b1771,,,,,
b1772,,,,,
b1773,,,,,
b1774,,,,,
b1775,,,,,
b1776,,,,,
b1777,198,,,,
b1778,1858,2284,1533,1093,1009
b1779,16148,22168,23980,27809,18515
b1780,231,322,298,498,372
b1781,,,,,
b1782,185,151,182,240,207
b1783,1627,1418,1407,1038,1048
b1784,,,,,
b1785,,,,,
b1786,,,,,
b1787,121,151,164,157,158
b1788,,,,,
b1789,,,,,
b1790,,,,,
b1791,,,,,
b1792,382,314,299,235,241
b1793,,,,,
b1794,,,,,
b1795,,,,,
b1796,,,,,
b1797,,,,,
b1798,,,,,
b1799,,,,,
b1800,,,,,
b1801,,,,,
b1802,,,,,
b1803,,,,,
b1804,,,,,
b1805,221,183,132,69,43
b1806,,,,,
b1807,,,,,
b1808,,,,,
b1809,1240,1261,1188,1158,1128
b1810,,,,,
b1811,,,,,
b1812,,,,,
b1813,,,,,
b1814,,,,,
b1815,,,,,
b1816,,,,,
b1817,6871,9490,12550,9262,4901
b1818,1137,1549,1912,1372,501
b1819,1487,1897,1898,2019,761
b1820,,,,,
b1821,,,,,
b1822,,,,,
b1823,20607,22898,27088,25093,23462
b1824,,,,,
b1825,,,,,
b1826,,,,,
b1827,639,642,558,427,418
b1828,,,,,
b1829,,,,,
b1830,592,616,609,550,554
b1831,740,810,1012,982,1147
b1832,486,498,513,551,606
b1833,,,,,
b1834,,,,,
b1835,,,,,
b1836,4378,1981,1576,1109,1191
b1837,,,,,
b1838,,,,,
b1839,242,,,,
b1840,,,,,
b1841,,,,,
b1842,,,,,
b1843,,,,,
b1844,,,,,
b1845,,,,,
b1846,66,50,35,34,24
b1847,2369,1517,2518,2771,2901
b1848,,,,,
b1849,341,315,337,556,568
b1850,2693,2544,2607,2488,3035
b1851,,,,,
b1852,1357,1322,1192,1096,1078
b1853,66,69,63,43,
b1854,2281,2195,2397,1912,1541
b1855,,,,,
b1856,,,,,
b1857,,,,,
b1858,,,,,
b1859,,,,,
b1860,,,,,
b1861,251,,,,
b1862,,,,,
b1863,,,,,
b1864,1359,1429,1409,1256,1316
b1865,,,,,
b1866,1709,1645,1839,1725,1670
b1867,397,371,273,218,198
b1868,,,,,
b1869,,,,,
b1870,229,229,241,222,275
b1871,,,,,
b1872,,,,,
b1873,,,,,
b1874,,,,,
b1875,,,,,
b1876,528,559,513,503,567
b1877,,,,,
b1878,,,,,
b1879,,,,,
b1880,,,,,
b1881,683,,,,
b1882,2600,,,,
b1883,,,,,
b1884,,,,,
b1885,,,,,
b1886,980,,,,
b1887,1318,,,,
b1888,395,,,,
b1889,,,,,
b1890,,,,,
b1891,,,,,
b1892,,,,,
b1895,,,,,
b1896,627,458,406,311,273
b1897,314,256,213,,56
b1900,,,,,
b1901,2039,1453,455,122,52
b1902,,,,,
b1904,,,,,
b1905,1524,2057,1899,1946,1559
b1906,,,,,
b1907,,,,,
b1908,900,873,858,839,793
b1909,,,,,
b1910,,,,,
b1912,,,,,
b1913,,,,,
b1914,55,,58,56,77
b1915,,,,,
b1916,,,,,
b1917,304,305,205,279,310
b1918,,,,,
b1919,1438,1317,1181,1007,890
b1920,8522,9108,10763,11177,10424
b1921,,,,,
b1922,52,,,,
b1923,9138,,,,
b1924,198,,,,
b1925,,,,,
b1926,,,,,
b1927,141,83,101,95,85
b1928,192,174,158,155,164
b1929,,,,,
b1930,1946,2520,2200,,
b1931,,,,,
b1932,,,,,
b1936,,,,,
b1937,,,,,
b1938,,,,,
b1939,48,,,,
b1940,59,,,,
b1941,,,,,
b1942,,,,,
b1943,,,,,
b1944,,,,,
b1945,,,,,
b1946,264,,,,
b1947,,,,,
b1948,,,,,
b1949,,,,,
b1950,,,,,
b1951,,,,,
b1952,,,,,
b1953,208,,,,
b1954,,,,,
b1955,740,404,204,190,131
b1956,,,,,
b1957,,,,,
b1958,,,,,
b1959,,,,,
b1960,,,,,
b1961,,,,,
b1962,,,,,
b1963,,,,,
b1967,3951,2508,2092,1927,1313
b1968,,,,,
b1969,,,,,
b1970,,,,,
b1971,,,,,
b1972,,,,,
b1973,,,,,
b1974,,,,,
b1975,,,,,
b1976,552,471,334,180,88
b1978,,,,,
b1981,,,,,
b1982,182,203,216,192,186
b1983,115,155,257,216,345
b1985,,,,,
b1987,,,,,
b1988,,,,,
b1989,,,,,
b1990,99,66,67,49,48
b1991,,,,,
b1992,,,,,
b1993,,,,,
b1994,,,,,
b1999,,,,,
b2000,2056,,,,
b2001,,,,,
b2002,,,,,
b2003,,,,,
b2004,,,,,
b2005,,,,,
b2006,,,,,
b2007,3487,3577,3651,3500,3428
b2008,,,,,
b2009,592,432,387,284,241
b2010,,,,,
b2011,,,,,
b2012,,,,,
b2013,,,,,
b2014,,,,,
b2015,,,,,
b2016,386,378,339,298,326
b2017,,,,,
b2019,957,1449,1775,1760,2406
b2020,528,591,692,789,821
b2021,674,776,975,1027,1276
b2022,762,859,1017,1286,1316
b2023,376,413,513,556,678
b2024,,,,,
b2025,284,373,452,436,577
b2026,147,210,246,339,383
b2027,421,541,570,575,550
b2028,,,,,
b2029,4607,5556,7008,7733,10349
b2032,106,,,,
b2033,,,,,
b2034,121,139,163,169,187
b2035,,,,,
b2036,851,930,1089,944,1079
b2037,,,,,
b2038,165,190,233,200,204
b2039,1008,1169,1230,1140,1221
b2040,201,253,288,269,313
b2041,406,488,632,663,701
b2042,2561,2835,2186,2177,2800
b2043,,,,,
b2044,,,,,
b2045,,,,,
b2046,,,,,
b2047,,,,,
b2048,,,,,
b2049,,,,,
b2050,,,,,
b2051,,,,,
b2052,,,,,
b2053,,,,,
b2054,,,,,
b2055,,,,,
b2056,,,,,
b2057,,,,,
b2058,,,,,
b2059,,,,,
b2060,,,,,
b2061,,,,,
b2062,,,,,
b2063,,,,,
b2064,,,,,
b2065,,,,,
b2066,,,,,
b2067,,,,,
b2068,,,,,
b2069,,,,,
b2070,,,,,
b2071,,,,,
b2072,,,,,
b2073,,,,,
b2074,,,,,
b2075,,,,,
b2076,,,,,
b2077,,,,,
b2078,,,,,
b2079,81,76,65,56,61
b2080,2976,1825,929,611,400
b2081,81,118,127,118,128
b2082,,,,,
b2083,,,,,
b2085,,,,,
b2086,167,111,88,46,
b2091,7112,,,,
b2092,2937,,,,
b2093,26209,,,,
b2094,12658,17522,13581,10396,4859
b2095,25649,,,,
b2096,32059,,,,
b2097,5498,9222,5754,4059,3569
b2098,,,,,
b2099,,,,,
b2100,,,,,
b2101,,,,,
b2102,,,,,
b2103,1531,1422,1163,1105,1053
b2104,1381,1393,1183,1064,1123
b2105,434,459,346,317,346
b2106,,,,,
b2107,458,460,,555,320
b2108,,,,,
b2109,,,,,
b2110,,,,,
b2111,,,,,
b2112,,,,,
b2113,571,580,609,581,740
b2114,977,1088,1079,1110,1214
b2118,,,,,
b2119,,,,,
b2120,,,,,
b2121,,,,,
b2122,,,,,
b2123,,,,,
b2124,,,,,
b2125,765,897,733,618,374
b2126,,,,,
b2127,,,,,
b2128,,,,,
b2129,,,,,
b2130,,,,,
b2131,1929,1313,985,938,726
b2132,139,182,174,153,181
b2133,1028,1151,1131,851,614
b2134,,,,,
b2135,,,,,
b2136,,,,,
b2137,402,228,136,133,102
b2139,,,,,
b2140,,,,,
b2141,,,,,
b2142,,,,,
b2143,1834,1044,585,557,422
b2144,,,,,
b2145,,,,,
b2146,,,,,
b2147,,,,,
b2148,,,,,
b2149,510,486,475,267,106
b2150,16568,,,,
b2151,,,,,
b2152,,,,,
b2153,1452,1748,1859,1913,2230
b2154,381,461,441,330,300
b2155,,,,,
b2156,,,,,
b2157,,,,,
b2158,,,,,
b2159,,,,,
b2160,,,,,
b2161,,,,,
b2162,,,,,
b2163,,,,,
b2164,,,,,
b2165,,,,,
b2166,,,,,
b2167,218,183,182,143,109
b2168,167,161,154,170,137
b2169,339,293,270,241,189
b2170,,,,,
b2171,527,561,611,644,665
b2172,,,,,
b2173,,,,,
b2174,,,,,
b2175,,,,,
b2176,,,,,
b2177,,,,,
b2178,,,,,
b2179,,,,,
b2180,,,,,
b2181,,,,,
b2182,,,,,
b2183,293,325,344,327,384
b2184,,,,,
b2185,10008,10021,11546,12275,14361
b2186,350,339,296,256,263
b2187,684,,,,
b2188,,,,,
b2189,,,,,
b2190,,,,,
b2193,183,221,189,164,157
b2194,,,,,
b2195,,,,,
b2196,,,,,
b2197,,,,,
b2198,,,,,
b2199,,,,,
b2200,,,,,
b2201,,,,,
b2202,,,,,
b2203,,,,,
b2204,,,,,
b2205,,,,,
b2206,,,,,
b2207,,,,,
b2208,,,,,
b2209,,,,,
b2210,,,,,
b2211,,,,,
b2212,,,,,
b2213,,,,,
b2214,,,,,
b2215,1214,1128,658,590,390
b2216,48,47,41,32,31
b2217,1787,1926,1761,1487,1689
b2218,,,,,
b2219,,,,,
b2220,,,,,
b2221,,,,,
b2222,,,,,
b2223,,,,,
b2224,,,,,
b2225,,,,,
b2226,,,,,
b2229,,,,,
b2230,,,,,
b2231,922,1135,1186,1050,1085
b2232,353,429,464,448,484
b2233,,,,,
b2234,828,948,1105,1073,944
b2235,625,626,738,738,663
b2236,,,,,
b2237,,,,,
b2238,,,,,
b2239,,,,,
b2240,,,,,
b2241,,,,,
b2242,,,,,
b2243,,,,,
b2244,,,,,
b2245,,,,,
b2246,,,,,
b2247,,,,,
b2248,,,,,
b2249,,,,,
b2250,,,,,
b2251,,,,,
b2252,203,,,,
b2253,435,,,,
b2254,73,102,,63,59
b2255,123,,,,
b2256,,,,,
b2257,,,,,
b2258,,,,,
b2259,215,,,,
b2260,,,,,
b2261,,,,,
b2262,879,800,890,916,959
b2263,,,,,
b2264,,,,,
b2265,,,,,
b2266,3388,2593,1866,1775,1301
b2267,,,,,
b2268,,,,,
b2269,,,,,
b2270,,,,,
b2271,,,,,
b2272,,,,,
b2273,,,,,
b2274,,,,,
b2275,,,,,
b2276,,,,,
b2277,,,,,
b2278,72,,,,
b2279,295,,,,
b2280,,,,,
b2281,942,995,1044,1013,728
b2282,,,,,
b2283,1097,1191,1337,1285,1188
b2284,551,534,570,570,442
b2285,1046,1002,,798,
b2286,1391,1599,1960,1764,1366
b2287,807,747,770,830,532
b2288,340,603,421,573,259
b2289,28,32,20,,9
b2290,109,142,158,115,109
b2291,41,36,,36,47
b2292,,,,,
b2293,239,234,230,223,199
b2294,1473,1443,1554,1516,1514
b2295,,,,,
b2296,2181,1724,1438,1124,1077
b2297,1761,1537,1291,944,824
b2298,,,,,
b2299,350,400,524,465,472
b2300,506,418,393,303,384
b2301,196,155,159,154,156
b2302,96,,33,36,28
b2303,694,840,797,849,893
b2304,620,473,240,161,118
b2305,,,,,
b2306,234,288,204,193,159
b2307,,,,,
b2308,,,,,
b2309,4382,4673,4624,4718,5275
b2310,15340,12890,6246,6035,2253
b2311,,,,,
b2312,176,136,195,326,313
b2313,,,,,
b2314,,,,,
b2315,,,,,
b2316,1010,968,919,844,883
b2317,,,,,
b2318,,,,,
b2319,523,479,518,422,430
b2320,744,673,689,613,571
b2321,,,,,
b2322,,,,,
b2323,5353,4378,2955,2601,2249
b2324,,,,,
b2325,223,373,315,408,608
b2326,,,,,
b2327,,,,,
b2328,,,,,
b2329,410,409,474,274,416
b2330,559,576,506,435,467
b2331,,,,,
b2332,,,,,
b2333,,,,,
b2334,,,,,
b2335,,,,,
b2336,,,,,
b2339,,,,,
b2340,,,,,
b2341,28,24,16,1,1
b2342,162,150,110,60,38
b2343,,,,,
b2344,118,79,42,19,7
b2345,,,,,
b2346,,,,,
b2347,,,,,
b2348,,,,,
b2349,,,,,
b2350,,,,,
b2351,,,,,
b2352,,,,,
b2353,,,,,
b2354,,,,,
b2355,,,,,
b2356,,,,,
b2357,,,,,
b2358,,,,,
b2359,,,,,
b2360,,,,,
b2361,,,,,
b2362,,,,,
b2363,,,,,
b2364,,,,,
b2365,,,,,
b2366,,,,,
b2367,,,,,
b2368,,,,,
b2369,,,,,
b2370,,,,,
b2371,,,,,
b2372,,,,,
b2373,,,,,
b2374,,,,,
b2375,,,,,
b2376,,,,,
b2377,,,,,
b2378,,,,,
b2379,50,40,48,41,37
b2380,,,,,
b2381,,,,,
b2382,,,,,
b2383,25,,,,
b2384,,,,,
b2385,,,,,
b2386,,,,,
b2387,,,,,
b2388,1272,1233,1037,942,586
b2389,,,,,
b2390,,,,,
b2392,,,,,
b2393,,,,,
b2394,107,,,,
b2395,,,,,
b2397,,,,,
b2398,,,,,
b2399,,,,,
b2400,1584,1713,1874,1889,2094
b2405,,,,,
b2406,,,,,
b2407,,,,,
b2408,,,,,
b2409,,,,,
b2410,,,,,
b2411,123,105,98,88,90
b2412,722,705,538,463,428
b2413,,,,,
b2414,21593,24448,23679,23419,23085
b2415,8324,9959,11390,11291,8944
b2416,3274,4338,5245,5184,4059
b2417,26006,21706,20131,17793,14815
b2418,63,,,85,
b2419,,,,,
b2420,,,,,
b2421,466,529,634,787,910
b2422,123,178,236,222,242
b2423,,,,,
b2424,,,,,
b2425,3051,3088,3042,3104,3394
b2426,506,561,415,230,140
b2427,,,,,
b2428,126,120,85,57,41
b2429,,,,,
b2430,,,,,
b2431,362,392,417,345,367
b2432,,,,,
b2433,,,,,
b2434,,,,,
b2435,,,,,
b2436,,,,,
b2437,,,,,
b2438,,,,,
b2439,194,179,270,139,93
b2440,,,,,
b2441,,,,,
b2442,,,,,
b2443,,,,,
b2444,,,,,
b2445,,,,,
b2446,,,,,
b2447,,,,,
b2448,,,,,
b2449,,,,,
b2450,355,353,301,225,175
b2451,,,,,
b2452,,,,,
b2453,,,,,
b2454,,,,,
b2455,,,,,
b2456,,,,,
b2457,,,,,
b2458,,,,,
b2459,,,,,
b2460,,,,,
b2461,,,,,
b2462,,,,,
b2463,2688,3344,2984,1840,991
b2464,3628,2206,1607,1405,1189
b2465,2943,2232,2009,1776,1382
b2466,,,,,
b2467,,,,,
b2468,,,,,
b2469,,,,,
b2470,143,,,,
b2471,349,,,,
b2472,68,75,64,68,73
b2473,156,108,99,95,96
b2474,,,,,
b2475,235,152,173,129,127
b2476,2965,3363,2986,3173,3471
b2477,776,790,727,686,751
b2478,844,1048,1232,1227,951
b2479,,,,,
b2480,2467,2303,2546,2617,2983
b2481,,,,,
b2482,,,,,
b2483,,,,,
b2484,,,,,
b2485,,,,,
b2486,,,,,
b2487,189,,,,
b2488,,,,,
b2489,,,,,
b2490,,,,,
b2491,,,,,
b2492,,,,,
b2493,,,,,
b2494,395,336,228,162,159
b2495,1064,1007,1344,1110,1370
b2496,,,,,
b2497,,,,,
b2498,3970,6886,8300,9312,10611
b2499,679,846,1001,1127,1485
b2500,133,133,167,144,192
b2501,87,88,78,66,65
b2502,41,36,39,37,33
b2503,,,,,
b2504,,,,,
b2505,,,,,
b2506,,,,,
b2507,1407,1703,2143,2310,3234
b2508,2814,3308,3721,4534,5531
b2509,,,,,
b2510,,,,,
b2511,608,539,549,510,469
b2512,681,645,612,584,686
b2513,775,749,746,697,733
b2514,987,1033,1082,987,1060
b2515,376,392,386,339,354
b2516,647,529,495,415,364
b2517,109,131,171,141,150
b2518,5964,9954,12631,10997,7246
b2519,,,,,
b2520,56,46,35,28,27
b2521,1221,1047,772,553,478
b2522,,,,,
b2523,1883,2012,2133,1914,1988
b2524,705,,,,
b2525,891,976,1022,950,1058
b2526,127,141,163,151,177
b2527,315,461,466,441,498
b2528,193,274,292,264,255
b2529,3268,4267,4521,3871,3714
b2530,4209,4740,4767,4200,4037
b2531,2518,2874,2565,2115,1810
b2532,96,108,114,112,132
b2533,418,524,636,859,785
b2534,,,,,
b2535,,,,,
b2536,,,,,
b2537,,,,,
b2538,,,,,
b2539,,,,,
b2540,,,,,
b2541,,,,,
b2542,,,,,
b2543,,,,,
b2544,,,,,
b2545,,,,,
b2546,,,,,
b2547,,,,,
b2548,,,,,
b2549,,,,,
b2550,,,,,
b2551,5989,7424,7152,9081,9304
b2552,,,,,
b2553,1189,1300,1350,1257,1194
b2554,,,,,
b2555,,,,,
b2556,,,,,
b2557,1033,1234,1396,1528,1921
b2558,,,,,
b2559,,,,,
b2560,,,,,
b2561,,,,,
b2562,,,,,
b2563,,,,,
b2564,884,,1423,1278,1790
b2565,,,,,
b2566,65,73,80,73,70
b2567,167,187,190,175,203
b2568,56,61,60,45,35
b2569,929,951,884,813,763
b2570,,,,,
b2571,552,450,272,192,181
b2572,,,,,
b2573,252,202,186,146,176
b2574,,,,,
b2575,,,,,
b2576,308,292,280,242,233
b2577,,,,,
b2578,,,,,
b2579,1531,1525,1183,1246,2227
b2580,,,,,
b2581,712,658,550,532,530
b2582,95,,127,102,121
b2583,,,,,
b2584,202,163,70,35,16
b2585,951,973,654,534,420
b2586,,,,,
b2587,419,515,355,219,129
b2591,,,,,
b2592,1861,1580,1570,1266,1173
b2593,150,105,83,84,74
b2594,247,251,210,233,235
b2595,528,619,598,575,641
b2597,3158,3203,1726,1556,1374
b2599,497,515,531,437,462
b2600,120,106,106,235,221
b2601,332,,,,
b2602,,,,,
b2603,,,,,
b2604,,,,,
b2605,,,,,
b2606,9056,9355,10217,12660,13434
b2607,,,,,
b2608,1674,1784,1719,1636,1548
b2609,18183,19696,23100,25248,25836
b2610,629,621,610,598,720
b2611,,,,,
b2614,2824,2670,2531,2582,2672
b2615,101,103,77,67,62
b2616,,,,,
b2617,,,,,
b2618,,,,,
b2619,,,,,
b2620,,,,,
b2621,,,,,
b2622,,,,,
b2623,,,,,
b2624,,,,,
b2625,,,,,
b2626,,,,,
b2627,,,,,
b2628,,,,,
b2629,,,,,
b2630,,,,,
b2631,,,,,
b2632,,,,,
b2633,,,,,
b2634,,,,,
b2635,,,,,
b2636,,,,,
b2637,,,,,
b2638,,,,,
b2641,,,,,
b2642,,,,,
b2643,,,,,
b2644,,,,,
b2645,,,,,
b2646,,,,,
b2647,,,,,
b2648,,,,,
b2650,,,,,
b2652,,,,,
b2659,,,,,
b2660,,,,,
b2661,1476,1552,1332,1024,658
b2662,1616,1548,1695,1208,836
b2663,,,,,
b2664,,,,,
b2665,15543,10570,5296,3586,1879
b2666,,,,,
b2667,,,,,
b2668,,,,,
b2669,1156,1515,1527,2243,4119
b2670,,,,,
b2671,,,,,
b2672,747,424,381,312,249
b2673,,,,,
b2674,,,,,
b2675,,,,,
b2676,,,,,
b2677,,,,,
b2678,,,,,
b2679,101,,,,
b2681,,,,,
b2682,,,,,
b2683,,,,,
b2684,90,120,130,127,200
b2685,,,,,
b2686,,,,,
b2687,4201,3604,3903,4099,4596
b2688,141,121,113,102,113
b2689,,,,,
b2690,,,,,
b2694,,,,,
b2695,,,,,
b2696,4457,5169,4504,4619,4168
b2697,1394,1424,1398,1373,1589
b2698,,,,,
b2699,1247,1579,1386,1177,1073
b2700,214,175,158,131,109
b2701,,,,,
b2702,,,,,
b2703,,,,,
b2704,,,,,
b2705,,,,,
b2706,,,,,
b2707,,,,,
b2708,41,,,31,28
b2709,,,,,
b2710,,,,,
b2711,,,,,
b2712,,,,,
b2713,,,,,
b2714,,,,,
b2715,,,,,
b2716,,,,,
b2717,,,,,
b2718,,,,,
b2719,,,,,
b2720,,,,,
b2721,,,,,
b2722,,,,,
b2723,,,,,
b2724,,,,,
b2725,,,,,
b2726,,,,,
b2727,,,,,
