bnumber,vilu_011,vilu_021,vilu_031,vilu_04,vilu_049
b0116,7542,11129,12026,10718,9553
b0117,,,,,
b0118,9053,11848,9314,6242,4640
b0119,,,,,
b0120,,,,,
b0121,318,403,410,612,426
b0122,,,,,
b0123,512,451,566,582,547
b0124,197,141,152,170,256
b0125,698,833,769,851,1055
b0126,2760,2945,2574,2813,2695
b0127,273,267,246,202,208
b0128,,,,,
b0129,,,,,
b0130,,,,,
b0131,,,,,
b0132,,,,,
b0133,1139,1046,916,813,852
b0134,2953,2742,2178,2164,2017
b0135,,,,,
b0136,,,,,
b0137,,,,,
b0138,,,,,
b0139,,,,,
b0140,,,,,
b0141,,,,,
b0142,,,,,
b0143,,,,,
b0144,,,,,
b0145,3679,4147,4484,4309,3712
b0146,,,,,
b0147,,,,,
b0148,,,,,
b0149,287,285,233,205,180
b0150,,,,,
b0151,,,,,
b0152,,,,,
b0153,,,,,
b0154,1181,1262,1372,1398,1535
b0155,,,,,
b0156,888,1056,1103,1192,1394
b0157,,,,,
b0158,,,,,
b0159,546,585,622,612,733
b0160,,,,,
b0161,1904,2100,1576,1285,1273
b0162,,,,,
b0163,4539,3759,2837,2127,1862
b0164,,,,,
b0166,2359,3313,3519,3913,4541
b0167,21,21,18,15,13
b0168,850,964,1058,1053,1304
b0169,11829,12098,15331,15064,17587
b0170,8330,8671,9890,11109,12841
b0171,475,970,998,802,1174
b0172,4169,3941,3748,3721,4191
b0173,,,,,
b0174,,,,,
b0175,,,,,
b0176,,,,,
b0177,492,502,479,406,424
b0178,8056,8123,7105,6685,7468
b0179,1103,1004,933,862,743
b0180,1989,2686,3115,3448,4053
b0181,1063,1026,857,855,589
b0182,675,,452,359,311
b0183,,,,,
b0184,,,,,
b0185,2099,2093,1760,1637,1813
b0186,,,,,
b0187,318,233,224,210,234
b0188,,,,,
b0189,747,736,788,744,822
b0190,,,,,
b0191,,,,,
b0192,,,,,
b0193,,,,,
b0194,2298,2586,2752,2787,2985
b0195,,,,,
b0196,,,,,
b0197,9284,10534,10924,11048,8783
b0198,,,,,
b0199,304,327,427,452,490
b0200,,,,,
b0201,,,,,
b0204,,,,,
b0207,428,587,385,175,131
b0208,39,31,25,19,20
b0209,,,,,
b0210,,,,,
b0211,,,,,
b0212,648,569,381,375,263
b0213,,,,,
b0214,,,,,
b0215,,,,,
b0217,,,,,
b0218,,,,,
b0219,,,,,
b0220,1619,1646,1453,1048,1201
b0221,279,296,214,129,56
b0222,2741,2734,2214,1930,1662
b0223,,,,,
b0224,,,,,
b0225,,,,,
b0226,,,,,
b0227,,,,,
b0228,,,,,
b0229,,,,,
b0230,,,,,
b0231,,,,,
b0232,,,,,
b0233,,,,,
b0234,,,,,
b0235,,,,,
b0236,,,,,
b0237,2374,2619,2614,2198,2025
b0238,1177,1704,1140,1752,1112
b0239,127,101,95,87,84
b0240,613,916,1390,1276,1501
b0241,,,,,
b0242,373,414,380,333,326
b0243,746,829,642,518,431
b0244,,,,,
b0245,,,,,
b0246,,,,,
b0247,,,,,
b0248,,,,,
b0249,,,,,
b0250,,,,,
b0251,,,,,
b0252,,,,,
b0253,,,,,
b0254,,,,,
b0256,320,,,,
b0258,,,,,
b0260,,,,,
b0261,80,77,57,,44
b0262,,,,,
b0263,,,,,
b0266,,,,,
b0267,,,,,
b0268,,,,,
b0269,,,,,
b0270,,,,,
b0271,,,,,
b0272,,,,,
b0273,,,,,
b0276,,,,,
b0277,,,,,
b0278,,,,,
b0279,,,,,
b0280,,,,,
b0281,,,,,
b0283,,,,,
b0284,,,,,
b0285,,,,,
b0286,,,,,
b0287,,,,,
b0288,,,,,
b0289,,,,,
b0290,,,,,
b0291,,,,,
b0292,,,,,
b0293,,,,,
b0294,,,,,
b0295,,,,,
b0296,,,,,
b0297,,,,,
b0300,,,,,
b0301,,,,,
b0303,,,,,
b0304,,,,,
