Compound Name,Compound Id (KEGG),glc,glyc,ac,"E. coli (mM), WT(Mar), Ishii et al. 2007'","E. coli (mM), WT(Jun), Ishii et al. 2007'","E. coli (mM), WT(Jul), Ishii et al. 2007'","E. coli (mM), WT(Sep), Ishii et al. 2007'","E. coli (mM), WT(Oct), Ishii et al. 2007'","Human muscle (mM), Bergstrom et al. 1974'","S. cerevisiae (umol/G CDW), Hake Flask (n=4) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 1 (n=20) , Ewald et al. 2009'","S. cerevisiae (umol/G CDW), Plate 2 (n=20) , Ewald et al. 2009'","S. cerevisiae (mM), Glucose, Fendt et al. 2010'","S. cerevisiae (mM), Galactose, Fendt et al. 2010'","S. cerevisiae (mM), Ethanol, Fendt et al. 2010'","S. cerevisiae (mM), CEN.PK 113-7D, Kummel et al. 2010'","S. cerevisiae (mM), CEN-PK JT4, Kummel et al. 2010'","S. cerevisiae (mM), FY4, Kummel et al. 2010'","Bacillus subtilis (mM), Glucose,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 1,  Kleijn et al. 2010'","Bacillus subtilis (mM), Malate 2,  Kleijn et al. 2010'"
'CMP-N-acetylneuraminate',128,nan,nan,nan,0.0762,0.0107,0.169,nan,0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'IMP',130,0.272,nan,nan,0.133,0.116,0.113,0.0847,0.0477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dATP',131,0.0155,0.051,0.0685,0.0756,0.0248,0.0588,0.0393,0.00292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Putrescine',134,nan,nan,nan,nan,0.104,0.0695,0.138,0.143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Histidine',135,0.068,0.15,0.0955,0.0593,0.0488,0.0524,0.184,0.048,0.37,3.85,2.78,2.12,nan,nan,nan,0.278,0.21,1.211,nan,nan,nan
'myo-Inositol',137,0.00572,0.00705,0.0069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'GMP',144,0.0238,nan,nan,0.0722,0.0791,0.0702,0.0559,0.0323,nan,nan,nan,nan,0.06,0.06,0.06,nan,nan,nan,nan,nan,nan
'Adenine',147,0.00147,nan,nan,0.0743,0.217,0.102,0.199,0.196,nan,0.1,0.15,0.1,0.05,0.05,0.02,nan,nan,nan,nan,nan,nan
'L-Proline',148,0.385,0.451,0.361,0.0625,0.0712,0.143,0.116,0.0779,0.83,0.86,1.12,0.84,nan,nan,nan,0.939,0.85,1.472,nan,nan,nan
'L-Asparagine',152,0.511,0.97,0.54,0.0738,0.0834,0.103,0.216,0.0843,0.47,4.06,2.39,1.72,4.66,4.17,1.78,2.24,2.054,3.05,nan,nan,nan
'Nicotinamide',153,nan,nan,nan,nan,0.0374,0.0442,0.0272,0.0347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'4-Hydroxybenzoate',156,0.0522,0.787,0.294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Citrate',158,1.96,2.32,21.9,nan,nan,nan,nan,nan,nan,4.69,3.13,2.43,1.47,1.96,6.02,4.373,3.528,3.204,nan,nan,nan
'Phenylpyruvate',166,0.0898,0.195,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'UDP-glucuronate',167,0.566,0.375,0.188,0.115,0.0664,0.0834,0.0727,0.00839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Benzoate',180,nan,nan,nan,nan,0.0644,nan,nan,0.0369,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Valine',183,4.02,2.29,1.07,nan,0.199,0.181,0.201,0.222,0.26,3,2.64,2.11,nan,nan,nan,3.306,3.11,2.29,6.01,10.89,2.76
'(S)-Lactate',186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.69,7.63,2.77
'L-Threonine',188,0.179,nan,nan,nan,0.0883,0.147,0.264,0.0915,1.03,10.9,3.78,2.4,nan,nan,nan,8.162,6.636,8.623,0.81,2.21,0.83
"'""2,3-Dihydroxybenzoate""'",196,0.138,0.414,0.274,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'3-Phospho-D-glycerate',197,1.54,4.08,1.51,0.543,0.746,nan,0.295,0.441,nan,nan,nan,nan,0.89,1.01,0.77,1.76,0.852,1.165,nan,nan,nan
"'""D-Glucono-1,5-lactone""'",198,1.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Ribulose 5-phosphate',199,nan,nan,nan,0.255,0.0983,0.0782,0.114,0.0933,nan,nan,nan,nan,0.02,0.02,nan,0.025,0.028,0.007,0.43,0.32,0.11
'dADP',206,nan,nan,nan,0.0503,0.00919,0.0527,0.0285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Maltose',208,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2,0.2,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Adenosine',212,0.000131,nan,nan,0.0626,0.0682,0.0622,0.14,0.0853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Adenylyl sulfate',224,0.00663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Acetyl phosphate',227,1.07,1.05,1.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Xylulose 5-phosphate',231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,0.002,0.001,nan,nan,nan
'3-Phospho-D-glyceroyl phosphate',236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'dCMP',239,nan,nan,nan,0.00695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Guanine',242,0.188,0.00331,nan,0.03,0.0554,0.0651,0.0754,0.0671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Riboflavin',255,0.019,0.0221,0.0188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Gluconic acid',257,0.0416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Glycerate',258,1.35,0.931,0.516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Hypoxanthine',262,nan,nan,nan,0.176,0.306,0.277,0.336,0.379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Homoserine',263,nan,nan,nan,0.00599,0.00488,0.0161,nan,0.00971,nan,0.91,0.78,0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan
'D-Erythrose 4-phosphate',279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Inosine',294,nan,nan,nan,0.0219,0.0256,0.0311,0.0521,0.0402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Orotate',295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Quinate',296,nan,nan,nan,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Uridine',299,2.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Creatine',300,nan,nan,nan,nan,nan,0.00872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'ADP-ribose',301,nan,nan,nan,0.0221,0.00624,0.0262,0.0195,0.00204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Isocitrate',311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19,0.18,0.61,nan,nan,nan,0.26,0.2,0.26
'Pyridoxine',314,nan,nan,nan,nan,nan,0.00117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Carnitine',318,nan,nan,nan,nan,nan,0.00399,nan,0.00169,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'L-Citrulline',327,1.41,nan,nan,0.0622,0.0575,0.0384,0.126,0.0554,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.11,8.7,7.44
'D-Glucosamine',329,nan,nan,nan,nan,nan,0.0192,0.0799,0.0244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Deoxyguanosine',330,0.000522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
'Acetoacetyl-CoA',332,0.0218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
